Sample 14,,
Wavelength (nm),Intensity (a.u.),
525.8800049,0.02798951417,
526.9099731,0.1550507694,
527.9400024,0.08488564193,
528.8200073,0.102404654,
529.8499756,0.1122744009,
530.8900146,0.04707521573,
531.9400024,0.09016229212,
532.8300171,0.1473766863,
533.8800049,0.2114286721,
534.9199829,0.2287151814,
535.8200073,0.2656496167,
536.8599854,0.384889245,
537.9099731,0.4314601421,
538.7999878,0.3911827505,
539.8499756,0.4485075176,
540.8800049,0.6001122594,
541.9099731,0.6255832911,
542.9400024,0.7207242846,
543.8200073,0.7529457808,
544.8499756,1.018975973,
545.8800049,1.192227483,
546.9099731,1.486672997,
547.9400024,1.828611016,
548.8200073,2.052074909,
549.8499756,2.68130374,
550.8800049,3.352094889,
551.9099731,4.397735596,
552.9400024,5.585348129,
553.8200073,6.584553719,
554.8499756,8.044681549,
555.8800049,9.546877861,
556.9099731,11.01696491,
557.9400024,13.01978016,
558.8200073,14.01277542,
559.8499756,15.78351879,
560.8800049,16.79161453,
561.9099731,17.64700317,
562.9400024,18.18599701,
563.8200073,18.33401299,
564.8499756,18.14980888,
565.8800049,17.48194504,
566.9099731,16.8272934,
567.9400024,16.163908,
568.8200073,15.90319729,
569.8499756,15.32308578,
570.8599854,14.75270176,
571.8800049,13.74320126,
572.8900146,12.68645763,
573.9099731,12.22091866,
574.9199829,11.93067265,
575.9400024,11.27319717,
576.8099976,11.42039204,
577.8200073,10.82161617,
578.8400269,10.62793446,
579.8499756,10.10356236,
580.8800049,10.30987263,
581.9099731,10.15699005,
582.9400024,9.695996284,
583.8200073,9.720438004,
584.8499756,9.427867889,
585.8800049,9.247561455,
586.9099731,9.144806862,
587.9400024,8.68034935,
588.8200073,8.320695877,
589.8499756,8.405250549,
590.8599854,7.84903574,
591.8800049,7.691780567,
592.8900146,7.374460697,
593.9099731,7.134089947,
594.9199829,6.964291096,
595.9400024,6.602156162,
596.8099976,6.719750881,
597.8200073,6.457546711,
598.8400269,6.560712814,
599.8499756,6.268393993,
600.8599854,6.34314394,
601.8800049,6.404391289,
602.8900146,6.190224648,
603.9099731,6.136271477,
604.9199829,6.163657665,
605.9400024,6.091187477,
606.8099976,5.688531399,
607.8200073,6.007953644,
608.8400269,5.693461895,
609.8499756,5.565541744,
610.8599854,5.497389317,
611.8800049,5.169297218,
612.8900146,5.017349243,
613.9099731,4.698672295,
614.9199829,4.580896854,
615.9400024,4.320063591,
616.8099976,4.220418453,
617.8200073,4.023384094,
618.8400269,3.775179863,
619.8499756,3.786959171,
620.8599854,3.473083496,
621.8800049,3.282191515,
622.8900146,3.194058418,
623.9099731,3.069684505,
624.9199829,2.85649991,
625.9400024,2.660458803,
626.8099976,2.74370575,
627.8200073,2.544969082,
628.8400269,2.413925648,
629.8499756,2.366990805,
630.8499756,2.283779144,
631.8499756,2.216913462,
632.8499756,2.082298517,
633.8499756,1.940195203,
634.8499756,1.853612542,
635.8499756,2.04155612,
636.8499756,1.776870131,
637.8499756,1.609287977,
638.8499756,1.5462147,
639.8499756,1.623283625,
640.8599854,1.580545902,
641.8800049,1.46572423,
642.8900146,1.456400871,
643.9099731,1.256208539,
644.9199829,1.182193398,
645.9400024,1.150408864,
646.8099976,1.260663509,
647.8200073,0.9960922003,
648.8400269,0.962821722,
649.8499756,0.9651778936,
650.8499756,0.8918980956,
651.8499756,0.9370368719,
652.8499756,0.8574123383,
653.8499756,0.8396545649,
654.8499756,0.8660315871,
655.8499756,0.6331984997,
656.8499756,0.7604273558,
657.8499756,0.6716679335,
658.8499756,0.7550415397,
659.8499756,0.6989391446,
660.8499756,0.638928175,
661.8499756,0.6902965307,
662.8499756,0.6060606241,
663.8499756,0.5106720924,
664.8499756,0.5130985379,
665.8499756,0.564432919,
666.8499756,0.5391364098,
667.8499756,0.4619026482,
668.8499756,0.5474452376,
669.8499756,0.5292664766,
670.8400269,0.4696725905,
671.8300171,0.3824786544,
672.8099976,0.2668165863,
673.9400024,0.3688425124,
674.9199829,0.4514185488,
675.9099731,0.3366569877,
676.9000244,0.26675421,
677.8800049,0.2521358728,
678.8699951,0.2751396894,
679.8499756,0.2881263196,
680.8499756,0.2399140149,
681.8499756,0.2516258955,
682.8499756,0.254437983,
683.8499756,0.2160166502,
684.8499756,0.2063111663,
685.8499756,0.3203286231,
686.8499756,0.2434013933,
687.8499756,0.2428386956,
688.8499756,0.1261780709,
689.8499756,0.05714394525,
690.8400269,0.2655102313,
691.8300171,0.1634206921,
692.8099976,0.1642194688,
693.9400024,0.09688514471,
694.9199829,0.1535656005,
695.9099731,0.2025052756,
696.9000244,0.2161376178,
697.8800049,0.1254656613,
698.8699951,0.1288072318,
699.8499756,0.08667013049,
700.8400269,0.1580527872,
701.8300171,0.1634599566,
702.8099976,0.1347799748,
703.9400024,0.1325481385,
704.9199829,0.1149227172,
705.9099731,0.1644720882,
706.9000244,0.04840833694,
707.8800049,0.04916130751,
708.8699951,0.04828072339,
709.8499756,0.09539800137,
710.8400269,0.01974976994,
711.8300171,0.05738002807,
712.8099976,0.09539526701,
713.9400024,0.1262552738,
714.9199829,0.009463066235,
715.9099731,0.1054144725,
716.9000244,0.1258470416,
717.8800049,0.01896831393,
718.8699951,0.08592131734,
719.8499756,0.06694208086,
720.8300171,0.04720989615,
721.9400024,0.1143347174,
722.9099731,0.03792224079,
723.8800049,0.03801847622,
724.8599854,0.03800078109,
725.8300171,0.0862300247,
726.9400024,0.1248271614,
727.9099731,0.07771064341,
728.8800049,0.01980531216,
729.8599854,0,
730.8400269,0.03933175281,
731.8300171,0.09790388495,
732.8099976,0.1236221269,
733.9400024,-0.009653068148,
734.9199829,0.009713264182,
735.9099731,0,
736.9000244,0.1071101651,
737.8800049,0.08017557859,
738.8699951,0.02927057631,
739.8499756,0.05933661759,
740.8200073,0.02945594862,
741.9099731,0.07817997038,
742.8699951,0.03986565024,
743.8300171,0.03889461234,
744.9299927,0.01961303502,
745.8900146,0.05759815872,
746.8400269,0.05923293531,
747.9400024,0.0201114174,
748.9000244,0,
749.8599854,0.04876003414,
750.8300171,0.1066304743,

Sample 14,
Sample 14
Collection Time: 15/04/2023 3:13:08 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        526.00
Stop (nm)                         750.00
Ex. Wavelength (nm)               516.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 15/04/2023 2:48:30 PM
Method Modifications:
Overlayed Graphs Changed: 15/04/2023 2:48:42 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 15/04/2023 2:51:34 PM, Old: 350.00, New: 220.00
Emission Wavelength Changed: 15/04/2023 2:51:34 PM, Old: 400.00, New: 230.00
Excitation Wavelength Changed: 15/04/2023 2:55:58 PM, Old: 220.00, New: 265.00
Emission Wavelength Changed: 15/04/2023 2:55:58 PM, Old: 230.00, New: 275.00
Stop Wavelength Changed: 15/04/2023 2:55:58 PM, Old: 600.00, New: 700.00
PMT Volts Changed: 15/04/2023 2:56:08 PM, Old:600, New:800
Emission PMT (V): Changed: 15/04/2023 2:56:08 PM, Old: 600, New: 800
Excitation Wavelength Changed: 15/04/2023 2:57:08 PM, Old: 265.00, New: 289.00
Emission Wavelength Changed: 15/04/2023 2:57:08 PM, Old: 275.00, New: 220.00
Stop Wavelength Changed: 15/04/2023 2:57:08 PM, Old: 700.00, New: 289.00
Scan mode: Changed: 15/04/2023 2:57:11 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 15/04/2023 2:57:11 PM, Old: 289.00, New: 220.00
Emission Wavelength Changed: 15/04/2023 2:57:11 PM, Old: 220.00, New: 289.00
Ex. Slit Width (nm): Changed: 15/04/2023 2:57:58 PM, Old:5, New:10
Em. Slit Width (nm): Changed: 15/04/2023 2:57:58 PM, Old:5, New:10
Scan mode: Changed: 15/04/2023 2:58:29 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 15/04/2023 2:58:29 PM, Old: 220.00, New: 264.00
Emission Wavelength Changed: 15/04/2023 2:58:29 PM, Old: 289.00, New: 274.00
Stop Wavelength Changed: 15/04/2023 2:58:29 PM, Old: 289.00, New: 500.00
PMT Volts Changed: 15/04/2023 2:59:07 PM, Old:800, New:700
Ex. Slit Width (nm): Changed: 15/04/2023 2:59:07 PM, Old:10, New:5
Em. Slit Width (nm): Changed: 15/04/2023 2:59:07 PM, Old:10, New:5
Emission PMT (V): Changed: 15/04/2023 2:59:07 PM, Old: 800, New: 700
PMT Volts Changed: 15/04/2023 3:06:09 PM, Old:700, New:600
User Delta Stop Changed: 15/04/2023 3:06:09 PM, Old: 450.00, New: 557.00
User Delta Increment Changed: 15/04/2023 3:06:09 PM, Old:  10.00, New:   0.15
Emission PMT (V): Changed: 15/04/2023 3:06:09 PM, Old: 700, New: 600
Excitation Wavelength Changed: 15/04/2023 3:06:09 PM, Old: 264.00, New: 557.00
Emission Wavelength Changed: 15/04/2023 3:06:09 PM, Old: 274.00, New: 567.00
Stop Wavelength Changed: 15/04/2023 3:06:09 PM, Old: 500.00, New: 700.00
Excitation Wavelength Changed: 15/04/2023 3:06:41 PM, Old: 557.00, New: 515.00
