Sample 1,,
Wavelength (nm),Intensity (a.u.),
400,1.460049033,
401.0599976,0.6934102774,
401.9599915,0.5617778301,
403.0299988,0.588647902,
403.9299927,0.5975570083,
405,0.67184484,
406.0599976,0.6251006722,
406.9599915,0.655821085,
408.0299988,0.7307138443,
408.9299927,0.7484785318,
410,0.6958471537,
411.0599976,0.6704005599,
411.9599915,0.686039865,
413.0299988,0.6598109603,
413.9299927,0.6424093246,
415,0.6797266006,
416.0599976,0.6986266375,
416.9599915,0.6466345191,
418.0299988,0.6750656366,
418.9299927,0.6834782958,
420,0.6891252995,
421.0599976,0.6539286375,
421.9599915,0.6633504033,
423.0299988,0.6772444248,
423.9299927,0.7068511844,
425,0.7506726384,
426.0599976,0.7714132071,
426.9599915,0.8421990275,
428.0299988,0.8522126079,
428.9299927,0.9132650495,
430,1.070928574,
431.0400085,1.166750193,
431.9400024,1.287969112,
432.980011,1.441987276,
434.019989,1.637695193,
435.0700073,1.938271642,
435.9700012,2.301116705,
437.0100098,2.651658058,
438.0499878,3.109200478,
438.9500122,3.741985798,
440,4.572805882,
441.0599976,5.559771538,
441.9599915,6.471096516,
443.0299988,7.951823235,
443.9299927,9.238453865,
445,11.18968201,
446.0599976,13.64110088,
446.9599915,15.70794392,
448.0299988,18.86726761,
448.9299927,22.03754616,
450,26.24975967,
451.0599976,30.98107719,
451.9599915,35.61403275,
453.0299988,42.77629089,
453.9299927,49.31254959,
455,57.44389343,
456.0599976,66.22736359,
456.9599915,74.66753387,
458.0299988,86.80493164,
458.9299927,98.37504578,
460,112.7029114,
461.0400085,125.7055664,
461.9400024,138.5660095,
462.980011,156.7485962,
464.019989,173.9260712,
465.0700073,194.0088806,
465.9700012,210.7299652,
467.0100098,229.8187714,
468.0499878,249.1174622,
468.9500122,265.9929504,
470,287.5777893,
471.0400085,308.0390015,
471.9400024,327.1147461,
472.980011,346.0842896,
474.019989,362.7567444,
475.0700073,381.3884583,
475.9700012,397.3830872,
477.0100098,412.4385681,
478.0499878,428.179718,
478.9500122,441.6346741,
480,450.6389771,
481.0400085,459.8018799,
481.9400024,469.964386,
482.980011,478.545929,
484.019989,484.3544922,
485.0700073,490.5742493,
485.9700012,492.0092773,
487.0100098,495.3102722,
488.0499878,496.7409363,
488.9500122,497.1542664,
490,496.6468201,
491.0400085,495.146759,
491.9400024,495.0351868,
492.980011,492.0646667,
494.019989,489.0680847,
495.0700073,485.3089294,
495.9700012,480.5960388,
497.0100098,477.3447571,
498.0499878,475.7461853,
498.9500122,474.9862366,
500,468.993042,
501.0400085,464.3002319,
501.9400024,461.6859436,
502.980011,455.2450867,
504.019989,452.9442139,
505.0700073,445.7046204,
505.9700012,443.4318237,
507.0100098,437.5119324,
508.0499878,431.0342712,
508.9500122,426.8793945,
510,421.4219055,
511.0400085,417.0288391,
511.9400024,415.5324402,
512.9799805,407.8190002,
514.0200195,400.5735474,
515.0700073,394.2579346,
515.9699707,389.8120728,
517.0100098,381.723053,
518.0499878,376.567627,
518.9500122,370.5391541,
520,362.469635,
521.0200195,356.7156982,
522.0499878,351.3139954,
522.9400024,344.1101379,
523.9699707,336.7915344,
525,330.1646118,
526.0200195,322.259491,
527.0499878,313.213501,
527.9400024,308.288147,
528.9699707,299.7947388,
530,292.3047485,
531.039978,286.712677,
531.9400024,278.8934326,
532.9799805,271.4082947,
534.0200195,264.4522095,
535.0700073,257.2529297,
535.9699707,252.0700378,
537.0100098,245.1153564,
538.0499878,237.2902679,
538.9500122,232.0205383,
540,225.7810211,
541.0200195,218.8142242,
542.0499878,215.4344635,
542.9400024,209.5614166,
543.9699707,203.3893433,
545,198.4968719,
546.0200195,191.9129639,
547.0499878,186.976059,
547.9400024,182.7325592,
548.9699707,177.908432,
550,173.6504669,
551.0200195,168.7142181,
552.0499878,163.9299469,
552.9400024,160.7207947,
553.9699707,155.7102661,
555,151.3823547,
556.0200195,146.869339,
557.0499878,143.0579681,
557.9400024,138.5100708,
558.9699707,134.2410583,
560,130.360733,
561.0200195,126.4653625,
562.0499878,123.1166534,
562.9400024,120.2162094,
563.9699707,115.8206711,
565,112.8551483,
566.0200195,110.0232925,
567.0499878,106.6844864,
567.9400024,102.8452454,
568.9699707,100.195816,
570,96.59342957,
571.0100098,93.92916107,
572.0200195,90.32116699,
573.039978,88.2713623,
574.0499878,84.2591629,
575.0700073,82.33875275,
575.9400024,80.29449463,
576.9500122,77.70983124,
577.9699707,75.24275208,
578.9799805,72.33047485,
580,70.00392914,
581.0200195,67.90770721,
582.0499878,65.7348175,
582.9400024,63.86738968,
583.9699707,61.79090881,
585,60.26248169,
586.0200195,57.5505867,
587.0499878,55.68684006,
587.9400024,54.35109329,
588.9699707,52.67958069,
590,50.89627075,
591.0100098,49.16368103,
592.0200195,47.92417908,
593.039978,46.21323395,
594.0499878,44.66257095,
595.0700073,43.2520256,
595.9400024,42.16068268,
596.9500122,40.90573883,
597.9699707,39.40950775,
598.9799805,38.14335632,
600,36.854702,
601.0100098,35.36785507,
602.0200195,34.68835831,
603.039978,33.60321045,
604.0499878,32.45334625,
605.0700073,31.37186241,
605.9400024,30.60477066,
606.9500122,29.50584221,
607.9699707,28.57014656,
608.9799805,27.5078373,
610,26.55554771,
611.0100098,26.00166702,
612.0200195,24.84926605,
613.039978,24.11075401,
614.0499878,23.13477707,
615.0700073,22.29315758,
615.9400024,21.64635849,
616.9500122,21.08379364,
617.9699707,20.33936119,
618.9799805,19.71430588,
620,18.94269371,
621.0100098,18.24773407,
622.0200195,17.76562691,
623.039978,17.13537216,
624.0499878,16.3536377,
625.0700073,15.71639824,
625.9400024,15.4146328,
626.9500122,14.93633842,
627.9699707,14.36394596,
628.9799805,13.82653904,
630,13.37525082,
631,12.90776825,
632,12.53699684,
633,12.04535961,
634,11.67338276,
635,11.27148628,
636,10.93818378,
637,10.53494263,
638,9.974088669,
639,9.690711021,
640,9.342947006,
641.0100098,8.98098278,
642.0200195,8.752718925,
643.039978,8.601563454,
644.0499878,8.195248604,
645.0700073,7.964382172,
645.9400024,7.669718742,
646.9500122,7.402416706,
647.9699707,7.245829582,
648.9799805,6.882990837,
650,6.542768002,
651,6.419583797,
652,6.169061184,
653,5.993976116,
654,5.791511536,
655,5.61332655,
656,5.44095993,
657,5.167345524,
658,5.063961983,
659,4.864275932,
660,4.721333981,
661,4.532640934,
662,4.324233055,
663,4.177995205,
664,4.126088142,
665,3.941398621,
666,3.886252642,
667,3.706175089,
668,3.604409695,
669,3.409342051,
670,3.257926464,
670.9799805,3.157738209,
671.9699707,3.086679459,
672.9500122,3.015663862,
673.9400024,2.880292892,
675.0700073,2.791630983,
676.0499878,2.727296591,
677.039978,2.608600616,
678.0200195,2.577510834,
679.0100098,2.452996492,
680,2.417656183,
681,2.346084595,
682,2.203107834,
683,2.20418191,
684,2.084785461,
685,2.039699078,
686,1.944612145,
687,1.87328589,
688,1.844038844,
689,1.767149806,
690,1.728589058,
690.9799805,1.639476657,
691.9699707,1.616368771,
692.9500122,1.558567524,
693.9400024,1.548865557,
695.0700073,1.422446609,
696.0499878,1.361021638,
697.039978,1.357673168,
698.0200195,1.284192204,
699.0100098,1.284247875,
700,1.240704179,

Sample 1,
Sample 1
Collection Time: 8/08/2023 3:46:18 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         700.00
Ex. Wavelength (nm)               390.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 8/08/2023 3:45:53 PM
Method Modifications:
Overlayed Graphs Changed: 8/08/2023 3:46:16 PM, Old:OFF, New:ON
Scan Control Changed: 8/08/2023 3:46:16 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 8/08/2023 3:46:16 PM, Old:0.10000, New:0.50000
Excitation Wavelength Changed: 8/08/2023 3:46:16 PM, Old: 350.00, New: 390.00
Stop Wavelength Changed: 8/08/2023 3:46:16 PM, Old: 600.00, New: 700.00
End Method Modifications

