Sample 38,,
Wavelength (nm),Intensity (a.u.),
436.8599854,0.383035928,
437.9100037,0.3429830968,
438.7999878,0.315677166,
439.8500061,0.3748916984,
440.8999939,0.3594536483,
441.8099976,0.3720210493,
442.8699951,0.3634192646,
443.7799988,0.3948878646,
444.8399963,0.4129351974,
445.8999939,0.3771879673,
446.8099976,0.3898076117,
447.8699951,0.4031005502,
448.7799988,0.3919799328,
449.8399963,0.4457238317,
450.8999939,0.5047918558,
451.8099976,0.5944066048,
452.8699951,0.6459540725,
453.7799988,0.7313532829,
454.8399963,0.8533609509,
455.8999939,0.929789722,
456.8099976,0.9835407734,
457.8699951,1.161071181,
458.7799988,1.325073361,
459.8399963,1.53593266,
460.8900146,1.80184865,
461.7900085,2.085958242,
462.8299866,2.339461803,
463.8800049,2.794621229,
464.769989,3.202528954,
465.8200073,3.612070322,
466.8599854,4.334708214,
467.9100037,5.107205868,
468.7999878,5.714987755,
469.8500061,6.644468784,
470.8900146,7.598965168,
471.7900085,8.642286301,
472.8299866,9.984073639,
473.8800049,11.60191536,
474.769989,12.98252106,
475.8200073,14.5912981,
476.8599854,16.8628273,
477.9100037,19.18278313,
478.7999878,21.33989525,
479.8500061,24.22926331,
480.8900146,26.65099525,
481.7900085,29.64105415,
482.8299866,33.72127533,
483.8800049,37.77335358,
484.769989,40.59050369,
485.8200073,44.87033844,
486.8599854,49.69683456,
487.9100037,54.9406929,
488.7999878,60.11083221,
489.8500061,64.86446381,
490.8900146,70.85334778,
491.7900085,75.97279358,
492.8299866,82.20068359,
493.8800049,88.97626495,
494.769989,94.42234802,
495.8200073,101.7173538,
496.8599854,108.9489365,
497.9100037,116.6468582,
498.7999878,121.7781906,
499.8500061,129.54776,
500.8900146,137.3810577,
501.7900085,144.1227417,
502.8299866,152.3834686,
503.8800049,158.0106354,
504.769989,164.5145874,
505.8200073,172.2629089,
506.8599854,179.3933105,
507.9100037,187.3405914,
508.7999878,192.8711243,
509.8500061,198.4421234,
510.8900146,205.2988434,
511.7900085,210.1679077,
512.8300171,216.5894012,
513.8800049,221.7722015,
514.7700195,226.4614105,
515.8200073,230.2925415,
516.8599854,233.8377075,
517.9099731,238.4670563,
518.7999878,240.9747925,
519.8499756,243.759964,
520.8800049,246.2319183,
521.9099731,248.8461761,
522.789978,250.19133,
523.8200073,251.1828613,
524.8499756,251.7271271,
525.8800049,253.5574799,
526.9099731,253.162384,
527.789978,252.549469,
528.8200073,252.3124542,
529.8499756,252.5475616,
530.8900146,250.987854,
531.789978,249.6095886,
532.8300171,247.983429,
533.8800049,246.7042084,
534.7700195,245.5436859,
535.8200073,244.194809,
536.8599854,241.6599884,
537.9099731,239.1668701,
538.7999878,237.3925934,
539.8499756,234.3277588,
540.8800049,232.3609619,
541.9099731,229.8988037,
542.789978,228.8622437,
543.8200073,224.7640991,
544.8499756,223.1696167,
545.8800049,218.8022308,
546.9099731,217.8193817,
547.789978,216.0005493,
548.8200073,212.5749817,
549.8499756,210.2658539,
550.8800049,207.2847137,
551.9099731,203.7074585,
552.789978,200.7519531,
553.8200073,198.7108459,
554.8499756,196.272934,
555.8800049,192.8401794,
556.9099731,190.4471588,
557.789978,187.7524109,
558.8200073,184.2214813,
559.8499756,181.3227081,
560.8800049,178.9445801,
561.9099731,176.3460541,
562.789978,173.237381,
563.8200073,170.7783508,
564.8499756,167.3181305,
565.8800049,163.8874969,
566.9099731,161.3699341,
567.789978,158.6633301,
568.8200073,156.3489685,
569.8499756,152.883194,
570.8599854,150.0744629,
571.8800049,147.0024261,
572.8900146,144.3557892,
573.9099731,140.9352875,
574.7800293,138.6144867,
575.789978,136.1422882,
576.8099976,132.8738708,
577.8200073,130.0359192,
578.8400269,126.806694,
579.8499756,124.4897537,
580.8800049,121.309906,
581.9099731,118.5997849,
582.789978,116.6786194,
583.8200073,113.779541,
584.8499756,111.3162003,
585.8800049,108.5158081,
586.9099731,106.4233246,
587.789978,103.2312775,
588.8200073,102.0591431,
589.8499756,99.31945038,
590.8599854,96.4703598,
591.8800049,95.13729858,
592.8900146,91.87844086,
593.9099731,90.09185791,
594.7800293,88.21942139,
595.789978,85.83977509,
596.8099976,83.47359467,
597.8200073,81.72622681,
598.8400269,79.60614014,
599.8499756,77.69764709,
600.8599854,75.4276886,
601.8800049,73.97138977,
602.8900146,72.51740265,
603.9099731,70.2845993,
604.7800293,68.87828827,
605.789978,66.93286133,
606.8099976,65.00778198,
607.8200073,63.58908844,
608.8400269,61.57870102,
609.8499756,60.16096115,
610.8599854,58.30105209,
611.8800049,57.09427643,
612.8900146,55.73994827,
613.9099731,54.3322525,
614.7800293,52.81143951,
615.789978,51.33912659,
616.8099976,50.13059616,
617.8200073,48.95938873,
618.8400269,47.6396904,
619.8499756,46.28443527,
620.8599854,44.80160141,
621.8800049,43.62969208,
622.8900146,42.77374649,
623.9099731,41.406353,
624.7800293,40.17840576,
625.789978,39.40414429,
626.8099976,37.99252701,
627.8200073,36.86255646,
628.8400269,35.95037842,
629.8499756,35.03964615,
630.8499756,33.75372314,
631.8499756,32.81044006,
632.8499756,32.1696701,
633.8499756,31.36239624,
634.8499756,30.2068367,
635.8499756,29.51923943,
636.8499756,28.54794312,
637.8499756,27.69377899,
638.8499756,26.66859436,
639.8499756,26.0937252,
640.8599854,25.39606285,
641.8800049,24.76224518,
642.8900146,24.01789856,
643.9099731,23.395504,
644.7800293,22.68018723,
645.789978,22.02861595,
646.8099976,21.30579376,
647.8200073,20.74518967,
648.8400269,20.16164398,
649.8499756,19.60153008,
650.8499756,19.06615448,
651.8499756,18.15215302,
652.8499756,17.81540298,
653.8499756,17.18227386,
654.8499756,16.7238636,
655.8499756,16.31625366,
656.8499756,15.82331944,
657.8499756,15.46313381,
658.8499756,14.77877712,
659.8499756,14.38600349,
660.8499756,13.9962616,
661.8499756,13.47095299,
662.8499756,13.04432297,
663.8499756,12.7202816,
664.8499756,12.39703465,
665.8499756,12.02852345,
666.8499756,11.62295055,
667.8499756,11.27215958,
668.8499756,10.9675312,
669.8499756,10.61822033,
670.8400269,10.25773144,
671.8300171,10.03043938,
672.8099976,9.834986687,
673.7999878,9.472606659,
674.7800293,9.177239418,
675.9099731,8.744887352,
676.9000244,8.454063416,
677.8800049,8.395294189,
678.8699951,7.95232296,
679.8499756,7.856236935,
680.8499756,7.613933563,
681.8499756,7.308178902,
682.8499756,7.091243744,
683.8499756,6.926836491,
684.8499756,6.65562582,
685.8499756,6.517799377,
686.8499756,6.362502098,
687.8499756,6.161681175,
688.8499756,5.921609879,
689.8499756,5.736166477,
690.8400269,5.627271652,
691.8300171,5.288049698,
692.8099976,5.261624813,
693.7999878,5.099559307,
694.7800293,4.948374748,
695.9099731,4.605044842,
696.9000244,4.726872921,
697.8800049,4.526405811,
698.8699951,4.464936733,
699.8499756,4.355786324,
700.8400269,4.203691006,
701.8300171,4.095955849,
702.8099976,4.061619759,
703.7999878,3.928198099,
704.7800293,3.796418428,
705.9099731,3.688379765,
706.9000244,3.536072969,
707.8800049,3.607903481,
708.8699951,3.532073498,
709.8499756,3.430256367,
710.8400269,3.246641874,
711.8300171,3.260804415,
712.8099976,3.134111643,
713.7999878,3.046803236,
714.7800293,2.997868538,
715.9099731,2.972903967,
716.9000244,2.836916924,
717.8800049,2.763341188,
718.8699951,2.723794222,
719.8499756,2.643561602,
720.8300171,2.671478033,
721.7999878,2.542950153,
722.9099731,2.391653299,
723.8800049,2.414046526,
724.8599854,2.36947298,
725.8300171,2.162695646,
726.7999878,2.238180876,
727.9099731,2.03202939,
728.8800049,2.116556644,
729.8599854,1.969618917,
730.8400269,1.938489556,
731.8300171,1.974998236,
732.8099976,1.867881775,
733.7999878,1.875745654,
734.7800293,1.782644391,
735.9099731,1.756842375,
736.9000244,1.719830632,
737.8800049,1.594526768,
738.8699951,1.549261212,
739.8499756,1.547952056,
740.8200073,1.48013258,
741.9099731,1.469124079,
742.8699951,1.363364697,
743.8300171,1.34662199,
744.789978,1.279177547,
745.8900146,1.279413462,
746.8400269,1.30514431,
747.7999878,1.141389132,
748.9000244,1.210827351,
749.8599854,1.143689275,
750.8300171,1.061270714,

Sample 38,
Sample 38
Collection Time: 21/05/2023 3:14:00 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        437.00
Stop (nm)                         750.00
Ex. Wavelength (nm)               427.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 21/05/2023 11:47:26 AM
Method Modifications:
