Sample 3,,
Wavelength (nm),Intensity (a.u.),
398.9299927,1.41748476,
400,1.132645369,
401.0599976,1.479678631,
401.9599915,1.84589529,
403.0299988,2.206016541,
403.9299927,2.80988574,
405,3.381566525,
406.0599976,4.675459385,
406.9599915,6.054337978,
408.0299988,7.812726498,
408.9299927,10.16366673,
410,13.42922878,
411.0599976,18.03874207,
411.9599915,22.73628426,
413.0299988,29.04677773,
413.9299927,37.36223984,
415,48.78031158,
416.0599976,61.95505524,
416.9599915,73.73612976,
418.0299988,89.47124481,
418.9299927,107.4383163,
420,126.4030304,
421.0599976,146.1272736,
421.9599915,157.4905396,
423.0299988,175.1671906,
423.9299927,183.9303894,
425,196.322113,
426.0599976,202.6018219,
426.9599915,204.4972839,
428.0299988,208.3933258,
428.9299927,208.5882111,
430,206.8705292,
431.0400085,206.1351776,
431.9400024,202.2920685,
432.980011,198.358139,
434.019989,194.8552094,
435.0700073,193.1482086,
435.9700012,191.9069672,
437.0100098,190.9871826,
438.0499878,190.7046814,
438.9500122,193.1264191,
440,194.6786499,
441.0599976,199.1005249,
441.9599915,202.9313965,
443.0299988,205.7152405,
443.9299927,209.590744,
445,214.9404602,
446.0599976,218.0540466,
446.9599915,220.5015106,
448.0299988,223.3415527,
448.9299927,225.0721741,
450,226.6739349,
451.0599976,226.5088196,
451.9599915,224.8212585,
453.0299988,224.3012543,
453.9299927,222.7658691,
455,218.1028137,
456.0599976,213.9377594,
456.9599915,210.4636841,
458.0299988,205.0432434,
458.9299927,200.7894897,
460,195.4655609,
461.0400085,189.5035553,
461.9400024,185.6615448,
462.980011,181.2460785,
464.019989,176.6420593,
465.0700073,171.4557343,
465.9700012,167.6857758,
467.0100098,163.8493042,
468.0499878,160.3789063,
468.9500122,157.1323547,
470,153.4972076,
471.0400085,150.0414734,
471.9400024,147.3357849,
472.980011,143.9962311,
474.019989,141.2276764,
475.0700073,138.8647614,
475.9700012,137.1949921,
477.0100098,133.4945374,
478.0499878,129.3954163,
478.9500122,126.2464676,
480,123.820488,
481.0400085,120.277977,
481.9400024,117.3845901,
482.980011,114.5033875,
484.019989,108.7884979,
485.0700073,106.3643723,
485.9700012,102.7668762,
487.0100098,98.57766724,
488.0499878,96.07635498,
488.9500122,91.70452118,
490,88.4757309,
491.0400085,84.91048431,
491.9400024,81.97211456,
492.980011,79.45113373,
494.019989,75.77216339,
495.0700073,73.09963989,
495.9700012,70.13103485,
497.0100098,67.32165527,
498.0499878,64.86430359,
498.9500122,62.74038696,
500,60.69347763,
501.0400085,58.5676651,
501.9400024,56.41779327,
502.980011,54.21339417,
504.019989,52.87445831,
505.0700073,49.77180862,
505.9700012,48.83637238,
507.0100098,47.35352325,
508.0499878,45.66667938,
508.9500122,44.3417511,
510,42.25048065,
511.0400085,40.93859863,
511.9400024,40.4440918,
512.9799805,38.51916504,
514.0200195,37.90036011,
515.0700073,35.6330452,
515.9699707,34.1152153,
517.0100098,33.15496063,
518.0499878,31.62094879,
518.9500122,31.2632103,
520,29.35930061,
521.0200195,28.26887512,
522.0499878,27.19831276,
522.9400024,26.13059616,
523.9699707,25.13816452,
525,24.40147209,
526.0200195,23.12657547,
527.0499878,22.26951408,
527.9400024,21.4602623,
528.9699707,20.84468079,
530,19.62546921,
531.039978,19.17334557,
531.9400024,18.38364983,
532.9799805,17.64777184,
534.0200195,16.84804916,
535.0700073,15.91990852,
535.9699707,15.62615871,
537.0100098,15.07904339,
538.0499878,14.1689539,
538.9500122,13.7277565,
540,13.59426022,
541.0200195,12.55294418,
542.0499878,11.97653389,
542.9400024,11.78028011,
543.9699707,11.30021286,
545,10.88941479,
546.0200195,10.51892853,
547.0499878,10.17585182,
547.9400024,9.53885746,
548.9699707,9.253371239,
550,8.780295372,
551.0200195,8.747044563,
552.0499878,8.298786163,
552.9400024,7.825930595,
553.9699707,7.520679951,
555,7.508379936,
556.0200195,7.000471115,
557.0499878,6.632410049,
557.9400024,6.617069721,
558.9699707,6.252233028,
560,6.065567493,
561.0200195,5.668934345,
562.0499878,5.547380924,
562.9400024,5.135581017,
563.9699707,5.144991875,
565,4.981291294,
566.0200195,4.756734371,
567.0499878,4.41759634,
567.9400024,4.492713928,
568.9699707,4.146111012,
570,3.942789078,
571.0100098,3.840329647,
572.0200195,3.605030775,
573.039978,3.48492527,
574.0499878,3.491892815,
575.0700073,3.184228182,
