Sample 4,,
Wavelength (nm),Intensity (a.u.),
398.9299927,0.4872984588,
400,0.1158448532,
401.0599976,0.08402243257,
401.9599915,0.1059456691,
403.0299988,0.09891546518,
403.9299927,0.1665752828,
405,0.09007947892,
406.0599976,0.1613050252,
406.9599915,0.118620649,
408.0299988,0.1256430596,
408.9299927,0.08299271762,
410,0.1117646247,
411.0599976,0.1743192822,
411.9599915,0.2016788125,
413.0299988,0.1741262376,
413.9299927,0.2018753588,
415,0.07594901323,
416.0599976,0.2276672572,
416.9599915,0.1203480214,
418.0299988,0.1119546592,
418.9299927,0.105288282,
420,0.09086461365,
421.0599976,0.07150058448,
421.9599915,0.04197653383,
423.0299988,0.03487358615,
423.9299927,-0.00695381267,
425,0.01404829789,
426.0599976,0.02774406038,
426.9599915,0.09833601862,
428.0299988,0.07079897076,
428.9299927,0.02818211168,
430,0.07060750574,
431.0400085,0.04199181125,
431.9400024,0.04891581461,
432.980011,0.07120326161,
434.019989,0.1380157471,
435.0700073,0.1464322805,
435.9700012,0.2225828171,
437.0100098,0.2577804625,
438.0499878,0.3702437878,
438.9500122,0.5181419253,
440,0.6021677852,
441.0599976,0.6358414292,
441.9599915,0.6923082471,
443.0299988,0.5674644709,
443.9299927,0.5176988244,
445,0.3433584571,
446.0599976,0.2281591147,
446.9599915,0.1876443475,
448.0299988,0.1430717558,
448.9299927,0.09207190573,
450,0.05755022913,
451.0599976,0.07277014107,
451.9599915,0.05728853121,
453.0299988,0.01491035149,
453.9299927,0.08156243712,
455,0,
456.0599976,-0.007258737925,
456.9599915,0.07656146586,
458.0299988,-0.02231495269,
458.9299927,0.08724417537,
460,0.03617788106,
461.0400085,0.08862301707,
461.9400024,0,
462.980011,0.014943216,
464.019989,0,
465.0700073,0,
465.9700012,0.01443595067,
467.0100098,0.03669886291,
468.0499878,-0.04274234921,
468.9500122,0.02987616323,
470,0.0285394229,
471.0400085,0.02915324271,
471.9400024,0.02215968259,
472.980011,0.05692937225,
474.019989,-0.02189285681,
475.0700073,0,
475.9700012,-0.05068387091,
477.0100098,-0.02333286591,
478.0499878,0.02974198759,
478.9500122,0.05225401372,
480,0.03647877648,
481.0400085,0.04423213005,
481.9400024,0.07183288783,
482.980011,-0.05079272762,
484.019989,0.01429776475,
485.0700073,0.02891176194,
485.9700012,-0.007462742273,
487.0100098,-0.007596821524,
488.0499878,0.02163924463,
488.9500122,0.03544289619,
490,0.06812504679,
491.0400085,0.0287385229,
491.9400024,0.02162224427,
492.980011,-0.007068586536,
494.019989,0.05046390742,
495.0700073,0,
495.9700012,-0.007130735088,
497.0100098,-0.02861865051,
498.0499878,-0.01440081839,
498.9500122,-0.02141037211,
500,0.0140380431,
501.0400085,0.04252785444,
501.9400024,-0.007084059063,
502.980011,0.05084474757,
504.019989,0.03589839116,
505.0700073,0.04352430999,
505.9700012,0.0500386022,
507.0100098,-0.007208661642,
508.0499878,0.04256074131,
508.9500122,-0.0364559032,
510,-0.01435997523,
511.0400085,0.028350899,
511.9400024,-0.02194121294,
512.9799805,-0.04226096347,
514.0200195,0.02188151889,
515.0700073,-0.01417464577,
515.9699707,0.01428724453,
517.0100098,-0.04999035969,
518.0499878,0.04340717196,
518.9500122,0.04395057261,
520,0.0672685951,
521.0200195,-0.007086720318,
522.0499878,-0.04282227531,
522.9400024,0.05651114509,
523.9699707,-0.03596578911,
525,-0.007200409193,
526.0200195,-0.02122391202,
527.0499878,0,
527.9400024,0,
528.9699707,-0.02167661302,
530,-0.03566334024,
531.039978,0.07771929353,
531.9400024,-0.02209733054,
532.9799805,0,
534.0200195,0.01441919431,
535.0700073,0.04395121336,
535.9699707,-0.03597536311,
537.0100098,0,
538.0499878,0,
538.9500122,0,
540,-0.03543611243,
541.0200195,0.02120291255,
542.0499878,-0.06331696361,
542.9400024,0.02126196958,
543.9699707,0.02138961107,
545,0.03488331661,
546.0200195,-0.01454291586,
547.0499878,-0.01395040657,
547.9400024,-0.04184684157,
548.9699707,0.0434489809,
550,0.03732345998,
551.0200195,0.007155686617,
552.0499878,0.02143821865,
552.9400024,0.007358676754,
553.9699707,0.04928050563,
555,-0.02823482826,
556.0200195,-0.04943328351,
557.0499878,0.01406222489,
557.9400024,0.02818588726,
558.9699707,-0.03599660471,
560,0.0493263416,
561.0200195,0.02820158377,
562.0499878,-0.04352209717,
562.9400024,0,
563.9699707,0.02822785638,
565,0.05602437258,
566.0200195,0.04983696342,
567.0499878,0.01458746661,
567.9400024,-0.01465018932,
568.9699707,0.03603733331,
570,0.08985331655,
571.0100098,-0.007438372821,
572.0200195,0.05875569955,
573.039978,0.04700610042,
574.0499878,0.01423882786,
575.0700073,0.04339586943,
575.9400024,0.03709473833,
576.9500122,0.007159836125,
577.9699707,-0.007164914627,
578.9799805,0.04262271523,
580,-0.02940830588,
581.0200195,0.03620669618,
582.0499878,0.02259852923,
582.9400024,-0.01536546741,
583.9699707,0.007079445291,
585,0.09371800721,
586.0200195,0.03611933812,
587.0499878,0.02122121118,
