Sample 3,,
Wavelength (nm),Intensity (a.u.),
340,5.048707485,
341.0700073,4.012056351,
342,4.311526299,
343.0700073,5.099379063,
344,5.876806259,
345.0700073,7.022308826,
346,8.453633308,
347.0700073,9.844739914,
348,11.48826885,
349.0700073,12.73127079,
350,14.486063,
351.0599976,16.24117088,
351.9599915,17.40984917,
353.0299988,18.54733849,
353.9299927,19.00146484,
355,19.8245697,
356.0599976,20.02441788,
356.9599915,20.17811584,
358.0299988,19.97122765,
358.9299927,20.15891075,
360,20.35273933,
361.0700073,20.38755798,
362,20.85963631,
363.0700073,21.29497337,
364,21.31693649,
365.0700073,21.73297501,
366,22.37462044,
367.0700073,22.67357826,
368,23.6146183,
369.0700073,23.5049324,
370,23.60349274,
371.0599976,23.69628334,
371.9599915,23.06795692,
373.0299988,22.81452179,
373.9299927,22.15419197,
375,21.31926537,
376.0599976,20.65503693,
376.9599915,19.91219139,
378.0299988,19.43070221,
378.9299927,18.87853241,
380,18.29338837,
381.0700073,17.54385948,
382,17.30912971,
383.0700073,16.66851044,
384,16.34916306,
385.0700073,15.77198887,
386,15.347929,
387.0700073,15.03537941,
388,14.51294804,
389.0700073,14.03730583,
390,13.81436253,
391.0599976,13.15878201,
391.9599915,13.05379677,
393.0299988,12.46013355,
393.9299927,12.06197071,
395,11.44910145,
396.0599976,11.16989517,
396.9599915,10.79171467,
398.0299988,10.5097723,
398.9299927,9.949346542,
400,9.776603699,
401.0599976,9.209118843,
401.9599915,8.801371574,
403.0299988,8.679804802,
403.9299927,8.406280518,
405,8.165044785,
406.0599976,7.865776539,
406.9599915,7.610178471,
408.0299988,7.496495724,
408.9299927,7.499261379,
410,7.506608963,
411.0599976,7.395028114,
411.9599915,7.308245182,
413.0299988,7.47836256,
413.9299927,7.484831333,
415,7.845007896,
416.0599976,7.97066927,
416.9599915,8.558901787,
418.0299988,8.756067276,
418.9299927,9.35674572,
420,10.08237648,
421.0599976,10.64713383,
421.9599915,11.49097729,
423.0299988,12.43706036,
423.9299927,13.65045166,
425,14.95570946,
426.0599976,16.43205261,
426.9599915,17.75358009,
428.0299988,19.27513695,
428.9299927,21.07409096,
430,23.63342476,
431.0400085,26.11252594,
431.9400024,28.04821205,
432.980011,30.9054966,
434.019989,34.32588959,
435.0700073,37.86530304,
435.9700012,41.19459152,
437.0100098,45.32593155,
438.0499878,48.88008118,
438.9500122,52.4984169,
440,57.35532761,
441.0599976,62.55478287,
441.9599915,67.13853455,
443.0299988,72.89665222,
