Sample 4,,
Wavelength (nm),Intensity (a.u.),
340,5.577455997,
341.0700073,4.660001755,
342,5.019303799,
343.0700073,5.821906567,
344,6.9845891,
345.0700073,8.334283829,
346,9.845522881,
347.0700073,11.69614506,
348,13.19126797,
349.0700073,15.37015438,
350,17.07493973,
351.0599976,19.09959984,
351.9599915,20.59341621,
353.0299988,21.83966064,
353.9299927,22.61593628,
355,23.32470512,
356.0599976,23.5876236,
356.9599915,23.90721703,
358.0299988,23.69307327,
358.9299927,23.75343132,
360,23.75422668,
361.0700073,23.59998512,
362,24.1305275,
363.0700073,24.55455589,
364,24.79385948,
365.0700073,25.5244236,
366,25.95274353,
367.0700073,26.66161537,
368,26.63456535,
369.0700073,27.10619926,
370,27.23028946,
371.0599976,27.04533958,
371.9599915,26.57876396,
373.0299988,25.92522621,
373.9299927,25.31381035,
375,24.50039482,
376.0599976,23.48700523,
376.9599915,23.07260132,
378.0299988,22.29694748,
378.9299927,21.42071342,
380,20.46468163,
381.0700073,19.98987198,
382,19.27521896,
383.0700073,18.71168518,
384,18.06029701,
385.0700073,17.52275848,
386,17.17850685,
387.0700073,16.35581398,
388,16.03409767,
389.0700073,15.41970539,
390,15.21054649,
391.0599976,14.47697353,
391.9599915,14.10165882,
393.0299988,13.45895481,
393.9299927,13.06850338,
395,12.51209164,
396.0599976,11.96244049,
396.9599915,11.45560265,
398.0299988,10.95708561,
398.9299927,10.48382187,
400,9.829935074,
401.0599976,9.64413166,
401.9599915,9.279223442,
403.0299988,8.786694527,
403.9299927,8.454061508,
405,8.111665726,
406.0599976,7.736866474,
406.9599915,7.394921303,
408.0299988,7.064511299,
408.9299927,6.737801075,
410,6.537983894,
411.0599976,6.123571396,
411.9599915,5.899326324,
413.0299988,5.732492924,
413.9299927,5.482729435,
415,5.13288784,
416.0599976,4.846063137,
416.9599915,4.833780289,
418.0299988,4.538027763,
418.9299927,4.297047615,
420,4.088011265,
421.0599976,4.060240746,
421.9599915,3.707895994,
423.0299988,3.608709335,
423.9299927,3.434731722,
425,3.128624916,
426.0599976,3.16249156,
426.9599915,2.99698925,
428.0299988,2.821346283,
428.9299927,2.867553473,
430,2.536157131,
431.0400085,2.350371599,
431.9400024,2.323527813,
432.980011,2.212850809,
434.019989,2.124806643,
435.0700073,2.049046278,
435.9700012,1.987054229,
437.0100098,1.928777814,
438.0499878,1.822227001,
438.9500122,1.745678067,
440,1.68435812,
441.0599976,1.582027078,
441.9599915,1.524683475,
443.0299988,1.413773656,
443.9299927,1.438331604,
445,1.331548929,
446.0599976,1.291819692,
446.9599915,1.268885136,
448.0299988,1.11521697,
448.9299927,1.22432363,
450,1.06085968,
451.0599976,1.099458456,
451.9599915,1.034722567,
453.0299988,0.9883016944,
453.9299927,0.9465279579,
455,0.9859400988,
456.0599976,0.8634613752,
456.9599915,0.8297833204,
458.0299988,0.8329418302,
458.9299927,0.7428848743,
460,0.745024085,
461.0400085,0.7696872354,
461.9400024,0.6942806244,
462.980011,0.6638430357,
464.019989,0.7268527746,
465.0700073,0.6576997042,
465.9700012,0.6145602465,
467.0100098,0.7702656388,
468.0499878,0.627897501,
468.9500122,0.6387646794,
470,0.5756892562,
471.0400085,0.5208423734,
471.9400024,0.4947018325,
472.980011,0.5196306705,
474.019989,0.5229557157,
475.0700073,0.4124037325,
475.9700012,0.4558063745,
477.0100098,0.535860002,
478.0499878,0.4090881646,
478.9500122,0.4718963504,
480,0.3768574893,
481.0400085,0.4419360161,
481.9400024,0.3429564834,
482.980011,0.3378493786,
484.019989,0.3869915009,
485.0700073,0.4088250399,
485.9700012,0.4609917402,
487.0100098,0.3347781599,
488.0499878,0.3867028654,
488.9500122,0.3041632771,
490,0.4048468769,
491.0400085,0.3479187191,
491.9400024,0.358712852,
492.980011,0.2309620082,
494.019989,0.342813164,
495.0700073,0.2432582676,
495.9700012,0.3552055061,
497.0100098,0.3205225468,
498.0499878,0.2379028201,
498.9500122,0.3535655141,
500,0.28344962,
501.0400085,0.1675047725,
501.9400024,0.2083039135,
502.980011,0.2315823883,
504.019989,0.2049924135,
505.0700073,0.3008090854,
505.9700012,0.2995993197,
507.0100098,0.2964325845,
508.0499878,0.2210783213,
508.9500122,0.1855074763,
510,0.1492370218,
511.0400085,0.1929258257,
511.9400024,0.1466808468,
512.9799805,0.2266444713,
514.0200195,0.2371233553,
515.0700073,0.1999300271,
515.9699707,0.1761518121,
517.0100098,0.1787906289,
518.0499878,0.1703850478,
518.9500122,0.1535325646,
520,0.1435838491,
521.0200195,0.1597157121,
522.0499878,0.1943654269,
522.9400024,0.1963518411,
523.9699707,0.08825689554,
525,0.1568658948,
526.0200195,0.2216163278,
527.0499878,0.1979049444,
527.9400024,0.1238290593,
528.9699707,0.09963302314,
530,0.2015777677,
531.039978,0.1438815296,
531.9400024,0.1306287646,
532.9799805,0.1062928736,
534.0200195,0.1371397972,
535.0700073,0.09332586825,
535.9699707,0.04081521556,
537.0100098,0.1030475497,
538.0499878,0.154804498,
538.9500122,0.2130023837,
540,0.1113500446,
541.0200195,0.1685366184,
542.0499878,0.05557600781,
542.9400024,0.09019415826,
543.9699707,0.07916484028,
545,0.09669476002,
546.0200195,0.0345765911,
547.0499878,0.05301683769,
547.9400024,0.1048910692,
548.9699707,0.04853763059,
550,0.1088609397,
551.0200195,0.07816164196,
552.0499878,0.06207131967,
552.9400024,0.09723288566,
553.9699707,0.1503302157,
555,0.06766013801,
556.0200195,0.1131824255,
557.0499878,0.1573865563,
557.9400024,0.09330227971,
558.9699707,0.1163939163,
560,0.1301283985,
561.0200195,0.0695412606,
562.0499878,0.1327826828,
562.9400024,0.09773425013,
563.9699707,0.0512843281,
565,0.03942868114,
566.0200195,0.0975632742,
567.0499878,0.08395713568,
567.9400024,0.1360553503,
568.9699707,0.0741237402,
570,0.04369468614,
571.0100098,0.02031666972,
572.0200195,0.1042388231,
573.039978,0.06418463588,
574.0499878,0.1113322824,
575.0700073,0.0233201962,
575.9400024,0.0602728352,
576.9500122,0.04680114239,
577.9699707,0.05143803731,
578.9799805,0.02717243694,
580,0.08298210055,
581.0200195,0.02394931018,
582.0499878,0.03944591805,
582.9400024,0.06142086908,
583.9699707,0.124284938,
585,0.05527190119,
586.0200195,0.01984350011,
587.0499878,0.04710410535,
587.9400024,0.04689787328,
588.9699707,0.03642239422,
590,0.1206248999,
591.0100098,0.01347150654,
592.0200195,0.08454772085,
593.039978,0.09178882837,
594.0499878,0.1161475852,
595.0700073,0.02406300418,
595.9400024,0.09478768706,
596.9500122,0.07410751283,
597.9699707,0.09129857272,
598.9799805,0.04296768084,
600,0.1041201353,
601.0100098,0.006954465993,
602.0200195,0.1167393625,
