Sample 34,,
Wavelength (nm),Intensity (a.u.),
346,1.404364347,
347.0700073,0.913659215,
348,0.863597095,
349.0700073,0.7215560675,
350,0.9679947495,
351.0599976,0.9148421288,
351.9599915,1.029897332,
353.0299988,1.397055507,
353.9299927,1.235019684,
355,1.381475687,
356.0599976,1.428926468,
356.9599915,1.224605083,
358.0299988,1.355921626,
358.9299927,1.151843667,
360,1.27447927,
361.0700073,1.15619576,
362,1.14382875,
363.0700073,1.013747096,
364,1.221586466,
365.0700073,1.353429794,
366,1.014900684,
367.0700073,1.402896285,
368,1.518055677,
369.0700073,1.531980157,
370,1.69797802,
371.0599976,2.096993923,
371.9599915,2.583070993,
373.0299988,2.623463869,
373.9299927,2.974707127,
375,3.518746138,
376.0599976,3.288755894,
376.9599915,3.35990715,
378.0299988,3.162655354,
378.9299927,3.35602355,
380,2.959645271,
381.0700073,2.879318953,
382,2.919979095,
383.0700073,3.063313723,
384,3.015813351,
385.0700073,2.939297199,
386,3.032302618,
387.0700073,3.032028675,
388,2.773776531,
389.0700073,2.977699041,
390,3.158341408,
391.0599976,3.270977259,
391.9599915,3.221679211,
393.0299988,3.25872016,
393.9299927,3.26254034,
395,3.310353756,
396.0599976,3.275547743,
396.9599915,3.212786436,
398.0299988,3.418507338,
398.9299927,3.090542078,
400,3.371611595,
401.0599976,3.268277407,
401.9599915,3.283242941,
403.0299988,3.516394138,
403.9299927,3.291191339,
405,3.401629686,
406.0599976,3.132104874,
406.9599915,3.286614895,
408.0299988,3.348042011,
408.9299927,3.08316803,
410,3.096883535,
411.0599976,3.006810188,
411.9599915,3.071312189,
413.0299988,2.997542858,
413.9299927,2.838403463,
415,2.871430874,
416.0599976,2.725242853,
416.9599915,2.851044655,
418.0299988,2.851772547,
418.9299927,2.665606976,
420,2.814662695,
421.0599976,2.536915541,
421.9599915,2.589625359,
423.0299988,2.771887064,
423.9299927,2.563000202,
425,2.464332104,
426.0599976,2.324096918,
426.9599915,2.488168955,
428.0299988,2.520528793,
428.9299927,2.288517952,
430,2.23171258,
431.0400085,2.004563332,
431.9400024,2.151124477,
432.980011,2.234988689,
434.019989,2.059617043,
435.0700073,2.054978609,
435.9700012,2.047448874,
437.0100098,1.758958697,
438.0499878,1.893753886,
438.9500122,1.751962543,
440,1.868691087,
441.0599976,2.056413889,
441.9599915,1.789496183,
443.0299988,1.779039979,
443.9299927,1.759215474,
445,1.66305244,
446.0599976,1.561164737,
446.9599915,1.66241467,
448.0299988,1.508716106,
448.9299927,1.395438313,
450,1.486377597,
451.0599976,1.433075428,
451.9599915,1.376096606,
453.0299988,1.455442905,
453.9299927,1.386261344,
455,1.385257125,
456.0599976,1.251446962,
456.9599915,1.215824366,
458.0299988,1.221976876,
458.9299927,1.59655261,
460,1.406909466,
461.0400085,1.267113686,
461.9400024,1.410415173,
462.980011,1.293519974,
464.019989,1.199854732,
465.0700073,1.234880686,
465.9700012,1.192106247,
467.0100098,1.223395109,
468.0499878,1.18402195,
468.9500122,1.235545754,
470,1.19001019,
471.0400085,1.07241106,
471.9400024,0.9261689186,
472.980011,1.087213397,
474.019989,0.9679160118,
475.0700073,1.090299606,
475.9700012,0.975322783,
477.0100098,1.040760517,
478.0499878,0.870146215,
478.9500122,0.7403408289,
480,0.8546870947,
481.0400085,0.9075262547,
481.9400024,0.7584434748,
482.980011,0.9049080014,
484.019989,0.7523249984,
485.0700073,0.8275378942,
485.9700012,0.8143832684,
487.0100098,0.8280991316,
488.0499878,0.6812938452,
488.9500122,0.7710464597,
490,0.6943801641,
491.0400085,0.5094794035,
491.9400024,0.5610185266,
492.980011,0.7012051344,
494.019989,0.6335429549,
495.0700073,0.492759645,
495.9700012,0.544950664,
497.0100098,0.6488779187,
498.0499878,0.5130916238,
498.9500122,0.6211971641,
500,0.515681386,
501.0400085,0.5453242064,
501.9400024,0.6102235913,
502.980011,0.6375270486,
504.019989,0.2791476846,
505.0700073,0.5430229306,
505.9700012,0.5897917747,
507.0100098,0.4429538548,
508.0499878,0.3993291259,
508.9500122,0.5166501999,
510,0.4180019498,
511.0400085,0.5510075688,
511.9400024,0.4361099005,
512.9799805,0.300870955,
