Sample 33,,
Wavelength (nm),Intensity (a.u.),
344.9200134,1.000591159,
345.8399963,0.6486586928,
346.9200134,0.7684426308,
347.8399963,0.7784160376,
348.9200134,0.619425118,
349.8399963,0.5846783519,
350.8999939,0.5612949133,
351.9599915,0.5603767633,
352.8699951,0.6154525876,
353.9299927,0.4775622785,
354.8399963,0.4517837763,
355.8999939,0.4470415413,
356.9599915,0.4969638586,
357.8699951,0.3821534216,
358.9299927,0.4963256121,
359.8399963,0.3455709517,
360.9200134,0.3951202631,
361.8399963,0.4190169275,
362.9200134,0.3733099699,
363.8399963,0.4792408645,
364.9200134,0.4515546262,
365.8399963,0.6045850515,
366.9200134,0.5261312127,
367.8399963,0.5404632092,
368.9200134,0.7603117228,
369.8399963,0.8973127604,
370.8999939,1.01244998,
371.9599915,1.470588207,
372.8699951,1.640179634,
373.9299927,1.767063141,
374.8399963,1.790025115,
375.8999939,1.653389454,
376.9599915,1.515514135,
377.8699951,1.577865243,
378.9299927,1.266151547,
379.8399963,1.091774225,
380.9200134,1.002482414,
381.8399963,0.6732847095,
382.9200134,1.03544414,
383.8399963,0.7986582518,
384.9200134,0.9256156087,
385.8399963,1.072211862,
386.9200134,0.77327317,
387.8399963,1.07548368,
388.9200134,1.017921567,
389.8399963,1.160793781,
390.8999939,1.043808818,
391.9599915,0.9771683216,
392.8699951,1.151136637,
393.9299927,1.227718472,
394.8399963,1.486881852,
395.8999939,1.392191172,
396.9599915,1.5390414,
397.8699951,1.462606072,
398.9299927,1.607901692,
399.8399963,1.648030043,
400.8999939,1.788963914,
401.9599915,1.935575247,
402.8699951,1.873152018,
403.9299927,2.015240192,
404.8399963,2.240852356,
405.8999939,2.476588488,
406.9599915,2.492211819,
407.8699951,2.571056843,
408.9299927,2.962547064,
409.8399963,2.981514692,
410.8999939,3.504819155,
411.9599915,3.64091301,
412.8699951,3.9634974,
413.9299927,4.332445145,
414.8399963,4.316027164,
415.8999939,5.036261082,
416.9599915,5.368936539,
417.8699951,5.523658276,
418.9299927,5.908218861,
419.8399963,6.308043003,
420.8999939,6.735694408,
421.9599915,7.48864603,
422.8699951,7.931471825,
423.9299927,8.425045013,
424.8399963,9.197245598,
425.8999939,10.09413815,
426.9599915,10.75959301,
427.8699951,11.4616375,
428.9299927,12.46086311,
429.8399963,13.86492538,
430.8900146,14.56984615,
431.9400024,15.86035061,
432.980011,17.06354904,
433.8800049,18.39102173,
434.9200134,19.80649567,
435.9700012,21.68385506,
436.8599854,23.31255913,
437.9100037,25.21075439,
438.9500122,27.29384422,
439.8500061,29.32648277,
440.8999939,32.31637192,
441.9599915,34.2764473,
442.8699951,36.79986954,
443.9299927,40.42313385,
444.8399963,43.0017128,
445.8999939,46.21622086,
446.9599915,49.96747208,
447.8699951,53.88368988,
448.9299927,58.11888123,
449.8399963,62.0230217,
450.8999939,68.24802399,
451.9599915,71.77145386,
452.8699951,78.32583618,
453.9299927,83.93622589,
454.8399963,89.61325836,
455.8999939,94.70967102,
456.9599915,101.3570862,
457.8699951,107.5372849,
458.9299927,114.9745941,
459.8399963,122.2554321,
460.8900146,129.8743744,
461.9400024,137.550415,
462.980011,146.0170135,
463.8800049,152.8764801,
464.9200134,162.7741089,
465.9700012,171.1904602,
466.8599854,177.8188629,
467.9100037,188.4827423,
468.9500122,195.981781,
469.8500061,204.5937805,
470.8900146,213.2994232,
471.9400024,224.958847,
472.980011,235.3687134,
473.8800049,241.2534637,
474.9200134,251.340683,
475.9700012,258.1959534,
476.8599854,264.8644409,
477.9100037,275.8306885,
478.9500122,285.9919128,
479.8500061,293.4455261,
480.8900146,302.053772,
481.9400024,309.8913879,
482.980011,321.1485901,
483.8800049,326.4292908,
484.9200134,334.3959656,
485.9700012,342.5575562,
486.8599854,346.769989,
487.9100037,355.239624,
488.9500122,363.2293701,
489.8500061,367.510498,
490.8900146,373.6074524,
491.9400024,377.9014893,
492.980011,387.5277405,
493.8800049,391.836853,
494.9200134,394.1476746,
495.9700012,399.2583618,
496.8599854,406.7940674,
497.9100037,406.1507874,
498.9500122,413.1427917,
499.8500061,414.2893066,
500.8900146,421.0023499,
501.9400024,420.5458069,
502.980011,423.1792297,
503.8800049,425.4612122,
504.9200134,429.0252686,
505.9700012,429.3036194,
506.8599854,428.9276428,
507.9100037,431.946167,
508.9500122,433.4961548,
509.8500061,433.0715027,
510.8900146,431.2598572,
511.9400024,431.1592712,
512.9799805,430.0340576,
513.8800049,432.5786133,
514.9199829,428.2862854,
515.9699707,426.5653992,
516.8599854,427.9764709,
517.9099731,424.363678,
518.9500122,424.4953918,
519.8499756,420.3905945,
520.8800049,416.5202026,
521.9099731,412.5039978,
522.9400024,410.7165527,
523.9699707,408.6826782,
524.8499756,409.1100159,
525.8800049,406.2454529,
526.9099731,397.0346985,
527.9400024,392.6949158,
528.9699707,388.7156982,
529.8499756,386.7636414,
530.8900146,384.6021423,
531.9400024,378.6782532,
532.9799805,372.0559998,
533.8800049,369.9111938,
534.9199829,365.493042,
535.9699707,359.6672974,
536.8599854,356.493103,
537.9099731,348.3149719,
538.9500122,345.5240173,
539.8499756,338.4394226,
540.8800049,336.8847351,
541.9099731,331.6990662,
542.9400024,327.5509949,
543.9699707,319.855896,
544.8499756,316.8049011,
545.8800049,309.2267761,
546.9099731,303.3003235,
547.9400024,299.1552734,
548.9699707,293.5897217,
549.8499756,288.5446472,
550.8800049,284.1792603,
551.9099731,279.3143921,
552.9400024,273.2025452,
553.9699707,268.7104797,
554.8499756,262.4477234,
555.8800049,258.6585083,
556.9099731,252.026886,
557.9400024,247.8042755,
558.9699707,242.4165955,
559.8499756,237.2284241,
560.8800049,232.2753601,
561.9099731,228.470459,
