Sample 34,,
Wavelength (nm),Intensity (a.u.),
344.9200134,1.023315787,
345.8399963,0.9583707452,
346.9200134,0.8018650413,
347.8399963,0.8188667297,
348.9200134,0.6239860058,
349.8399963,0.66645509,
350.8999939,0.6741435528,
351.9599915,0.66409266,
352.8699951,0.5982273817,
353.9299927,0.701032877,
354.8399963,0.5629906058,
355.8999939,0.9203135371,
356.9599915,0.628012538,
357.8699951,0.7569664717,
358.9299927,0.8504874706,
359.8399963,0.5186958909,
360.9200134,0.6875859499,
361.8399963,0.6182953119,
362.9200134,0.7048718333,
363.8399963,0.6013990641,
364.9200134,0.7385751605,
365.8399963,0.9454774261,
366.9200134,0.9887377024,
367.8399963,0.8227130771,
368.9200134,1.069900155,
369.8399963,1.37032187,
370.8999939,1.680619955,
371.9599915,2.245311975,
372.8699951,2.514296293,
373.9299927,2.778047085,
374.8399963,2.871453524,
375.8999939,2.750164986,
376.9599915,2.759720325,
377.8699951,2.334521294,
378.9299927,1.960443377,
379.8399963,1.985287309,
380.9200134,1.908396959,
381.8399963,1.678931713,
382.9200134,1.907740355,
383.8399963,1.722626448,
384.9200134,1.718788028,
385.8399963,1.611824155,
386.9200134,1.770154595,
387.8399963,1.792729378,
388.9200134,1.520106912,
389.8399963,1.958713889,
390.8999939,2.157873869,
391.9599915,2.041226387,
392.8699951,2.161175013,
393.9299927,2.129505396,
394.8399963,2.283421993,
395.8999939,1.989973068,
396.9599915,2.10420537,
397.8699951,2.044830322,
398.9299927,1.900273561,
399.8399963,2.041442871,
400.8999939,1.941626906,
401.9599915,2.015456915,
402.8699951,1.943166256,
403.9299927,1.952014327,
404.8399963,1.841480494,
405.8999939,1.82631731,
406.9599915,1.805413127,
407.8699951,1.774042964,
408.9299927,1.773293614,
409.8399963,1.809418082,
410.8999939,1.637408495,
411.9599915,1.897357583,
412.8699951,1.619445801,
413.9299927,1.895398617,
414.8399963,1.888529181,
415.8999939,1.641206861,
416.9599915,1.77089262,
417.8699951,1.627568483,
418.9299927,1.550435662,
419.8399963,1.827389121,
420.8999939,1.525506496,
421.9599915,1.735844374,
422.8699951,1.521969318,
423.9299927,1.739685535,
424.8399963,1.432157397,
425.8999939,1.444575906,
426.9599915,1.478077888,
427.8699951,1.466117263,
428.9299927,1.386487126,
429.8399963,1.325205445,
430.8900146,1.545620203,
431.9400024,1.491957426,
432.980011,1.302185416,
433.8800049,1.377602339,
434.9200134,1.429691434,
435.9700012,1.403508782,
436.8599854,1.175530195,
437.9100037,1.3288517,
438.9500122,1.455626607,
439.8500061,1.476003051,
440.8999939,1.188363552,
441.9599915,1.211526394,
442.8699951,1.290052056,
443.9299927,1.32206881,
444.8399963,1.241550565,
445.8999939,1.279530525,
446.9599915,1.300736547,
447.8699951,1.150068402,
448.9299927,1.220710754,
449.8399963,1.132046223,
450.8999939,1.3274405,
451.9599915,1.268647671,
452.8699951,1.424126506,
453.9299927,1.207120538,
454.8399963,1.201386213,
455.8999939,1.213781118,
456.9599915,1.144217134,
457.8699951,1.170190692,
458.9299927,1.119326591,
459.8399963,1.240598679,
460.8900146,1.450029254,
461.9400024,1.105230451,
462.980011,1.207293987,
463.8800049,1.080234885,
464.9200134,1.244694114,
465.9700012,1.158130646,
466.8599854,1.171754599,
467.9100037,1.174180865,
468.9500122,1.023557305,
469.8500061,1.152335763,
470.8900146,1.032169342,
471.9400024,1.19799614,
472.980011,1.115229964,
473.8800049,1.09642446,
474.9200134,1.317287326,
475.9700012,0.9531399012,
476.8599854,0.9351423383,
477.9100037,1.184261799,
478.9500122,1.035276651,
479.8500061,0.8785967231,
480.8900146,1.0570997,
481.9400024,1.093889594,
482.980011,1.172537327,
483.8800049,0.8821071386,
484.9200134,1.017437339,
485.9700012,1.150977612,
486.8599854,0.8713975549,
487.9100037,0.9498663545,
488.9500122,0.9438049197,
489.8500061,1.022004962,
490.8900146,0.9180735946,
491.9400024,0.7639186382,
492.980011,0.853123188,
493.8800049,1.016117215,
494.9200134,0.7844518423,
495.9700012,0.6934598684,
496.8599854,0.8562576771,
497.9100037,0.9257854223,
498.9500122,1.054127097,
499.8500061,0.9635258913,
500.8900146,0.8334876895,
501.9400024,0.9092794657,
502.980011,0.7527708411,
503.8800049,0.8159801364,
504.9200134,0.7587733269,
505.9700012,0.8740286827,
506.8599854,0.7598784566,
507.9100037,0.8049973845,
508.9500122,0.7927196622,
509.8500061,0.6451820731,
510.8900146,0.6823080182,
511.9400024,0.753615737,
512.9799805,0.6212241054,
513.8800049,0.7266961336,
514.9199829,0.7009829879,
515.9699707,0.761433363,
516.8599854,0.7182947993,
517.9099731,0.7329041958,
518.9500122,0.682767272,
519.8499756,0.6691307425,
520.8800049,0.7187235951,
521.9099731,0.5797567964,
522.9400024,0.5354214907,
523.9699707,0.7082969546,
524.8499756,0.7458330393,
525.8800049,0.7389202118,
526.9099731,0.5468788147,
527.9400024,0.6108836532,
528.9699707,0.45006001,
529.8499756,0.6495561004,
530.8900146,0.6651309133,
531.9400024,0.7060107589,
532.9799805,0.4471129179,
533.8800049,0.5903847218,
534.9199829,0.6366438866,
535.9699707,0.5813577771,
536.8599854,0.5657352805,
537.9099731,0.5611402392,
538.9500122,0.6238303185,
539.8499756,0.5844535232,
540.8800049,0.6567015052,
541.9099731,0.6214268208,
542.9400024,0.3768252432,
543.9699707,0.4659542739,
544.8499756,0.5497778058,
545.8800049,0.5928884745,
546.9099731,0.369355768,
547.9400024,0.4420657158,
548.9699707,0.3068802357,
549.8499756,0.5427786708,
550.8800049,0.4541681409,
551.9099731,0.5074347258,
552.9400024,0.3311519325,
553.9699707,0.3493394256,
554.8499756,0.3501957953,
555.8800049,0.4064786434,
556.9099731,0.4490201771,
557.9400024,0.3905700743,
558.9699707,0.4554356337,
559.8499756,0.4338058531,
560.8800049,0.2344079763,
561.9099731,0.5925520658,
562.9400024,0.3079718351,
563.9699707,0.392270565,
564.8499756,0.3990168273,
565.8800049,0.4993991554,
566.9099731,0.373791039,
567.9400024,0.5931383371,
568.9699707,0.3311832845,
569.8499756,0.4300744832,
570.8599854,0.2955726087,
571.8800049,0.229382351,
572.8900146,0.1843346208,
573.9099731,0.3358573616,
574.9199829,0.418124944,
575.9400024,0.3801558614,
576.9500122,0.3171079755,
577.9699707,0.3250924945,
578.9799805,0.3683831394,
579.8499756,0.4258809388,
580.8800049,0.4127178192,
581.9099731,0.2496878952,
582.9400024,0.1372071356,
583.9699707,0.2960608304,
584.8499756,0.3259604275,
585.8800049,0.2595338225,
586.9099731,0.3003952503,
587.9400024,0.4792222977,
588.9699707,0.2864026129,
589.8499756,0.1822972745,
590.8599854,0.2623897195,
591.8800049,0.2832294703,
592.8900146,0.2179836482,
593.9099731,0.3612716794,
594.9199829,0.3500063717,
595.9400024,0.1657055616,
596.9500122,0.09242286533,
597.9699707,0.2618002892,
598.9799805,0.1217063218,
599.8499756,0.1637787074,
600.8599854,0.3519155383,
601.8800049,0.3666585386,
602.8900146,0.321715802,
603.9099731,0.1239234135,
604.9199829,0.1887385994,
605.9400024,0.1303377301,
606.9500122,0.2876334488,
607.9699707,0.3323639333,
608.9799805,0.323912859,
609.8499756,0.3576315343,
610.8599854,0.1996958405,
611.8800049,0.1733757854,
612.8900146,0.1574034691,
613.9099731,0.09693053365,
614.9199829,0.07837973535,
615.9400024,0.01619118452,
616.9500122,0.3161055744,
617.9699707,0.2111314982,
618.9799805,0.1307809353,
619.8499756,0.1407569647,
620.8599854,0.1262407005,
621.8800049,0.1262168139,
622.8900146,0.1103039682,
623.9099731,0.1100576967,
624.9199829,0.132700786,
625.9400024,0.1704448611,
626.9500122,0.1826787293,
627.9699707,0.2183985263,
628.9799805,0.2082265615,
629.8499756,0.1938422769,
630.8499756,0.1549234688,
631.8499756,0.1653220505,
632.8499756,0.1591900289,
633.8499756,0.1581152678,
634.8499756,0.1552385241,
635.8499756,0.1870003641,
636.8499756,0.09214325249,
637.8499756,0.215650022,
638.8499756,0.09517163038,
639.8499756,0.1912381053,
640.8599854,0.1136640385,
641.8800049,0.1758059114,
642.8900146,0.2589290142,
643.9099731,0.09809210896,
644.9199829,0.09462975711,
645.9400024,0.0912103653,
646.9500122,0.1537184417,
647.9699707,0.1914577931,
648.9799805,0.125855431,
649.8499756,-0.04624491185,
650.8499756,-0.03185119107,
651.8499756,0.0820883289,
652.8499756,0.1104519069,
653.8499756,0.1154505908,
654.8499756,0.01592737064,
655.8499756,0.199594155,
656.8499756,0.2032520324,
657.8499756,0.03151641041,
658.8499756,0.03090712614,
659.8499756,0.01589749195,
660.8499756,0.1727549732,
661.8499756,0.129668057,
662.8499756,0.1992825866,
663.8499756,0.5185906887,
664.8499756,0.5326272249,
665.8499756,1.034330726,
666.8499756,1.215747118,
667.8499756,1.563190818,
668.8499756,2.265777111,
669.8499756,2.881145,
670.9799805,3.197728872,
671.9699707,3.440611362,
672.9500122,3.666712761,
673.9400024,3.587950468,
674.9199829,3.927073002,
675.9099731,3.572304726,
676.9000244,3.065861464,
677.8800049,2.392228365,
678.8699951,1.954219818,
679.8499756,1.57049334,
680.8499756,1.243761539,
681.8499756,0.8970136046,
682.8499756,0.5174036026,
683.8499756,0.2782200277,
684.8499756,0.2481697649,
685.8499756,0.2312744707,
686.8499756,0.07676246762,
687.8499756,0.2354085892,
688.8499756,0.04581411928,
689.8499756,0.2914413214,
690.9799805,0.2647438943,
691.9699707,0.01560427528,
692.9500122,0.253855437,
693.9400024,0.1694471389,
694.9199829,-0.06821980327,
695.9099731,0.1079497263,
696.9000244,-0.06493190676,
697.8800049,0.1850252897,
698.8699951,0.04867838323,
699.8499756,0.1450115889,
700.9799805,-0.04739037156,

Sample 34,
Sample 34
Collection Time: 21/05/2023 3:06:19 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        345.00
Stop (nm)                         700.00
Ex. Wavelength (nm)               335.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 21/05/2023 11:47:26 AM
Method Modifications:
Overlayed Graphs Changed: 21/05/2023 1:20:46 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 350.00, New: 341.00
Emission Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 400.00, New: 351.00
Stop Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 600.00, New: 650.00
PMT Volts Changed: 21/05/2023 1:21:47 PM, Old:600, New:800
Emission PMT (V): Changed: 21/05/2023 1:21:47 PM, Old: 600, New: 800
Scan mode: Changed: 21/05/2023 1:22:38 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 341.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 351.00, New: 381.00
Stop Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 650.00, New: 371.00
Scan mode: Changed: 21/05/2023 1:24:38 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:24:38 PM, Old: 220.00, New: 381.00
Emission Wavelength Changed: 21/05/2023 1:24:38 PM, Old: 381.00, New: 220.00
Excitation Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 381.00, New: 339.00
Emission Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 220.00, New: 349.00
Stop Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 371.00, New: 650.00
User Delta Stop Changed: 21/05/2023 1:31:08 PM, Old: 450.00, New: 553.00
User Delta Increment Changed: 21/05/2023 1:31:08 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 339.00, New: 553.00
Emission Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 349.00, New: 563.00
Stop Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 650.00, New: 850.00
PMT Volts Changed: 21/05/2023 1:31:49 PM, Old:800, New:600
Emission PMT (V): Changed: 21/05/2023 1:31:49 PM, Old: 800, New: 600
Scan mode: Changed: 21/05/2023 1:33:46 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 21/05/2023 1:33:46 PM, Old: 553.00, New: 630.00
Excitation Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 553.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 563.00, New: 630.00
Stop Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 850.00, New: 620.00
Scan mode: Changed: 21/05/2023 1:43:42 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 220.00, New: 352.00
Emission Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 630.00, New: 362.00
