Sample 13,,
Wavelength (nm),Intensity (a.u.),
340.9200134,0.5300078392,
341.8399963,0.3409055769,
342.9200134,0.3350594044,
343.8399963,0.2327168882,
344.9200134,0.5172656775,
345.8399963,0.3063303232,
346.9200134,0.4230516255,
347.8399963,0.3648692071,
348.9200134,0.3932303786,
349.8399963,0.3641107976,
350.8999939,0.2796246707,
351.9599915,0.3522529006,
352.8699951,0.2476166934,
353.9299927,0.2893386483,
354.8399963,0.3245749772,
355.8999939,0.283513695,
356.9599915,0.3299863338,
357.8699951,0.312959671,
358.9299927,0.2827210426,
359.8399963,0.2626415491,
360.9200134,0.140957579,
361.8399963,0.4037455022,
362.9200134,0.4398504496,
363.8399963,0.5020868182,
364.9200134,0.4656143785,
365.8399963,0.8344298601,
366.9200134,0.9212847948,
367.8399963,1.082794547,
368.9200134,1.237566352,
369.8399963,1.410044193,
370.8999939,1.34209764,
371.9599915,1.260170817,
372.8699951,0.9516974688,
373.9299927,0.9258545041,
374.8399963,0.8616445065,
375.8999939,0.4638362527,
376.9599915,0.3460479677,
377.8699951,0.5272070765,
378.9299927,0.3869190514,
379.8399963,0.4643100202,
380.9200134,0.1399057955,
381.8399963,0.2839250863,
382.9200134,0.3637686372,
383.8399963,0.3588367403,
384.9200134,0.229909718,
385.8399963,0.2952190042,
386.9200134,0.1576839387,
387.8399963,0.2140607238,
388.9200134,0.3833498359,
389.8399963,0.3002575934,
390.8999939,0.2828631997,
391.9599915,0.3080287576,
392.8699951,0.3485259116,
393.9299927,0.2870538831,
394.8399963,0.4146928787,
395.8999939,0.3761814535,
396.9599915,0.3183395267,
397.8699951,0.6522846222,
398.9299927,0.3606439233,
399.8399963,0.5042387843,
400.8999939,0.6423211098,
401.9599915,0.4210730791,
402.8699951,0.4775244892,
403.9299927,0.6871863604,
404.8399963,0.5746947527,
405.8999939,0.747372508,
406.9599915,0.8611241579,
407.8699951,0.9630232453,
408.9299927,0.9398937821,
409.8399963,1.13933599,
410.8999939,1.242939591,
411.9599915,1.245978117,
412.8699951,1.422196031,
413.9299927,1.455148578,
414.8399963,1.857604504,
415.8999939,1.881077647,
416.9599915,2.254951477,
417.8699951,2.568801403,
418.9299927,2.899564981,
419.8399963,3.049868584,
420.8999939,3.396245718,
421.9599915,3.713644266,
422.8699951,4.174254894,
423.9299927,4.730308056,
424.8399963,5.118181705,
425.8999939,5.931800842,
426.9599915,6.1371665,
427.8699951,6.891719818,
428.9299927,7.587204456,
429.8399963,8.593178749,
430.8900146,9.712981224,
431.9400024,10.29336071,
432.980011,11.75754833,
433.8800049,12.55651188,
434.9200134,13.46726036,
435.9700012,15.39100838,
436.8599854,16.3129673,
437.9100037,17.62158012,
438.9500122,19.57197762,
439.8500061,21.32903671,
440.8999939,22.83239365,
441.9599915,25.27319145,
442.8699951,27.5124073,
443.9299927,29.28443718,
444.8399963,32.38206482,
445.8999939,33.86450958,
446.9599915,36.94750214,
447.8699951,40.01160431,
448.9299927,43.32030487,
449.8399963,45.27800751,
450.8999939,48.27835464,
451.9599915,52.18046188,
452.8699951,55.71936798,
453.9299927,59.51080704,
454.8399963,63.14197922,
455.8999939,67.4680481,
456.9599915,70.76853943,
457.8699951,74.29859161,
458.9299927,79.20922852,
459.8399963,83.79779816,
460.8900146,88.10428619,
461.9400024,92.14839935,
462.980011,98.99466705,
463.8800049,101.7617188,
464.9200134,107.4274521,
465.9700012,111.411026,
466.8599854,115.5964203,
467.9100037,121.9664536,
468.9500122,127.5045013,
469.8500061,130.5001068,
470.8900146,135.3226624,
471.9400024,140.9860687,
472.980011,146.3805084,
473.8800049,149.4682007,
474.9200134,155.9019623,
475.9700012,159.6876831,
476.8599854,161.7428894,
477.9100037,169.706192,
478.9500122,172.1660309,
479.8500061,174.588089,
480.8900146,181.3565521,
481.9400024,186.4704437,
482.980011,188.8087463,
483.8800049,191.1360931,
484.9200134,195.8270111,
485.9700012,199.3858032,
486.8599854,198.7735901,
487.9100037,204.9067078,
488.9500122,206.6673889,
489.8500061,210.1330872,
490.8900146,212.3783875,
491.9400024,214.328476,
492.980011,215.9776917,
493.8800049,217.7428131,
494.9200134,223.8044739,
495.9700012,223.4288025,
496.8599854,224.8445435,
497.9100037,226.9953308,
498.9500122,226.9377747,
499.8500061,226.4085541,
500.8900146,228.3959351,
501.9400024,227.6950531,
502.980011,229.3119507,
503.8800049,231.130722,
504.9200134,230.7197266,
505.9700012,232.8038177,
506.8599854,233.5594482,
507.9100037,232.5625763,
508.9500122,234.2996063,
509.8500061,231.0933075,
510.8900146,231.386261,
511.9400024,230.8937531,
512.9799805,231.184906,
513.8800049,230.5925751,
514.9199829,230.5602722,
515.9699707,228.2648468,
516.8599854,227.0894623,
517.9099731,226.2985687,
518.9500122,227.5372467,
519.8499756,223.4501648,
520.8800049,222.4137268,
521.9099731,219.489624,
522.9400024,217.4069214,
523.9699707,217.605423,
524.8499756,216.2606354,
525.8800049,212.8305054,
526.9099731,210.7890625,
527.9400024,207.9047241,
528.9699707,206.1319275,
529.8499756,205.308197,
530.8900146,202.3115997,
531.9400024,199.7156372,
532.9799805,197.3721619,
533.8800049,193.323349,
534.9199829,192.2856293,
535.9699707,188.3638916,
536.8599854,187.9308167,
537.9099731,185.923645,
538.9500122,181.1313782,
539.8499756,179.045166,
540.8800049,176.768692,
541.9099731,175.2948151,
542.9400024,172.1306152,
543.9699707,168.851944,
544.8499756,165.812149,
545.8800049,162,
546.9099731,161.4013367,
547.9400024,157.437439,
548.9699707,155.6308289,
549.8499756,154.6260376,
550.8800049,150.3410339,
551.9099731,147.19133,
552.9400024,144.2489929,
553.9699707,143.5480194,
554.8499756,139.8961334,
555.8800049,137.6610107,
556.9099731,135.4928741,
557.9400024,132.6015167,
558.9699707,129.2427368,
559.8499756,125.6261292,
560.8800049,124.3856506,
561.9099731,121.4390945,
562.9400024,120.7458344,
563.9699707,117.3799057,
564.8499756,114.6940384,
565.8800049,111.77005,
566.9099731,108.7815094,
567.9400024,107.081665,
568.9699707,104.0573349,
569.8499756,105.0964355,
570.8599854,100.8345108,
571.8800049,98.81507874,
572.8900146,95.90483093,
573.9099731,92.92642975,
574.9199829,91.60681152,
575.9400024,88.80708313,
576.9500122,86.7658844,
577.9699707,83.9092865,
578.9799805,82.77838135,
579.8499756,81.11460876,
580.8800049,79.0841217,
581.9099731,76.81098175,
582.9400024,74.68579865,
583.9699707,73.32531738,
584.8499756,71.08784485,
585.8800049,69.80573273,
586.9099731,68.38329315,
587.9400024,66.51159668,
588.9699707,63.97589111,
589.8499756,64.16500092,
590.8599854,61.23968124,
591.8800049,60.62430191,
592.8900146,59.71317291,
593.9099731,58.00173569,
594.9199829,56.02656555,
595.9400024,55.57014084,
596.9500122,53.02322769,
597.9699707,51.9463501,
598.9799805,49.93157959,
599.8499756,49.30223846,
600.8599854,47.45556259,
601.8800049,46.12892532,
602.8900146,45.47810745,
603.9099731,44.45949936,
604.9199829,43.20927429,
605.9400024,41.81223297,
606.9500122,41.18897247,
607.9699707,39.29174423,
608.9799805,38.64646149,
609.8499756,37.66287231,
610.8599854,36.41238785,
611.8800049,35.36444855,
612.8900146,34.50014877,
613.9099731,33.47661209,
614.9199829,32.88016129,
615.9400024,31.32842064,
616.9500122,30.62604713,
617.9699707,30.14077187,
618.9799805,29.17102623,
619.8499756,28.63841248,
620.8599854,27.209795,
621.8800049,26.84704781,
622.8900146,25.16683388,
623.9099731,24.84037018,
624.9199829,24.40852928,
625.9400024,23.38491631,
626.9500122,22.6945591,
627.9699707,22.49260712,
628.9799805,21.3414135,
629.8499756,21.42641449,
630.8499756,20.13618088,
631.8499756,19.72465897,
632.8499756,18.79017639,
633.8499756,18.83962822,
634.8499756,18.01428413,
635.8499756,17.82439423,
636.8499756,17.02778435,
637.8499756,16.50517845,
638.8499756,15.9631815,
639.8499756,15.19776821,
640.8599854,15.29135513,
641.8800049,14.28734493,
642.8900146,13.79434204,
643.9099731,13.22536182,
644.9199829,13.41136265,
645.9400024,12.90538216,
646.9500122,12.73236656,
647.9699707,11.89736748,
648.9799805,12.00158024,
649.8499756,10.97764111,
650.8499756,11.22028923,
651.8499756,10.66654205,
652.8499756,9.910072327,
653.8499756,9.860325813,
654.8499756,9.885682106,
655.8499756,9.622014999,
656.8499756,9.842712402,
657.8499756,9.943966866,
658.8499756,10.15994072,
659.8499756,10.57501698,
660.8499756,11.09077644,
661.8499756,11.74187088,
662.8499756,12.36227226,
663.8499756,12.47208691,
664.8499756,12.79173279,
665.8499756,12.49483299,
666.8499756,12.51029015,
667.8499756,11.71128464,
668.8499756,10.8443594,
669.8499756,10.05458641,
670.9799805,8.563138008,
671.9699707,8.123566628,
672.9500122,7.115908146,
673.9400024,6.050736427,
674.9199829,5.470615387,
675.9099731,5.372192383,
676.9000244,5.094614506,
677.8800049,4.885089397,
678.8699951,4.466242313,
679.8499756,4.45045805,
680.8499756,4.492174625,
681.8499756,4.153098583,
682.8499756,3.759212494,
683.8499756,3.679026127,
684.8499756,3.786849737,
685.8499756,3.519938231,
686.8499756,3.395125628,
687.8499756,3.441167355,
688.8499756,3.145375252,
689.8499756,3.23443222,
690.9799805,3.130809069,
691.9699707,2.903324366,
692.9500122,2.839420795,
693.9400024,2.790943384,
694.9199829,2.738461018,
695.9099731,2.587866068,
696.9000244,2.615158081,
697.8800049,2.576147795,
698.8699951,2.467186451,
699.8499756,2.506060362,
700.9799805,2.075244427,

Sample 13,
Sample 13
Collection Time: 4/05/2023 11:58:42 AM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        341.00
Stop (nm)                         700.00
Ex. Wavelength (nm)               331.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/05/2023 11:12:11 AM
Method Modifications:
Overlayed Graphs Changed: 4/05/2023 11:16:19 AM, Old:OFF, New:ON
Excitation Wavelength Changed: 4/05/2023 11:16:19 AM, Old: 350.00, New: 339.00
Emission Wavelength Changed: 4/05/2023 11:16:19 AM, Old: 400.00, New: 349.00
Scan mode: Changed: 4/05/2023 11:17:29 AM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 339.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 349.00, New: 374.00
Stop Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 600.00, New: 364.00
Scan mode: Changed: 4/05/2023 11:18:46 AM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 11:18:46 AM, Old: 220.00, New: 337.00
Emission Wavelength Changed: 4/05/2023 11:18:46 AM, Old: 374.00, New: 347.00
Stop Wavelength Changed: 4/05/2023 11:18:46 AM, Old: 364.00, New: 600.00
Excitation Wavelength Changed: 4/05/2023 11:31:04 AM, Old: 337.00, New: 422.00
Emission Wavelength Changed: 4/05/2023 11:31:04 AM, Old: 347.00, New: 432.00
Stop Wavelength Changed: 4/05/2023 11:31:04 AM, Old: 600.00, New: 700.00
Scan mode: Changed: 4/05/2023 11:33:22 AM, Old:Emission, New:Excitation
User Delta Stop Changed: 4/05/2023 11:33:22 AM, Old: 450.00, New: 525.00
User Delta Increment Changed: 4/05/2023 11:33:22 AM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 4/05/2023 11:33:22 AM, Old: 422.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 11:33:22 AM, Old: 432.00, New: 525.00
Stop Wavelength Changed: 4/05/2023 11:33:22 AM, Old: 700.00, New: 515.00
Scan mode: Changed: 4/05/2023 11:54:35 AM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 11:54:35 AM, Old: 220.00, New: 331.00
Emission Wavelength Changed: 4/05/2023 11:54:35 AM, Old: 525.00, New: 341.00
Stop Wavelength Changed: 4/05/2023 11:54:35 AM, Old: 515.00, New: 700.00
Scan mode: Changed: 4/05/2023 11:56:27 AM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 4/05/2023 11:56:27 AM, Old: 331.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 11:56:27 AM, Old: 341.00, New: 508.00
Stop Wavelength Changed: 4/05/2023 11:56:27 AM, Old: 700.00, New: 500.00
Scan mode: Changed: 4/05/2023 11:58:40 AM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 11:58:40 AM, Old: 220.00, New: 331.00
Emission Wavelength Changed: 4/05/2023 11:58:40 AM, Old: 508.00, New: 341.00
