Sample 14,,
Wavelength (nm),Intensity (a.u.),
340.9200134,0.7773994803,
341.8399963,0.49870646,
342.9200134,0.2370117605,
343.8399963,0.1853940338,
344.9200134,0.5124143958,
345.8399963,0.2621232271,
346.9200134,0.3239863217,
347.8399963,0.3375216722,
348.9200134,0.3411222994,
349.8399963,0.3866975904,
350.8999939,0.34375,
351.9599915,0.1406799555,
352.8699951,0.2021993101,
353.9299927,0.2966849506,
354.8399963,0.1880936772,
355.8999939,0.1597290933,
356.9599915,0.2079234868,
357.8699951,-0.06351525337,
358.9299927,0.1738498211,
359.8399963,0.2103355676,
360.9200134,0.2985309064,
361.8399963,0.3883857131,
362.9200134,0.3092767298,
363.8399963,0.4405286312,
364.9200134,0.6691760421,
365.8399963,0.6835588813,
366.9200134,1.01665616,
367.8399963,1.014954805,
368.9200134,1.357068777,
369.8399963,1.254406333,
370.8999939,1.195619226,
371.9599915,1.395741343,
372.8699951,0.9287132621,
373.9299927,0.7759833336,
374.8399963,0.7310510278,
375.8999939,0.5575379133,
376.9599915,0.578504622,
377.8699951,0.2415031195,
378.9299927,0.3805175126,
379.8399963,0.1936202198,
380.9200134,0.127441287,
381.8399963,0.2887808681,
382.9200134,0.2953750491,
383.8399963,0.1118568256,
384.9200134,0.1958991736,
385.8399963,0.1838516891,
386.9200134,0.2279053926,
387.8399963,0.1235082448,
388.9200134,0.1436391771,
389.8399963,0.2310785204,
390.8999939,0.09485716373,
391.9599915,0.1083172187,
392.8699951,0.2063950598,
393.9299927,0.1658292264,
394.8399963,0.113821134,
395.8999939,0.2983715236,
396.9599915,0.1115537807,
397.8699951,0.08634087443,
398.9299927,0.1153687686,
399.8399963,0.1612097174,
400.8999939,0.1007319912,
401.9599915,0.1914944649,
402.8699951,0.1734769493,
403.9299927,0.1319326609,
404.8399963,0.1811683774,
405.8999939,0.09606917202,
406.9599915,0.2931893766,
407.8699951,0.09653285891,
408.9299927,0.1307766438,
409.8399963,0.1451706588,
410.8999939,0.05017645657,
411.9599915,0.03186895698,
412.8699951,0.1962676495,
413.9299927,-0.0159448944,
414.8399963,0.1943288445,
415.8999939,0,
416.9599915,0.0643324703,
417.8699951,0.04931777343,
418.9299927,0.139133662,
419.8399963,0.1120322645,
420.8999939,0.04645976424,
421.9599915,0.1689388901,
422.8699951,0.06360109895,
423.9299927,0.04840974137,
424.8399963,0.1998135149,
425.8999939,0.07869430631,
426.9599915,0.08071807027,
427.8699951,0.1233577952,
428.9299927,0.1788472384,
429.8399963,0.1091141477,
430.8900146,0.1290052086,
431.9400024,0.0956922546,
432.980011,0.082580477,
433.8800049,-0.01588436216,
434.9200134,0.09887611121,
435.9700012,0.07993733138,
436.8599854,0.1900327802,
437.9100037,0.1275693178,
438.9500122,-0.03145544231,
439.8500061,0.0479792729,
440.8999939,0.05182600394,
441.9599915,0.03313891962,
442.8699951,0.180932954,
443.9299927,0.06511900574,
444.8399963,0.183507666,
445.8999939,-0.03342637047,
446.9599915,0.1352928281,
447.8699951,0.1162230819,
448.9299927,0.09855291247,
449.8399963,0.06502584368,
450.8999939,0.03420557454,
451.9599915,0.1367030591,
452.8699951,0,
453.9299927,0.1557039469,
454.8399963,0.1682312191,
455.8999939,0.1223690659,
456.9599915,0.01640258357,
457.8699951,0.1336027682,
458.9299927,0.179039374,
459.8399963,0.09975062311,
460.8900146,0.03251345456,
461.9400024,-0.04920210689,
462.980011,0.03392820805,
463.8800049,0.08384759724,
464.9200134,-0.06603275239,
465.9700012,0.1277465522,
466.8599854,0.04840192944,
467.9100037,0.01676052436,
468.9500122,0.03276647627,
469.8500061,0.04961466044,
470.8900146,0.1108577177,
471.9400024,0,
472.980011,0.3450872004,
473.8800049,0.08087866753,
474.9200134,0.1519423276,
475.9700012,0.01611421816,
476.8599854,0.1920184344,
477.9100037,0.06391716003,
478.9500122,0.01568529196,
479.8500061,0.04968285933,
480.8900146,0,
481.9400024,0.2205766439,
482.980011,0.1266303658,
483.8800049,0.01634868421,
484.9200134,0.1396843195,
485.9700012,0.123967573,
486.8599854,0.2989583611,
487.9100037,0.322846204,
488.9500122,0.1309907883,
489.8500061,0.04831073433,
490.8900146,0.1998032629,
491.9400024,0.2000184655,
492.980011,-0.06303083152,
493.8800049,0.1754190177,
494.9200134,-0.04673770815,
495.9700012,0.01534683909,
496.8599854,0.1572030485,
497.9100037,0.06526563317,
498.9500122,0.1894836575,
499.8500061,0.031952966,
500.8900146,-0.0162657164,
501.9400024,-0.01614517719,
502.980011,0.1563281715,
503.8800049,0.1435406804,
504.9200134,0.1996835768,
505.9700012,0.07938523591,
506.8599854,-0.03186184913,
507.9100037,0.1575895101,
508.9500122,0.1135736778,
509.8500061,0.1110934764,
510.8900146,0.04983057454,
511.9400024,0.1353660822,
512.9799805,0.209373489,
513.8800049,0.2624628842,
514.9199829,0.09791761637,
515.9699707,0.09451200813,
516.8599854,-0.01599360257,
517.9099731,0.09602151066,
518.9500122,0.300365448,
519.8499756,0.3297945857,
520.8800049,0.3271287978,
521.9099731,-0.01616997831,
522.9400024,0.194520995,
523.9699707,0.2736242414,
524.8499756,0.07921419293,
525.8800049,0.1696036309,
526.9099731,0.06324910372,
527.9400024,0.219642818,
528.9699707,0.06770136952,
529.8499756,0.2435223013,
530.8900146,0.03344929218,
531.9400024,0.07996929437,
532.9799805,0.208053261,
533.8800049,0.04712535441,
534.9199829,0,
535.9699707,0.01653657854,
536.8599854,0.11452692,
537.9099731,-0.01587427594,
538.9500122,0.04822840914,
539.8499756,0.1144277006,
540.8800049,0.1780021638,
541.9099731,-0.0976260528,
542.9400024,0.1182852015,
543.9699707,0.01610176265,
544.8499756,0.1749085635,
545.8800049,0.03348905593,
546.9099731,0.03172437847,
547.9400024,0.1170999408,
548.9699707,0.04789807275,
549.8499756,0.06483086944,
550.8800049,0.06423329562,
551.9099731,-0.1416229904,
552.9400024,0.1582604051,
553.9699707,0.1010679454,
554.8499756,0.08169133961,
555.8800049,0.06667555869,
556.9099731,0.04790342972,
557.9400024,0.1278588474,
558.9699707,0.1254134625,
559.8499756,-0.01580153219,
560.8800049,0.1511588842,
561.9099731,-0.03330003098,
562.9400024,0.0797778964,
563.9699707,0.09506305307,
564.8499756,0.159387961,
565.8800049,0.0159482006,
566.9099731,0.156609714,
567.9400024,0.1324020922,
568.9699707,0.147432223,
569.8499756,0.2695417702,
570.8599854,0.2545408309,
571.8800049,0.08537960052,
572.8900146,0.01646958105,
573.9099731,-0.08409014344,
574.9199829,0.04986701906,
575.9400024,0.08383494616,
576.9500122,-0.1294875592,
577.9699707,0.1775912195,
578.9799805,0.01557486784,
579.8499756,-0.08055032045,
580.8800049,0,
581.9099731,0.06306462735,
582.9400024,0.1148783937,
583.9699707,0.1311754882,
584.8499756,0.1753323376,
585.8800049,0.01675968245,
586.9099731,0.1673948318,
