Sample 18,,
Wavelength (nm),Intensity (a.u.),
342.9200134,0.9015170336,
343.8399963,0.26055637,
344.9200134,0.3690831363,
345.8399963,0.3939513266,
346.9200134,0.2471271455,
347.8399963,0.2281021923,
348.9200134,0.2697679996,
349.8399963,0.3887850344,
350.8999939,0.3356882334,
351.9599915,0.2572561502,
352.8699951,0.2895900011,
353.9299927,0.3323865235,
354.8399963,0.2618123591,
355.8999939,0.1838573217,
356.9599915,0.2500351667,
357.8699951,0.2239570022,
358.9299927,0.07990027964,
359.8399963,0.1744979173,
360.9200134,0.1303122491,
361.8399963,0.144789964,
362.9200134,0.2876594067,
363.8399963,0.1559745967,
364.9200134,0.303732723,
365.8399963,0.5166017413,
366.9200134,0.520373404,
367.8399963,0.9065605998,
368.9200134,0.8945526481,
369.8399963,1.277220726,
370.8999939,1.521922231,
371.9599915,1.685889006,
372.8699951,1.65121901,
373.9299927,1.42778337,
374.8399963,1.035400867,
375.8999939,0.7689161301,
376.9599915,0.7351589799,
377.8699951,0.2625447214,
378.9299927,0.3653817475,
379.8399963,0.3410752118,
380.9200134,0.4140855372,
381.8399963,0.2478028238,
382.9200134,0.2834467292,
383.8399963,0.2419628054,
384.9200134,0.4221670032,
385.8399963,0.4894602895,
386.9200134,0.6182845235,
387.8399963,0.5965048075,
388.9200134,0.6606742144,
389.8399963,0.9392456412,
390.8999939,0.8308218718,
391.9599915,1.071009636,
392.8699951,1.390131712,
393.9299927,1.402366281,
394.8399963,1.61319232,
395.8999939,2.050735474,
396.9599915,2.299310207,
397.8699951,2.531885862,
398.9299927,2.90447998,
399.8399963,3.406156301,
400.8999939,3.817149162,
401.9599915,4.565203667,
402.8699951,4.906411648,
403.9299927,5.431591511,
404.8399963,6.022469044,
405.8999939,6.814735889,
406.9599915,7.391481876,
407.8699951,8.413993835,
408.9299927,9.624031067,
409.8399963,9.982869148,
410.8999939,11.35469341,
411.9599915,12.92432499,
412.8699951,13.4505949,
413.9299927,14.38019466,
414.8399963,15.67307663,
415.8999939,16.99418449,
416.9599915,17.96055603,
417.8699951,18.93843842,
418.9299927,20.52538681,
419.8399963,21.80624962,
420.8999939,23.14112282,
421.9599915,24.9213295,
422.8699951,25.81502342,
423.9299927,27.10909462,
424.8399963,27.74360466,
425.8999939,28.56919098,
426.9599915,30.14425087,
427.8699951,31.72086906,
428.9299927,31.92323494,
429.8399963,32.75499344,
430.8900146,34.34486389,
431.9400024,35.00818634,
432.980011,35.89808655,
433.8800049,36.2023468,
434.9200134,36.76516342,
435.9700012,38.03743362,
436.8599854,38.80893326,
437.9100037,38.69442749,
438.9500122,39.40414047,
439.8500061,40.00912094,
440.8999939,40.07099915,
441.9599915,40.96110535,
442.8699951,40.71369171,
443.9299927,41.66602325,
444.8399963,41.91003418,
445.8999939,41.55848312,
446.9599915,41.99266434,
447.8699951,41.39290237,
448.9299927,41.48061752,
449.8399963,42.12533569,
450.8999939,42.15655899,
451.9599915,42.11557388,
452.8699951,42.35900879,
453.9299927,42.37125015,
454.8399963,43.0913353,
455.8999939,42.47018814,
456.9599915,41.47472763,
457.8699951,42.17530441,
458.9299927,41.90113068,
459.8399963,41.28440475,
460.8900146,41.17554855,
461.9400024,41.07764053,
462.980011,40.61989975,
463.8800049,39.93289185,
464.9200134,39.75135803,
465.9700012,39.18147278,
466.8599854,39.42686462,
467.9100037,37.85149384,
468.9500122,37.9276123,
469.8500061,37.37978363,
470.8900146,36.73303223,
471.9400024,35.85582733,
472.980011,35.72101593,
473.8800049,34.45537949,
474.9200134,34.27210999,
475.9700012,33.67065811,
476.8599854,32.86231232,
477.9100037,32.0638504,
478.9500122,31.50894165,
479.8500061,30.55132294,
480.8900146,29.97103691,
481.9400024,29.14832687,
482.980011,29.03443527,
483.8800049,28.14372253,
484.9200134,26.753479,
485.9700012,26.34531784,
486.8599854,25.85961914,
487.9100037,25.34569168,
488.9500122,24.66948128,
489.8500061,23.92018318,
490.8900146,23.40634346,
491.9400024,23.02661705,
492.980011,22.32665634,
493.8800049,21.53457451,
494.9200134,20.79096794,
495.9700012,20.09295845,
496.8599854,20.11016273,
497.9100037,19.22081947,
498.9500122,18.96760178,
499.8500061,18.2597847,
500.8900146,17.73605537,
501.9400024,17.21039391,
502.980011,16.86104774,
503.8800049,16.09007835,
504.9200134,16.02922821,
505.9700012,15.43523121,
506.8599854,14.63182545,
507.9100037,14.262743,
508.9500122,13.69140816,
509.8500061,13.40283012,
510.8900146,13.2390871,
511.9400024,12.7247715,
512.9799805,11.95600128,
513.8800049,12.00884247,
514.9199829,11.17828751,
515.9699707,11.30747986,
516.8599854,10.43827438,
517.9099731,10.37303352,
518.9500122,9.971762657,
519.8499756,9.903962135,
520.8800049,9.648318291,
521.9099731,8.687132835,
522.9400024,8.748819351,
523.9699707,8.137107849,
524.8499756,8.137372017,
525.8800049,7.910338402,
526.9099731,7.596096992,
527.9400024,7.29589653,
528.9699707,6.961075783,
529.8499756,6.752680779,
530.8900146,6.520290852,
531.9400024,6.461272717,
532.9799805,6.049970627,
533.8800049,5.843893528,
534.9199829,5.848827839,
535.9699707,5.367272377,
536.8599854,5.311713696,
537.9099731,5.223418236,
538.9500122,4.939589977,
539.8499756,4.820220947,
540.8800049,4.301401615,
541.9099731,4.285547256,
542.9400024,4.589323044,
543.9699707,4.397026539,
544.8499756,4.091335297,
545.8800049,3.871264219,
546.9099731,3.668533325,
547.9400024,3.762275219,
548.9699707,3.338898182,
549.8499756,3.527587891,
550.8800049,3.130013704,
551.9099731,3.146319389,
552.9400024,3.060467243,
553.9699707,2.638396502,
554.8499756,3.012618303,
555.8800049,2.67120719,
556.9099731,2.776403666,
557.9400024,2.482891321,
558.9699707,2.316239595,
559.8499756,2.31140995,
560.8800049,2.36910677,
561.9099731,2.332125902,
562.9400024,1.997178674,
563.9699707,2.011084795,
564.8499756,1.925764799,
565.8800049,1.773355722,
566.9099731,1.806262732,
567.9400024,1.720008373,
568.9699707,1.657746434,
569.8499756,1.688203096,
570.8599854,1.655951738,
571.8800049,1.453601956,
572.8900146,1.63246274,
573.9099731,1.37586391,
574.9199829,1.382774115,
575.9400024,1.382626057,
576.9500122,1.217519999,
577.9699707,1.230882883,
578.9799805,1.046008825,
579.8499756,0.9626613259,
580.8800049,1.150203943,
581.9099731,1.110860705,
582.9400024,1.110252976,
583.9699707,1.050202847,
584.8499756,1.01174283,
585.8800049,1.007871032,
586.9099731,0.8915444016,
587.9400024,0.7865840197,
588.9699707,0.7354469299,
589.8499756,0.7000461221,
590.8599854,0.9299100041,
591.8800049,0.8250691295,
592.8900146,0.7403234839,
593.9099731,0.8368604779,
594.9199829,0.6297724843,
595.9400024,0.5533859134,
596.9500122,0.7224157453,
597.9699707,0.5923411846,
598.9799805,0.4922471046,
599.8499756,0.5339201093,
600.8599854,0.5924263,

Sample 18,
Sample 18
Collection Time: 25/04/2023 4:02:04 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        343.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               333.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 25/04/2023 2:27:28 PM
Method Modifications:
Overlayed Graphs Changed: 25/04/2023 2:27:58 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 25/04/2023 2:27:58 PM, Old: 350.00, New: 269.00
Emission Wavelength Changed: 25/04/2023 2:27:58 PM, Old: 400.00, New: 279.00
Excitation Wavelength Changed: 25/04/2023 2:42:50 PM, Old: 269.00, New: 338.00
Emission Wavelength Changed: 25/04/2023 2:42:50 PM, Old: 279.00, New: 348.00
Stop Wavelength Changed: 25/04/2023 2:42:50 PM, Old: 600.00, New: 700.00
