Sample 9,,
Wavelength (nm),Intensity (a.u.),
350,2.045937538,
351.0599976,1.249642491,
351.9599915,1.234041333,
353.0299988,1.26109159,
353.9299927,1.497706652,
355,1.729884148,
356.0599976,2.083432674,
356.9599915,2.450863361,
358.0299988,2.770039797,
358.9299927,3.488190174,
360,4.443945408,
361.0700073,5.718618393,
362,7.339155197,
363.0700073,9.22167778,
364,11.40052414,
365.0700073,13.90881062,
366,17.15618134,
367.0700073,22.3280983,
368,27.46510506,
369.0700073,32.69403076,
370,37.46960449,
371.0599976,46.11301041,
371.9599915,54.07738495,
373.0299988,62.78041077,
373.9299927,70.34413147,
375,80.02892303,
376.0599976,90.57885742,
376.9599915,99.60318756,
378.0299988,108.2499084,
378.9299927,117.5328979,
380,128.0769958,
381.0700073,136.7542877,
382,144.7940674,
383.0700073,155.3256073,
384,163.9365082,
385.0700073,175.6182251,
386,182.8695221,
387.0700073,192.7850647,
388,197.775528,
389.0700073,209.3009033,
390,218.7068329,
391.0599976,228.115387,
391.9599915,236.1945953,
393.0299988,245.3780975,
393.9299927,253.104126,
395,260.942688,
396.0599976,268.8448792,
396.9599915,276.5081482,
398.0299988,282.7528992,
398.9299927,290.0858765,
400,295.3887329,
401.0599976,302.1414185,
401.9599915,306.6664734,
403.0299988,310.6055908,
403.9299927,314.3843384,
405,315.6401367,
406.0599976,319.0758972,
406.9599915,320.2518616,
408.0299988,323.7859497,
408.9299927,323.3048706,
410,323.7640381,
411.0599976,325.1478577,
411.9599915,322.9145508,
413.0299988,319.3990173,
413.9299927,318.1959229,
415,317.8658142,
416.0599976,316.3854675,
416.9599915,314.8179626,
418.0299988,312.6721191,
418.9299927,309.8427734,
420,306.0988159,
421.0599976,305.3141479,
421.9599915,303.8412781,
423.0299988,296.0744324,
423.9299927,294.2380066,
425,289.178009,
426.0599976,284.1021118,
426.9599915,279.9680176,
428.0299988,274.9541626,
428.9299927,271.4778748,
430,264.6374817,
431.0400085,259.7111511,
431.9400024,257.8548584,
432.980011,250.6395569,
434.019989,245.4041138,
435.0700073,240.0369568,
435.9700012,235.5538177,
437.0100098,229.4390411,
438.0499878,224.5687103,
438.9500122,219.5310822,
440,214.8303375,
441.0599976,209.041214,
441.9599915,205.0536041,
443.0299988,201.1372223,
443.9299927,196.6016235,
445,193.4875031,
446.0599976,185.6213531,
446.9599915,181.9954834,
448.0299988,177.9611053,
448.9299927,174.1703796,
450,168.7845764,
451.0599976,166.3499756,
451.9599915,163.2894897,
453.0299988,158.3095398,
453.9299927,153.4627533,
455,151.6565094,
456.0599976,146.1386414,
456.9599915,143.2194977,
458.0299988,139.8956299,
458.9299927,136.5641479,
460,131.7822113,
461.0400085,129.3816986,
461.9400024,125.9726868,
462.980011,120.1056595,
464.019989,118.145752,
465.0700073,112.2953949,
465.9700012,110.9969559,
467.0100098,107.8287277,
468.0499878,104.9924316,
468.9500122,101.8443604,
470,98.00488281,
471.0400085,94.03466034,
471.9400024,91.60979462,
472.980011,90.30973816,
474.019989,86.10118866,
475.0700073,82.89069366,
475.9700012,80.34403992,
477.0100098,76.89676666,
478.0499878,73.71980286,
478.9500122,71.62444305,
480,69.40100861,
481.0400085,67.67565918,
481.9400024,64.99467468,
482.980011,63.41611481,
484.019989,59.44828796,
485.0700073,58.79200363,
485.9700012,56.35322189,
487.0100098,54.0944519,
488.0499878,51.77791977,
488.9500122,50.80591202,
490,48.50864029,
491.0400085,46.3133049,
491.9400024,45.31301117,
492.980011,42.66458511,
494.019989,41.40121841,
495.0700073,39.73744583,
495.9700012,38.34058762,
497.0100098,37.33110046,
498.0499878,35.39591217,
498.9500122,34.42596054,
500,33.30939102,
501.0400085,32.36931992,
501.9400024,30.65827942,
502.980011,29.99357605,
504.019989,28.90820694,
505.0700073,27.61812973,
505.9700012,26.64273643,
507.0100098,25.83905792,
508.0499878,24.87663269,
508.9500122,23.78011131,
510,22.79085922,
511.0400085,21.52827454,
511.9400024,20.81905937,
512.9799805,20.10551262,
514.0200195,19.56824493,
515.0700073,18.9893837,
515.9699707,18.20203781,
517.0100098,17.92229271,
518.0499878,16.9198513,
518.9500122,16.27790833,
520,15.64236736,
521.0200195,14.98609543,
522.0499878,14.25225163,
522.9400024,13.47493935,
523.9699707,13.57056713,
525,13.00910282,
526.0200195,12.42001057,
527.0499878,12.09777641,
527.9400024,11.6133585,
528.9699707,10.75590611,
530,10.56455803,
531.039978,10.49311256,
531.9400024,10.08324146,
532.9799805,9.492273331,
534.0200195,9.368121147,
535.0700073,8.826745987,
535.9699707,8.75276947,
537.0100098,8.458045006,
538.0499878,7.910254478,
538.9500122,7.622234344,
540,7.348101139,
541.0200195,7.069093704,
542.0499878,6.958346844,
542.9400024,6.378910542,
543.9699707,6.625109673,
545,6.11154747,
546.0200195,5.669893265,
547.0499878,5.6875,
547.9400024,5.649894238,
548.9699707,5.485784531,
550,5.273198128,
551.0200195,4.940089703,
552.0499878,4.742229462,
552.9400024,4.394100666,
553.9699707,4.636498451,
555,4.314994335,
556.0200195,4.073319912,
557.0499878,4.150084019,
557.9400024,3.81389451,
558.9699707,3.830302238,
560,3.851775169,
561.0200195,3.541281939,
562.0499878,3.310395718,
562.9400024,3.128385782,
563.9699707,3.019220114,
565,2.990980387,
566.0200195,2.892240763,
567.0499878,2.848285437,
567.9400024,3.054107904,
568.9699707,2.551414728,
570,2.943847656,
571.0100098,2.541958094,
572.0200195,2.417229414,
573.039978,2.448853016,
574.0499878,2.352030993,
575.0700073,2.294190645,
575.9400024,2.280268669,
576.9500122,2.145049095,
577.9699707,2.01855135,
578.9799805,1.937700391,
580,1.934567928,
581.0200195,1.88784349,
582.0499878,1.835210681,
582.9400024,1.661794186,
583.9699707,1.606624246,
585,1.615635633,
586.0200195,1.396049857,
587.0499878,1.529636621,
587.9400024,1.273364663,
588.9699707,1.307873368,
590,1.430842519,
591.0100098,1.399914145,
592.0200195,1.082184196,
593.039978,1.354351997,
594.0499878,1.224217772,
595.0700073,1.108562112,
595.9400024,1.018425703,
596.9500122,1.070427775,
597.9699707,0.9965656996,
598.9799805,1.009251475,
600,0.8689881563,

Sample 9,
Sample 9
Collection Time: 6/05/2023 3:42:58 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        350.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               340.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 6/05/2023 12:05:31 PM
Method Modifications:
Overlayed Graphs Changed: 6/05/2023 12:30:50 PM, Old:OFF, New:ON
PMT Volts Changed: 6/05/2023 12:30:50 PM, Old:600, New:400
Zero Order Excitation Changed: 6/05/2023 12:30:50 PM, Old:OFF, New:ON
Em. Slit Width (nm): Changed: 6/05/2023 12:30:50 PM, Old:5, New:1.5
Emission PMT (V): Changed: 6/05/2023 12:30:50 PM, Old: 600, New: 400
Emission Wavelength Changed: 6/05/2023 12:30:50 PM, Old: 400.00, New: 220.00
Stop Wavelength Changed: 6/05/2023 12:30:50 PM, Old: 600.00, New: 850.00
Excitation Wavelength Changed: 6/05/2023 12:30:50 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:30:53 PM, Old:   0.00, New: 350.00
Emission Filter: Changed: 6/05/2023 12:31:48 PM, Old:Open, New:3%T Attenuator
Zero Order Excitation Changed: 6/05/2023 12:31:48 PM, Old:ON, New:OFF
Zero Order Excitation Changed: 6/05/2023 12:31:48 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 6/05/2023 12:31:48 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:31:53 PM, Old:   0.00, New: 350.00
Zero Order Excitation Changed: 6/05/2023 12:32:02 PM, Old:ON, New:OFF
Zero Order Excitation Changed: 6/05/2023 12:32:02 PM, Old:OFF, New:ON
Emission Wavelength Changed: 6/05/2023 12:32:02 PM, Old: 220.00, New: 300.00
Stop Wavelength Changed: 6/05/2023 12:32:02 PM, Old: 850.00, New: 500.00
Excitation Wavelength Changed: 6/05/2023 12:32:02 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:32:02 PM, Old:   0.00, New: 350.00
Emission Filter: Changed: 6/05/2023 12:32:31 PM, Old:3%T Attenuator, New:Open
Zero Order Excitation Changed: 6/05/2023 12:32:31 PM, Old:ON, New:OFF
Zero Order Excitation Changed: 6/05/2023 12:32:31 PM, Old:OFF, New:ON
Em. Slit Width (nm): Changed: 6/05/2023 12:32:31 PM, Old:1.5, New:5
Excitation Wavelength Changed: 6/05/2023 12:32:31 PM, Old: 350.00, New:   0.00
