Sample 10,,
Wavelength (nm),Intensity (a.u.),
350,1.699872851,
351.0599976,0.6310507655,
351.9599915,0.6455981135,
353.0299988,0.7478404641,
353.9299927,0.8373650908,
355,0.8159620762,
356.0599976,0.8804448247,
356.9599915,1.062217832,
358.0299988,1.114284873,
358.9299927,1.15549171,
360,1.08687222,
361.0700073,1.337150812,
362,1.412279248,
363.0700073,1.254033566,
364,1.137570143,
365.0700073,1.190621495,
366,0.9093940854,
367.0700073,1.141693473,
368,1.061190009,
369.0700073,1.144583821,
370,1.170586348,
371.0599976,1.046580553,
371.9599915,1.560382128,
373.0299988,1.55755806,
373.9299927,1.623778224,
375,1.805932879,
376.0599976,2.373368263,
376.9599915,2.606691599,
378.0299988,2.97817564,
378.9299927,3.320926666,
380,3.174503803,
381.0700073,3.415817976,
382,3.644212484,
383.0700073,3.457651615,
384,3.311051607,
385.0700073,3.215074062,
386,3.033667564,
387.0700073,2.792062283,
388,2.857453346,
389.0700073,2.727641106,
390,2.732113123,
391.0599976,2.89864254,
391.9599915,2.602161884,
393.0299988,3.182597637,
393.9299927,2.888819456,
395,2.992804766,
396.0599976,2.825608492,
396.9599915,2.75111866,
398.0299988,2.870887756,
398.9299927,2.909045935,
400,3.194985867,
401.0599976,2.97954464,
401.9599915,2.918710709,
403.0299988,2.950991869,
403.9299927,2.990336418,
405,2.926310301,
406.0599976,2.9460361,
406.9599915,2.956735611,
408.0299988,2.804711819,
408.9299927,2.920616627,
410,2.816810846,
411.0599976,2.783163548,
411.9599915,3.000571728,
413.0299988,2.439100742,
413.9299927,2.819785833,
415,2.782141924,
416.0599976,2.538861036,
416.9599915,2.645879984,
418.0299988,2.681307554,
418.9299927,2.627294779,
420,2.246479988,
421.0599976,2.455571413,
421.9599915,2.398156404,
423.0299988,2.375974178,
423.9299927,2.386634827,
425,2.332126856,
426.0599976,2.220472574,
426.9599915,2.21402216,
428.0299988,2.31892395,
428.9299927,2.1886127,
430,2.094189882,
431.0400085,2.137726068,
431.9400024,2.027587891,
432.980011,2.105706453,
434.019989,2.017596006,
435.0700073,1.997920871,
435.9700012,2.055547714,
437.0100098,1.904975414,
438.0499878,1.666199327,
438.9500122,1.860572338,
440,1.700571179,
441.0599976,1.723232388,
441.9599915,1.639156103,
443.0299988,1.70073545,
443.9299927,1.809644818,
445,1.678093672,
446.0599976,1.676087856,
446.9599915,1.565143108,
448.0299988,1.481714964,
448.9299927,1.707779884,
450,1.393104076,
451.0599976,1.430137753,
451.9599915,1.452847719,
453.0299988,1.435727239,
453.9299927,1.430296898,
455,1.30849874,
456.0599976,1.501574993,
456.9599915,1.36997211,
458.0299988,1.519953489,
458.9299927,1.288106441,
460,1.189456701,
461.0400085,1.216001868,
461.9400024,1.048710227,
462.980011,1.055999517,
464.019989,1.372114182,
465.0700073,1.156800389,
465.9700012,1.138969898,
467.0100098,1.112742424,
468.0499878,1.207411647,
468.9500122,1.128943682,
470,1.185518026,
471.0400085,0.9754537344,
471.9400024,0.8086417913,
472.980011,1.016964793,
474.019989,1.129748464,
475.0700073,0.7271377444,
475.9700012,1.006726742,
477.0100098,0.9268413186,
478.0499878,0.7500267625,
478.9500122,0.8601602316,
480,0.810063839,
481.0400085,0.8502865434,
481.9400024,0.8096283674,
482.980011,0.9117489457,
484.019989,0.7658140659,
485.0700073,0.7234998941,
485.9700012,0.7498945594,
487.0100098,0.8577934504,
488.0499878,0.588645339,
488.9500122,0.7852435708,
490,0.8462970853,
491.0400085,0.7463498712,
491.9400024,0.7006180882,
492.980011,0.7442091107,
494.019989,0.5845959187,
495.0700073,0.5715193152,
495.9700012,0.5415609479,
497.0100098,0.5879986286,
498.0499878,0.5805287361,
498.9500122,0.570712924,
500,0.5992178321,
501.0400085,0.3889295161,
501.9400024,0.6358289123,
502.980011,0.3634697199,
504.019989,0.4800768197,
505.0700073,0.4401477575,
505.9700012,0.4454626441,
507.0100098,0.4615313709,
