Sample 12,,
Wavelength (nm),Intensity (a.u.),
353.9299927,1.188025832,
355,0.9494585395,
356.0599976,1.12994349,
356.9599915,0.9698366523,
358.0299988,0.8993816972,
358.9299927,0.8857522607,
360,1.04852581,
361.0700073,1.133295178,
362,1.235093713,
363.0700073,1.617062807,
364,1.677805424,
365.0700073,2.073932886,
366,2.451119184,
367.0700073,2.919175386,
368,3.61494565,
369.0700073,4.448239326,
370,5.082520962,
371.0599976,6.182053566,
371.9599915,7.283351898,
373.0299988,9.228574753,
373.9299927,10.40737915,
375,12.2082386,
376.0599976,14.05095768,
376.9599915,15.78053284,
378.0299988,17.60304832,
378.9299927,19.89920425,
380,21.53397369,
381.0700073,24.25969505,
382,25.86001396,
383.0700073,29.84476089,
384,31.01163483,
385.0700073,34.31449509,
386,36.53859711,
387.0700073,41.05213547,
388,42.89490891,
389.0700073,46.34536362,
390,49.91204453,
391.0599976,55.08988571,
391.9599915,58.45307159,
393.0299988,63.2483902,
393.9299927,67.98685455,
395,74.54530334,
396.0599976,81.47747803,
396.9599915,86.79111481,
398.0299988,92.95510864,
398.9299927,100.2296982,
400,108.6577606,
401.0599976,116.3853531,
401.9599915,124.5347519,
403.0299988,132.7001038,
403.9299927,139.6206055,
405,148.0684204,
406.0599976,157.3117828,
406.9599915,166.2158051,
408.0299988,172.6665802,
408.9299927,181.254425,
410,189.2627716,
411.0599976,196.0299225,
411.9599915,203.6749573,
413.0299988,211.4432983,
413.9299927,218.7158051,
415,225.0055695,
416.0599976,233.2125702,
416.9599915,237.622818,
418.0299988,243.453064,
418.9299927,248.4700012,
420,254.1035461,
421.0599976,258.4447021,
421.9599915,261.8733521,
423.0299988,266.2351074,
423.9299927,269.776886,
425,272.0869446,
426.0599976,275.724762,
426.9599915,276.2879639,
428.0299988,278.6734924,
428.9299927,279.6020508,
430,281.553009,
431.0400085,282.4160156,
431.9400024,281.1993103,
432.980011,283.6962585,
434.019989,281.612854,
435.0700073,282.4139099,
435.9700012,282.2138672,
437.0100098,283.5720215,
438.0499878,278.7481689,
438.9500122,279.7228088,
440,277.9043274,
441.0599976,275.1101074,
441.9599915,273.2256775,
443.0299988,269.7900391,
443.9299927,268.4053955,
445,266.4055481,
446.0599976,263.2302246,
446.9599915,260.2543945,
448.0299988,258.0125427,
448.9299927,255.2265167,
450,251.9049683,
451.0599976,249.8182831,
451.9599915,247.4370728,
453.0299988,243.2084351,
453.9299927,242.4728088,
455,237.1016846,
456.0599976,236.5148773,
456.9599915,232.3306427,
458.0299988,228.6407013,
458.9299927,225.7524872,
460,220.2453613,
461.0400085,217.6292572,
461.9400024,213.7460327,
462.980011,212.5265656,
464.019989,205.5945892,
465.0700073,202.443222,
465.9700012,197.1679077,
467.0100098,194.2263184,
468.0499878,188.8086243,
468.9500122,184.1960297,
470,179.3506927,
