Sample 13,,
Wavelength (nm),Intensity (a.u.),
353.9299927,1.029307485,
355,0.7026616931,
356.0599976,0.6821840405,
356.9599915,0.6067208052,
358.0299988,0.7892326117,
358.9299927,0.6554176807,
360,0.5285926461,
361.0700073,0.4997362196,
362,0.5107534528,
363.0700073,0.5326268077,
364,0.4286919534,
365.0700073,0.4794520438,
366,0.5018261075,
367.0700073,0.4776852727,
368,0.399718821,
369.0700073,0.4306752086,
370,0.4670251906,
371.0599976,0.6152499914,
371.9599915,0.5498811007,
373.0299988,0.5771847367,
373.9299927,0.6169896126,
375,0.7608274221,
376.0599976,0.8965929747,
376.9599915,0.7385215759,
378.0299988,0.7522672415,
378.9299927,0.7784430981,
380,1.119570136,
381.0700073,1.050253987,
382,1.350103021,
383.0700073,1.646557808,
384,1.84072721,
385.0700073,2.027499676,
386,2.033945799,
387.0700073,1.964295983,
388,1.988325715,
389.0700073,1.72767365,
390,1.545332193,
391.0599976,1.291146398,
391.9599915,1.263565779,
393.0299988,1.330224633,
393.9299927,1.215874195,
395,1.123417497,
396.0599976,1.237588167,
396.9599915,1.178753734,
398.0299988,1.225066304,
398.9299927,1.169894695,
400,1.156746268,
401.0599976,1.272846937,
401.9599915,1.232147932,
403.0299988,1.378185391,
403.9299927,1.326186657,
405,1.186341405,
406.0599976,1.262856483,
406.9599915,1.287256122,
408.0299988,1.329842448,
408.9299927,1.482538223,
410,1.383528709,
411.0599976,1.32843411,
411.9599915,1.362244725,
413.0299988,1.381485224,
413.9299927,1.42131412,
415,1.251297593,
416.0599976,1.366082072,
416.9599915,1.373626351,
418.0299988,1.354798675,
418.9299927,1.42527771,
420,1.358334184,
421.0599976,1.485736966,
421.9599915,1.440535545,
423.0299988,1.263271451,
423.9299927,1.288933516,
425,1.350007176,
426.0599976,1.23366797,
426.9599915,1.424501419,
428.0299988,1.36035347,
428.9299927,1.22434783,
430,1.232312083,
431.0400085,1.273546576,
431.9400024,1.524583936,
432.980011,1.575004339,
434.019989,1.349262118,
435.0700073,1.310560584,
435.9700012,1.345159531,
437.0100098,1.121743798,
438.0499878,1.269676328,
438.9500122,1.374326944,
440,1.328448415,
441.0599976,1.148105621,
441.9599915,1.188488722,
443.0299988,1.176270485,
443.9299927,1.404221058,
445,1.11608696,
446.0599976,1.431162477,
446.9599915,1.412664056,
448.0299988,1.176959276,
448.9299927,1.306706786,
450,1.377058506,
451.0599976,1.200463414,
451.9599915,1.302335858,
453.0299988,1.40208745,
453.9299927,1.346367002,
455,1.407380342,
456.0599976,1.364877224,
456.9599915,1.239562511,
458.0299988,1.258653283,
458.9299927,1.193200111,
460,1.090527773,
461.0400085,1.079510093,
461.9400024,1.107089639,
462.980011,1.185687065,
464.019989,1.191449285,
465.0700073,1.204456449,
465.9700012,1.187600374,
467.0100098,1.219360113,
468.0499878,1.139775395,
468.9500122,1.160579443,
470,1.143494248,
471.0400085,1.31853652,
471.9400024,1.064433694,
472.980011,1.107281804,
474.019989,1.040654898,
475.0700073,1.132281184,
475.9700012,1.109749913,
