Sample 35,,
Wavelength (nm),Intensity (a.u.),
360,1.187067986,
361.0700073,0.854542613,
362,0.8940361142,
363.0700073,0.9494743943,
364,0.7861201167,
365.0700073,0.9582800865,
366,1.081273437,
367.0700073,1.079495192,
368,1.203819036,
369.0700073,1.404338121,
370,1.323061228,
371.0599976,1.452925324,
371.9599915,1.545896411,
373.0299988,1.701771498,
373.9299927,1.713545442,
375,2.001028299,
376.0599976,2.335758209,
376.9599915,2.6767416,
378.0299988,3.01221776,
378.9299927,3.80307889,
380,4.426514149,
381.0700073,5.426497459,
382,6.770310879,
383.0700073,7.772815704,
384,9.485420227,
385.0700073,11.70042419,
386,13.56119537,
387.0700073,17.30147743,
388,19.5862484,
389.0700073,24.07731438,
390,28.26041794,
391.0599976,34.10705948,
391.9599915,39.77448654,
393.0299988,46.43971634,
393.9299927,52.63231277,
395,62.68954468,
396.0599976,73.39020538,
396.9599915,84.09487915,
398.0299988,95.33574677,
398.9299927,104.9328384,
400,120.2985153,
401.0599976,135.445816,
401.9599915,151.2589111,
403.0299988,166.1628723,
403.9299927,178.9237823,
405,199.647171,
406.0599976,216.345932,
406.9599915,237.0778656,
408.0299988,253.4010162,
408.9299927,269.8987427,
410,288.4324646,
411.0599976,308.532074,
411.9599915,328.8627319,
413.0299988,342.4938354,
413.9299927,362.2042542,
415,380.6457214,
416.0599976,398.7684631,
416.9599915,413.6514587,
418.0299988,431.2789307,
418.9299927,447.1884766,
420,466.3291016,
421.0599976,480.074585,
421.9599915,492.9538879,
423.0299988,506.7470703,
423.9299927,519.3358154,
425,534.010437,
426.0599976,545.9474487,
426.9599915,556.1174927,
428.0299988,571.0778198,
428.9299927,581.7719727,
430,591.4154663,
431.0400085,599.4072266,
431.9400024,613.0993652,
432.980011,620.2566528,
434.019989,624.7080078,
435.0700073,631.8856201,
435.9700012,639.617981,
437.0100098,643.7058105,
438.0499878,648.6348877,
438.9500122,652.9827271,
440,657.1663818,
441.0599976,661.3900146,
441.9599915,662.2053833,
443.0299988,664.9033813,
443.9299927,667.7109375,
445,669.3989868,
446.0599976,669.1569824,
446.9599915,672.8532715,
448.0299988,673.2401733,
448.9299927,669.272644,
450,672.9818726,
451.0599976,666.6807251,
451.9599915,666.8742065,
453.0299988,668.6032104,
453.9299927,668.0936279,
455,663.0283813,
456.0599976,667.0922241,
456.9599915,660.914856,
458.0299988,658.0206299,
458.9299927,654.3206787,
460,650.2651367,
461.0400085,645.4552002,
461.9400024,638.9956055,
462.980011,634.6384277,
464.019989,631.380188,
465.0700073,623.3762207,
465.9700012,614.9328003,
467.0100098,606.5908203,
468.0499878,601.7243652,
468.9500122,591.821228,
470,582.3585205,
471.0400085,572.4241943,
471.9400024,563.1011963,
472.980011,551.8891602,
474.019989,545.1174316,
475.0700073,539.7744141,
475.9700012,524.5532837,
477.0100098,515.4211426,
478.0499878,504.0985413,
478.9500122,492.8979187,
480,487.812439,
481.0400085,475.6273193,
481.9400024,465.4729614,
482.980011,452.2332153,
484.019989,445.9759827,
485.0700073,434.0204468,
485.9700012,428.207428,
487.0100098,415.7026978,
488.0499878,405.3053284,
488.9500122,395.7453613,
490,387.4470215,
491.0400085,372.3316345,
491.9400024,370.1080322,
492.980011,359.9280701,
494.019989,350.180603,
495.0700073,339.7346802,
495.9700012,331.8992004,
