Sample 36,,
Wavelength (nm),Intensity (a.u.),
360,0.8603736758,
361.0700073,0.3282724619,
362,0.3318033516,
363.0700073,0.3455090523,
364,0.2627139688,
365.0700073,0.3049879372,
366,0.2388277799,
367.0700073,0.3359979987,
368,0.3212021291,
369.0700073,0.3195154369,
370,0.3351112902,
371.0599976,0.2780480981,
371.9599915,0.3607703745,
373.0299988,0.2271855921,
373.9299927,0.2981114686,
375,0.02827374637,
376.0599976,0.2408204824,
376.9599915,0.1541220695,
378.0299988,0.2216342688,
378.9299927,0.09934855998,
380,0.08421052992,
381.0700073,0.09780224413,
382,-0.152646333,
383.0700073,0.1668822169,
384,0.2937720418,
385.0700073,0.2518222034,
386,0.241192922,
387.0700073,0.2117836475,
388,0.4810208976,
389.0700073,0.4778502285,
390,0.7453241348,
391.0599976,0.8091405034,
391.9599915,0.9417519569,
393.0299988,0.8880501986,
393.9299927,1.027035952,
395,0.9459421635,
396.0599976,0.8530603647,
396.9599915,0.7022858262,
398.0299988,0.588540256,
398.9299927,0.4680585265,
400,0.3655073643,
401.0599976,0.3397989571,
401.9599915,0.4200220406,
403.0299988,0.3232062161,
403.9299927,0.2944062948,
405,0.1252278388,
406.0599976,0.2361143827,
406.9599915,0.3283134699,
408.0299988,0,
408.9299927,0.1137591749,
410,0.1571653187,
411.0599976,0.08370885998,
411.9599915,0.09782411158,
413.0299988,0.1274625063,
413.9299927,0.1827202737,
415,0.1141845807,
416.0599976,0.08348058164,
416.9599915,0.1407697201,
418.0299988,0.02880142815,
418.9299927,0.05630392954,
420,0.02820556238,
421.0599976,0.2763423324,
421.9599915,0.06999272108,
423.0299988,0.06961558759,
423.9299927,0.2109289318,
425,0.04201562703,
426.0599976,0.1995495856,
426.9599915,0.08423771709,
428.0299988,0.07054375112,
428.9299927,-0.02798337862,
430,0.1143216416,
431.0400085,0.1708622873,
431.9400024,0.07097836584,
432.980011,0.1392098516,
434.019989,0.05738963187,
435.0700073,0.1247505024,
435.9700012,0.2238294333,
437.0100098,0.09866797924,
438.0499878,0.02828614227,
438.9500122,0.2158087045,
440,-0.02797320113,
441.0599976,0.04224875942,
441.9599915,0.09548752755,
443.0299988,0.1675135493,
443.9299927,0.02767821401,
445,0.05581758916,
446.0599976,0.195271641,
446.9599915,0.1120746359,
448.0299988,0.04326007888,
448.9299927,0.08539710194,
450,0.07035911083,
451.0599976,0,
451.9599915,0.01417735871,
453.0299988,0.1401777416,
453.9299927,0.04298178852,
455,0.08466085792,
456.0599976,0.0851861313,
456.9599915,0.07071835548,
458.0299988,0.1537687331,
458.9299927,0,
460,0.08477569371,
461.0400085,0.05639601126,
461.9400024,0.04290556535,
462.980011,0.1412170082,
464.019989,0.09763173014,
465.0700073,0.1128636375,
465.9700012,0.07050197572,
467.0100098,0.02885378338,
468.0499878,0.09987872094,
468.9500122,0.1599162668,
470,-0.0144175319,
471.0400085,0.08523453772,
471.9400024,0.113712281,
472.980011,0.1983059049,
474.019989,0.04325509071,
475.0700073,0.1282014698,
475.9700012,0.1252330691,
477.0100098,0.08435377479,
478.0499878,0.1574127078,
478.9500122,0.21360524,
480,0.07086971402,
481.0400085,0.181914866,
481.9400024,0.1417695731,
482.980011,0.2321363837,
484.019989,0.2080979943,
485.0700073,0,
485.9700012,0.1273380667,
487.0100098,0.1428367347,
488.0499878,0.09083202481,
488.9500122,0.1185729727,
490,0.1140819937,
491.0400085,0.2450273931,
491.9400024,-0.02875877172,
492.980011,0.1585517079,
494.019989,0.1737292409,
495.0700073,0.1300427616,
495.9700012,0.0872181803,
497.0100098,0.1143167466,
498.0499878,0.0885765776,
498.9500122,0.1607458591,
500,-0.02861434966,
501.0400085,0.1314444244,
501.9400024,0.1439283788,
502.980011,0.1285328567,
504.019989,0.1335133314,
505.0700073,0.01460707001,
505.9700012,0.2020318657,
507.0100098,0.04368210956,
508.0499878,0.09980466962,
508.9500122,0.1548794061,
510,0.04282104969,
511.0400085,0.1293084919,
511.9400024,0,
512.9799805,0.07078944147,
514.0200195,0.1986379027,
515.0700073,0.1423224211,
515.9699707,0.07124231756,
517.0100098,0.05629283562,
518.0499878,0.08405480534,
518.9500122,0.04259246215,
520,0.05815559253,
521.0200195,0.07019514591,
522.0499878,0.1576315165,
522.9400024,0.1762839407,
523.9699707,0.1128540859,
525,0.07003585994,
526.0200195,0.04333819821,
527.0499878,0.07330733538,
527.9400024,0.1447471231,
528.9699707,0.1406548768,
530,0,
531.039978,0.1285640746,
531.9400024,0.1735759526,
532.9799805,0.04172635823,
534.0200195,0.06932793558,
535.0700073,0.05708577111,
535.9699707,0.07335465401,
537.0100098,0.08543114364,
538.0499878,0.2137078196,
538.9500122,0.0736637339,
540,0.1126919314,
541.0200195,0.1300446391,
542.0499878,0.0603527613,
542.9400024,0.04166261852,
543.9699707,0.1682651937,
545,0.04317602888,
546.0200195,0.1154451147,
547.0499878,0,
547.9400024,0.07028295845,
548.9699707,0.02841635607,
550,0.1144639552,
551.0200195,0.1171045899,
552.0499878,0.05660270527,
552.9400024,0.09884352982,
553.9699707,-0.04420996457,
555,0.07000546157,
556.0200195,0.1145130992,
557.0499878,-0.05669255555,
557.9400024,0.1548554301,
558.9699707,-0.0149407601,
560,-0.05562663451,
561.0200195,0.05729017407,
562.0499878,0.1178567782,
562.9400024,0.1787576377,
563.9699707,-0.04358690977,
565,0.1882421076,
566.0200195,0.1173519567,
567.0499878,0.2538500726,
567.9400024,0.1879481822,
568.9699707,0.06942997873,
570,0.05812263861,
571.0100098,0.02844100632,
572.0200195,-0.07321501523,
573.039978,0.02766175196,
574.0499878,0.1119460464,
575.0700073,0.05526388437,
575.9400024,0.09934573621,
576.9500122,0.06034183875,
577.9699707,0.138912037,
578.9799805,0.04093718901,
580,0.0961868763,
581.0200195,0.05519448966,
582.0499878,0.04331817105,
582.9400024,0.141993016,
583.9699707,0.08382347226,
585,0.1019560993,
586.0200195,0.02818688005,
587.0499878,-0.0279243812,
587.9400024,-0.01404336561,
588.9699707,-0.01393417455,
590,0.1102156118,
591.0100098,-0.08349452168,
592.0200195,0.07413227856,
593.039978,0.1205436513,
594.0499878,-0.02743521892,
595.0700073,0.1133256778,
595.9400024,0.0842814967,
596.9500122,-0.1467803717,
597.9699707,0.02825138159,
598.9799805,0.01471410412,
600,0.07319357991,
601.0100098,0.04251941666,
602.0200195,-0.08810831606,
603.039978,-0.07135313749,
604.0499878,0.02840747684,
605.0700073,-0.02947418019,
605.9400024,-0.01426147018,
606.9500122,-0.1764965355,
607.9699707,0.102025941,
608.9799805,0.1278536171,
610,-0.03008876182,
611.0100098,0.1497745812,
612.0200195,0.01433650684,
613.039978,0.02834587544,
614.0499878,-0.05805599317,
615.0700073,0.1128700003,
615.9400024,0.1462694108,
616.9500122,0.01535697281,
617.9699707,0.01407241728,
618.9799805,-0.01435770839,
620,-0.05594953522,
621.0100098,-0.01404790301,
622.0200195,0.05860548094,
623.039978,0.05753077939,
624.0499878,0.07160963863,
625.0700073,0.0581496805,
625.9400024,-0.01423548255,
626.9500122,0.1134848371,
627.9699707,-0.05875527114,
628.9799805,0.04411375523,
630,0.01455222815,
631,-0.08781173825,
632,0.04414491355,
633,-0.05781850591,
634,0.114382118,
635,-0.02952160314,
636,-0.04229402915,
637,0.02883132175,
638,0.1294665933,
639,0.0142421741,
640,-0.04614674672,
641.0100098,0.1217007637,
642.0200195,0.02921883389,
643.039978,0.09880585968,
644.0499878,0,
645.0700073,-0.04289329425,
645.9400024,0.1036668494,
646.9500122,-0.01476210821,
647.9699707,0.05618293211,
648.9799805,-0.02784778364,
650,0.06992127001,

Sample 36,
Sample 36
Collection Time: 4/05/2023 12:55:25 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        360.00
Stop (nm)                         650.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/05/2023 11:12:11 AM
Method Modifications:
Overlayed Graphs Changed: 4/05/2023 11:16:19 AM, Old:OFF, New:ON
