Sample 22,,
Wavelength (nm),Intensity (a.u.),
384.9200134,46.49167633,
385.8399963,58.63921738,
386.9200134,70.18899536,
387.8399963,73.44736481,
388.9200134,67.45108032,
389.8399963,54.27566528,
390.8999939,37.45456696,
391.9599915,21.99601364,
392.8699951,12.50479603,
393.9299927,5.691113472,
394.8399963,2.443156242,
395.8999939,1.333948255,
396.9599915,1.250278234,
397.8699951,1.30715239,
398.9299927,1.47045815,
399.8399963,1.751556516,
400.8999939,2.130913973,
401.9599915,2.496724367,
402.8699951,2.84879899,
403.9299927,3.365359783,
404.8399963,3.793165207,
405.8999939,4.512840748,
406.9599915,5.134058475,
407.8699951,5.70734787,
408.9299927,6.334617138,
409.8399963,6.902619839,
410.8999939,7.65388298,
411.9599915,8.177646637,
412.8699951,8.637937546,
413.9299927,9.174623489,
414.8399963,9.571186066,
415.8999939,10.04106808,
416.9599915,10.58397388,
417.8699951,10.84194565,
418.9299927,11.21246052,
419.8399963,11.58265495,
420.8999939,12.10507965,
421.9599915,12.57247734,
422.8699951,12.86431122,
423.9299927,13.33778191,
424.8399963,13.89243317,
425.8999939,14.55046558,
426.9599915,15.11190987,
427.8699951,15.8141222,
428.9299927,16.66343117,
429.8399963,17.46712685,
430.8900146,18.38686752,
431.9400024,19.28121758,
432.980011,20.23530769,
433.8800049,21.08028221,
434.9200134,22.2537117,
435.9700012,22.99206161,
436.8599854,23.7557869,
437.9100037,24.25973129,
438.9500122,24.84922218,
439.8500061,25.0588665,
440.8999939,25.34226608,
441.9599915,25.67964745,
442.8699951,25.79609299,
443.9299927,25.90080643,
444.8399963,25.97867966,
445.8999939,26.00713921,
446.9599915,25.99774742,
447.8699951,25.94777679,
448.9299927,26.30536461,
449.8399963,26.42653656,
450.8999939,26.54563713,
451.9599915,26.73177719,
452.8699951,26.99570274,
453.9299927,27.19142342,
454.8399963,27.40078926,
455.8999939,27.64914894,
456.9599915,28.09792328,
457.8699951,28.24448586,
458.9299927,28.81383705,
459.8399963,29.06030655,
460.8900146,29.10156059,
461.9400024,29.32450676,
462.980011,29.73306084,
463.8800049,29.78090668,
464.9200134,29.9607563,
465.9700012,30.12308121,
466.8599854,30.13136864,
467.9100037,29.81070328,
468.9500122,29.89895058,
469.8500061,29.68144417,
470.8900146,29.56446457,
471.9400024,29.13281822,
472.980011,28.82652473,
473.8800049,28.67491913,
474.9200134,28.17837715,
475.9700012,27.7123661,
476.8599854,27.30150986,
477.9100037,26.80916977,
478.9500122,26.31338501,
479.8500061,26.01850128,
480.8900146,25.76657104,
481.9400024,25.19316483,
482.980011,24.84567451,
483.8800049,24.41295242,
484.9200134,24.02547455,
485.9700012,23.67611122,
486.8599854,23.36528206,
487.9100037,23.11361313,
488.9500122,22.63810158,
489.8500061,22.36262703,
490.8900146,22.01072311,
491.9400024,21.67590714,
492.980011,21.3558712,
493.8800049,21.10035324,
494.9200134,20.83897209,
495.9700012,20.44721985,
496.8599854,20.26710129,
497.9100037,20.03261375,
498.9500122,19.63523293,
499.8500061,19.24614334,
500.8900146,18.99805641,
501.9400024,18.59724426,
502.980011,18.07248116,
503.8800049,17.89097023,
504.9200134,17.47719955,
505.9700012,17.07721901,
506.8599854,16.5989151,
507.9100037,16.2619381,
508.9500122,15.91929626,
509.8500061,15.51790714,
510.8900146,15.11606884,
511.9400024,14.86335945,
512.9799805,14.34121132,
513.8800049,14.03487873,
514.9199829,13.67016315,
515.9699707,13.32919598,
516.8599854,13.13999081,
517.9099731,12.86610126,
518.9500122,12.50855923,
519.8499756,12.18741417,
520.8800049,11.91198349,
521.9099731,11.6818409,
522.9400024,11.24356747,
523.9699707,11.11306667,
524.8499756,10.82683563,
525.8800049,10.61478615,
526.9099731,10.37181187,
527.9400024,10.06801033,
528.9699707,9.931342125,
529.8499756,9.627741814,
530.8900146,9.393084526,
531.9400024,9.211889267,
532.9799805,8.899308205,
533.8800049,8.676997185,
534.9199829,8.560162544,
535.9699707,8.342718124,
536.8599854,8.142611504,
537.9099731,7.959321022,
538.9500122,7.720055103,
539.8499756,7.518746853,
540.8800049,7.317197323,
541.9099731,7.06360054,
542.9400024,6.867391109,
543.9699707,6.827764511,
