Sample 23,,
Wavelength (nm),Intensity (a.u.),
384.9200134,47.75284576,
385.8399963,60.38482285,
386.9200134,72.85089874,
387.8399963,75.54400635,
388.9200134,69.51117706,
389.8399963,55.88658905,
390.8999939,38.33169937,
391.9599915,22.56075859,
392.8699951,12.44029045,
393.9299927,5.238402367,
394.8399963,1.916317344,
395.8999939,0.6979946494,
396.9599915,0.469198972,
397.8699951,0.4489125609,
398.9299927,0.4104120731,
399.8399963,0.4494742751,
400.8999939,0.5004550219,
401.9599915,0.5734294653,
402.8699951,0.6131113172,
403.9299927,0.5973974466,
404.8399963,0.6101871133,
405.8999939,0.5444357395,
406.9599915,0.5377717018,
407.8699951,0.5312848091,
408.9299927,0.5447593927,
409.8399963,0.4909872711,
410.8999939,0.4739902318,
411.9599915,0.442668587,
412.8699951,0.4604043961,
413.9299927,0.4257366359,
414.8399963,0.4232892096,
415.8999939,0.3835493922,
416.9599915,0.3870331943,
417.8699951,0.3756612539,
418.9299927,0.3889288306,
419.8399963,0.3432183564,
420.8999939,0.3381794393,
421.9599915,0.3479000032,
422.8699951,0.32687518,
423.9299927,0.3513895273,
424.8399963,0.3664954007,
425.8999939,0.3671027422,
426.9599915,0.3983917534,
427.8699951,0.3445517421,
428.9299927,0.3483971357,
429.8399963,0.3831042647,
430.8900146,0.4098213315,
431.9400024,0.4870595038,
432.980011,0.411018759,
433.8800049,0.5390488505,
434.9200134,0.5684908628,
435.9700012,0.7009801269,
436.8599854,0.7240729332,
437.9100037,0.7526134253,
438.9500122,0.7640042901,
439.8500061,0.7381998301,
440.8999939,0.6909328103,
441.9599915,0.6040165424,
442.8699951,0.5294291973,
443.9299927,0.3788047433,
444.8399963,0.3780661225,
445.8999939,0.3263651431,
446.9599915,0.3068996072,
447.8699951,0.2838864028,
448.9299927,0.2390069216,
449.8399963,0.2844112217,
450.8999939,0.2652694881,
451.9599915,0.2154114991,
452.8699951,0.2385892123,
453.9299927,0.2473553121,
454.8399963,0.247427851,
455.8999939,0.2005086392,
456.9599915,0.18969886,
457.8699951,0.2367690653,
458.9299927,0.2572160959,
459.8399963,0.2277355194,
460.8900146,0.2464569658,
461.9400024,0.2135071009,
462.980011,0.199241221,
463.8800049,0.1919555664,
464.9200134,0.2063079029,
465.9700012,0.1493756026,
466.8599854,0.1938898861,
467.9100037,0.1770053059,
468.9500122,0.1725830734,
469.8500061,0.1726902276,
470.8900146,0.1825780272,
471.9400024,0.1671748012,
472.980011,0.1568683684,
473.8800049,0.1652343422,
474.9200134,0.1590366811,
475.9700012,0.1324744821,
476.8599854,0.1685860157,
477.9100037,0.1690403372,
478.9500122,0.1233234107,
479.8500061,0.1449652463,
480.8900146,0.1264114529,
481.9400024,0.1384109408,
482.980011,0.1000310332,
483.8800049,0.1538088918,
484.9200134,0.1421398371,
485.9700012,0.1206522733,
486.8599854,0.149010852,
487.9100037,0.1039258018,
488.9500122,0.1589912176,
489.8500061,0.1101376563,
490.8900146,0.1214565039,
491.9400024,0.1163061187,
492.980011,0.07105817646,
493.8800049,0.1222999245,
494.9200134,0.07870162278,
495.9700012,0.09233168513,
496.8599854,0.1347574443,
497.9100037,0.1215664074,
498.9500122,0.06464722753,
499.8500061,0.05837020278,
500.8900146,0.09243758023,
501.9400024,0.1273593307,
502.980011,0.09793057293,
503.8800049,0.07757805288,
504.9200134,0.1117386743,
505.9700012,0.06942467391,
506.8599854,0.09832108766,
507.9100037,0.061572887,
508.9500122,0.1012698188,
509.8500061,0.07119199634,
510.8900146,0.0788872093,
511.9400024,0.08354574442,
512.9799805,0.04047060385,
513.8800049,0.07265587896,
514.9199829,0.05767247453,
515.9699707,0.06123698503,
516.8599854,0.07398129255,
517.9099731,0.08484239876,
518.9500122,0.05159293115,
519.8499756,0.07261231542,
520.8800049,0.04515329376,
521.9099731,0.07112940401,
522.9400024,0.04032888263,
523.9699707,0.04152561724,
524.8499756,0.07676300406,
525.8800049,0.06679725647,
526.9099731,0.00835167896,
527.9400024,0.04621117935,
528.9699707,0.04848873988,
529.8499756,0.0610845536,
530.8900146,0.04156814888,
531.9400024,0.0478149429,
532.9799805,0.08107557893,
533.8800049,0.03404446319,
534.9199829,0.08656656742,
535.9699707,0.04197032005,
536.8599854,0.0468118526,
537.9099731,0.04441534355,
538.9500122,0.06159593537,
539.8499756,0.06516040862,
540.8800049,0.03824473172,
541.9099731,0.05321174487,
542.9400024,0.07011015713,
543.9699707,0.07875850052,
544.8499756,0.03670134768,
545.8800049,0.07175636292,
546.9099731,0.06831920892,
547.9400024,0.03800654039,
548.9699707,0.06689053029,
549.8499756,0.0265641287,
550.8800049,0.05125389993,
551.9099731,0.02005639113,
552.9400024,0.03671751916,
553.9699707,0.04611734673,
554.8499756,0.0657139793,
555.8800049,0.08300343901,
556.9099731,0.05415206775,
557.9400024,0.01743596978,
558.9699707,0.05108948424,
559.8499756,0.07666373253,
560.8800049,0.06653609127,
561.9099731,0.02725538239,
562.9400024,0.04597114027,
563.9699707,0.02090588771,
564.8499756,0.04342328385,
565.8800049,0.01682532951,
566.9099731,0.04947454855,
567.9400024,0.0737747848,
568.9699707,0.02216947079,
569.8499756,0.03307885677,
570.8599854,0.05120528489,
571.8800049,0.03862291947,
572.8900146,0.02755290642,
573.9099731,0.0347514227,
574.9199829,0.01383027807,
575.9400024,0.001759832259,
576.9500122,0.02775710449,
577.9699707,0.01394656394,
578.9799805,0.07556001842,
579.8499756,0.04822306335,
580.8800049,0.05667230487,
581.9099731,0.03081949055,
582.9400024,0.02714367025,
583.9699707,0.03946255147,
584.8499756,0.01038090978,
585.8800049,0.03218925744,
586.9099731,0.01716098748,
587.9400024,0.04582329467,
588.9699707,0.05722287297,
589.8499756,0.0101184193,
590.8599854,0.02371358126,
591.8800049,0.01008372847,
592.8900146,0.01540686935,
593.9099731,0.04395098984,
594.9199829,0.02495362796,
595.9400024,0.02869774587,
596.9500122,0.0448271893,
597.9699707,0.01704605483,
598.9799805,0.02919552661,
599.8499756,-0.01334302966,
600.8599854,0.006830892526,
601.8800049,0.04116602987,
602.8900146,0.02003683336,
603.9099731,0.04205285385,
604.9199829,0.0101921903,
605.9400024,0.01363610011,
606.9500122,0.04641799256,
607.9699707,0.0138787441,
608.9799805,0.03570280969,
609.8499756,0.02875351906,
610.8599854,0.03524937481,
611.8800049,-0.005232725292,
612.8900146,0.03954274952,
613.9099731,0.05395479873,
614.9199829,0.01047151443,
615.9400024,0.0272131525,
616.9500122,0.01743271761,
617.9699707,0.0664813146,
618.9799805,0.03894476593,
619.8499756,0.01896489598,
620.8599854,0.03196113557,
621.8800049,0.03140467778,
622.8900146,0.02600658499,
623.9099731,0.03937803209,
624.9199829,-0.005129459314,
625.9400024,-0.02056439035,
626.9500122,0.05768558383,
627.9699707,0.03473089263,
628.9799805,0.03832330555,
629.8499756,0.06834335625,
630.8499756,0.01983405463,
631.8499756,0.03207758069,
632.8499756,-0.00167543476,
633.8499756,0.0351479724,
634.8499756,0.0151974922,
635.8499756,0.01868987456,
636.8499756,0.022263363,
637.8499756,0.05786712095,
638.8499756,0.01713719778,
639.8499756,0.01351376437,
640.8599854,0.03718665987,
641.8800049,0.02318299003,
642.8900146,0.05038714036,
643.9099731,-0.003429214004,
644.9199829,0.02326242253,
645.9400024,-0.01013222616,
646.9500122,0.02156716958,
647.9699707,0.01191158872,
648.9799805,0.02067639492,
649.8499756,0.008323649876,
650.8499756,0.01031089015,
651.8499756,0.03168908134,
652.8499756,0.02558233961,
653.8499756,-0.008696725592,
654.8499756,0.04826363176,
655.8499756,0.006772842258,
656.8499756,0.03119768016,
657.8499756,0.01336614694,
658.8499756,0.0384147279,
659.8499756,0.01435871329,
660.8499756,0.008606918156,
661.8499756,0.01535058208,
662.8499756,0.02706021257,
663.8499756,0.03780146688,
664.8499756,0.01385365333,
665.8499756,0.005094675813,
666.8499756,-0.005105035845,
667.8499756,0.03515638784,
668.8499756,0.05237424374,
669.8499756,0.008418259211,
670.9799805,0.03552271798,
671.9699707,0.04029529914,
672.9500122,0.04777716845,
673.9400024,0.04797872156,
674.9199829,0.03378030285,
675.9099731,0.03392118588,
676.9000244,0.03852744773,
677.8800049,0.03086297959,
678.8699951,0.0386386402,
679.8499756,0.003363396507,
680.8499756,-0.0119128665,
681.8499756,0.04289820045,
682.8499756,0.01837449148,
683.8499756,-0.003359453054,
684.8499756,0.03560281545,
685.8499756,0.03542384878,
686.8499756,0.001647394965,
687.8499756,0.0166114904,
688.8499756,0.0367728807,
689.8499756,0.03272048384,
690.9799805,0.01175759174,
691.9699707,0.02864219062,
692.9500122,0.03790962696,
693.9400024,0.001676423475,
694.9199829,0.04049463943,
695.9099731,0.03694479913,
696.9000244,0.01354605146,
697.8800049,0.02027379721,
698.8699951,0.02024544217,
699.8499756,0.02353890613,
700.9799805,0.05388248712,

Sample 23,
Sample 23
Collection Time: 1/08/2023 3:05:08 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        385.00
Stop (nm)                         700.00
Ex. Wavelength (nm)               385.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 1/08/2023 12:56:44 PM
Method Modifications:
Overlayed Graphs Changed: 1/08/2023 2:04:18 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 1/08/2023 2:04:18 PM, Old: 350.00, New: 327.00
Emission Wavelength Changed: 1/08/2023 2:04:18 PM, Old: 400.00, New: 337.00
Scan Control Changed: 1/08/2023 2:04:39 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 1/08/2023 2:04:39 PM, Old:0.10000, New:0.50000
Scan Control Changed: 1/08/2023 2:08:46 PM, Old:Slow, New:Medium
Ave. time (s): Changed: 1/08/2023 2:08:46 PM, Old:0.50000, New:0.10000
Excitation Wavelength Changed: 1/08/2023 2:08:46 PM, Old: 327.00, New: 340.00
Emission Wavelength Changed: 1/08/2023 2:08:46 PM, Old: 337.00, New: 350.00
Excitation Wavelength Changed: 1/08/2023 2:09:58 PM, Old: 340.00, New: 310.00
Emission Wavelength Changed: 1/08/2023 2:09:58 PM, Old: 350.00, New: 320.00
Excitation Wavelength Changed: 1/08/2023 2:13:59 PM, Old: 310.00, New: 350.00
Emission Wavelength Changed: 1/08/2023 2:13:59 PM, Old: 320.00, New: 360.00
Scan Control Changed: 1/08/2023 2:14:44 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 1/08/2023 2:14:44 PM, Old:0.10000, New:0.50000
Excitation Wavelength Changed: 1/08/2023 2:16:25 PM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 1/08/2023 2:16:25 PM, Old: 360.00, New: 350.00
User Delta Stop Changed: 1/08/2023 2:24:01 PM, Old: 450.00, New: 475.00
User Delta Increment Changed: 1/08/2023 2:24:01 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 1/08/2023 2:24:01 PM, Old: 340.00, New: 475.00
Emission Wavelength Changed: 1/08/2023 2:24:01 PM, Old: 350.00, New: 485.00
Stop Wavelength Changed: 1/08/2023 2:24:01 PM, Old: 600.00, New: 750.00
Excitation Wavelength Changed: 1/08/2023 2:24:18 PM, Old: 475.00, New: 465.00
Emission Wavelength Changed: 1/08/2023 2:24:18 PM, Old: 485.00, New: 475.00
Scan mode: Changed: 1/08/2023 2:33:38 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 1/08/2023 2:33:38 PM, Old: 465.00, New: 475.00
Emission Wavelength Changed: 1/08/2023 2:33:38 PM, Old: 475.00, New: 465.00
User Delta Stop Changed: 1/08/2023 2:34:03 PM, Old: 475.00, New: 562.00
Excitation Wavelength Changed: 1/08/2023 2:34:03 PM, Old: 475.00, New: 300.00
Emission Wavelength Changed: 1/08/2023 2:34:03 PM, Old: 465.00, New: 562.00
Stop Wavelength Changed: 1/08/2023 2:34:03 PM, Old: 750.00, New: 552.00
Scan mode: Changed: 1/08/2023 2:42:54 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 1/08/2023 2:42:54 PM, Old: 300.00, New: 485.00
Emission Wavelength Changed: 1/08/2023 2:42:54 PM, Old: 562.00, New: 495.00
Stop Wavelength Changed: 1/08/2023 2:42:54 PM, Old: 552.00, New: 750.00
Scan mode: Changed: 1/08/2023 2:50:10 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 1/08/2023 2:50:10 PM, Old: 562.00, New: 640.00
Excitation Wavelength Changed: 1/08/2023 2:50:10 PM, Old: 485.00, New: 300.00
Emission Wavelength Changed: 1/08/2023 2:50:10 PM, Old: 495.00, New: 640.00
Stop Wavelength Changed: 1/08/2023 2:50:10 PM, Old: 750.00, New: 630.00
Scan mode: Changed: 1/08/2023 2:57:13 PM, Old:Excitation, New:Emission
Scan Control Changed: 1/08/2023 2:57:13 PM, Old:Slow, New:Medium
Ave. time (s): Changed: 1/08/2023 2:57:13 PM, Old:0.50000, New:0.10000
Excitation Wavelength Changed: 1/08/2023 2:57:13 PM, Old: 300.00, New: 385.00
Emission Wavelength Changed: 1/08/2023 2:57:13 PM, Old: 640.00, New: 385.00
Stop Wavelength Changed: 1/08/2023 2:57:13 PM, Old: 630.00, New: 700.00
Scan Control Changed: 1/08/2023 2:59:25 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 1/08/2023 2:59:25 PM, Old:0.10000, New:0.50000
End Method Modifications

