Sample 7,,
Wavelength (nm),Intensity (a.u.),
370,0.9491619468,
371.0599976,0.5389221311,
371.9599915,0.5050814152,
373.0299988,0.4819748998,
373.9299927,0.5185123682,
375,0.5878495574,
376.0599976,0.688382268,
376.9599915,0.5366631746,
378.0299988,0.831934154,
378.9299927,0.8454616666,
380,0.9706305861,
381.0700073,1.124545217,
382,1.152938485,
383.0700073,1.153954148,
384,1.181845069,
385.0700073,1.160407543,
386,1.170722842,
387.0700073,1.224378705,
388,1.085922718,
389.0700073,1.02658391,
390,1.035976648,
391.0599976,0.9650676847,
391.9599915,1.145649195,
393.0299988,0.961545825,
393.9299927,1.096341968,
395,1.058299899,
396.0599976,1.078014612,
396.9599915,1.089981437,
398.0299988,1.251148224,
398.9299927,1.376705885,
400,1.511129498,
401.0599976,1.620363355,
401.9599915,1.781898618,
403.0299988,1.989705682,
403.9299927,2.216193199,
405,2.185349941,
406.0599976,2.3724792,
406.9599915,2.234663486,
408.0299988,2.080169439,
408.9299927,2.04073596,
410,1.743596315,
411.0599976,1.628457427,
411.9599915,1.520840168,
413.0299988,1.486442089,
413.9299927,1.44346559,
415,1.467645049,
416.0599976,1.282767177,
416.9599915,1.322519541,
418.0299988,1.355850577,
418.9299927,1.288741231,
420,1.368752718,
421.0599976,1.359449863,
421.9599915,1.314436436,
423.0299988,1.240962505,
423.9299927,1.312243223,
425,1.331338882,
426.0599976,1.345618725,
426.9599915,1.360237598,
428.0299988,1.330165505,
428.9299927,1.40744257,
430,1.256190896,
431.0400085,1.317006707,
431.9400024,1.335227489,
432.980011,1.354971766,
434.019989,1.219220638,
435.0700073,1.353835702,
435.9700012,1.299390674,
437.0100098,1.317080975,
438.0499878,1.243423462,
438.9500122,1.229197502,
440,1.343724728,
441.0599976,1.239630103,
441.9599915,1.255378723,
443.0299988,1.214612722,
443.9299927,1.146634817,
445,1.249756575,
446.0599976,1.20862627,
446.9599915,1.242811322,
448.0299988,1.153500795,
448.9299927,1.192287803,
450,1.157173276,
451.0599976,1.218573689,
451.9599915,1.16552794,
453.0299988,1.101685524,
453.9299927,1.13215065,
455,1.199667811,
456.0599976,1.092375994,
456.9599915,1.190494537,
458.0299988,1.00549221,
458.9299927,1.020112991,
460,0.9653766751,
461.0400085,1.080266953,
461.9400024,1.067553282,
462.980011,0.9618026614,
464.019989,1.043083191,
465.0700073,0.9512937665,
465.9700012,0.9752444029,
467.0100098,0.9446335435,
468.0499878,0.8004289269,
468.9500122,0.8882014751,
470,0.910942018,
471.0400085,0.8142791986,
471.9400024,0.8603134751,
472.980011,0.827814579,
474.019989,0.7923930287,
475.0700073,0.8218378425,
475.9700012,0.727199614,
477.0100098,0.6936202645,
478.0499878,0.6846449375,
478.9500122,0.710314095,
480,0.804017067,
481.0400085,0.5634238124,
481.9400024,0.64555794,
482.980011,0.7331830859,
484.019989,0.7193373442,
485.0700073,0.6288625002,
485.9700012,0.6990374327,
487.0100098,0.6763403416,
488.0499878,0.5556993484,
488.9500122,0.5602707267,
490,0.534694016,
491.0400085,0.5331561565,
491.9400024,0.5519356132,
492.980011,0.5209777951,
494.019989,0.456564486,
495.0700073,0.4630332291,
495.9700012,0.4933051467,
497.0100098,0.4738865495,
498.0499878,0.4772799611,
498.9500122,0.4552785158,
500,0.4584527314,
501.0400085,0.5097305179,
501.9400024,0.4503369927,
502.980011,0.4172989428,
504.019989,0.3768400252,
505.0700073,0.3625651598,
505.9700012,0.3748584688,
507.0100098,0.4187349677,
508.0499878,0.4117112458,
508.9500122,0.3697997034,
510,0.4335170686,
511.0400085,0.2645461261,
511.9400024,0.3663870394,
512.9799805,0.3194532096,
