Sample 8,,
Wavelength (nm),Intensity (a.u.),
355,1.117115617,
356.0599976,0.8169600964,
356.9599915,0.6990855932,
358.0299988,0.6385961771,
358.9299927,0.5828476548,
360,0.4214489162,
361.0700073,0.3971687257,
362,0.529542923,
363.0700073,0.414362669,
364,0.6429789066,
365.0700073,0.5598242283,
366,0.5550890565,
367.0700073,0.4639849365,
368,0.3898309767,
369.0700073,0.5247408152,
370,0.5132153034,
371.0599976,0.6330093145,
371.9599915,0.5771755576,
373.0299988,0.4065781534,
373.9299927,0.5713469386,
375,0.5029970407,
376.0599976,0.5627145171,
376.9599915,0.4943572581,
378.0299988,0.6943094134,
378.9299927,0.6622707248,
380,0.7637906671,
381.0700073,0.8290009499,
382,0.9693734646,
383.0700073,1.246423602,
384,1.385930538,
385.0700073,1.613885045,
386,1.782178164,
387.0700073,1.915931225,
388,1.925342679,
389.0700073,1.80123961,
390,1.704944253,
391.0599976,1.470413566,
391.9599915,1.041546106,
393.0299988,1.215471148,
393.9299927,1.334569573,
395,1.08678329,
396.0599976,1.038026929,
396.9599915,0.9730593562,
398.0299988,1.251795888,
398.9299927,1.049347639,
400,1.316084146,
401.0599976,1.190122008,
401.9599915,0.9827533364,
403.0299988,1.1753968,
403.9299927,1.225682378,
405,1.114126563,
406.0599976,1.242600322,
406.9599915,1.320354581,
408.0299988,1.315394402,
408.9299927,1.305594206,
410,1.235424757,
411.0599976,1.287469506,
411.9599915,1.251874089,
413.0299988,1.265219927,
413.9299927,1.133128405,
415,1.237968087,
416.0599976,1.17374289,
416.9599915,1.364060521,
418.0299988,1.18155086,
418.9299927,1.186725736,
420,1.295262218,
421.0599976,1.341894507,
421.9599915,1.176571846,
423.0299988,1.323944569,
423.9299927,1.38875103,
425,1.299089193,
426.0599976,1.245822906,
426.9599915,1.36513865,
428.0299988,1.192131877,
428.9299927,1.349125147,
430,1.354154706,
431.0400085,1.281099439,
431.9400024,1.284872413,
432.980011,1.417742014,
434.019989,1.121314883,
435.0700073,1.287354946,
435.9700012,1.222702384,
437.0100098,1.498339057,
438.0499878,1.368267775,
438.9500122,1.233480215,
440,1.280719519,
441.0599976,1.388622165,
441.9599915,1.309672832,
443.0299988,1.304347873,
443.9299927,1.019566655,
445,1.469069481,
446.0599976,1.298683047,
446.9599915,1.139149189,
448.0299988,1.317214608,
448.9299927,1.274195433,
450,1.334878445,
451.0599976,1.238176107,
451.9599915,1.44323051,
453.0299988,1.279590487,
453.9299927,1.18254137,
455,1.136380196,
456.0599976,1.2495538,
456.9599915,1.21140492,
458.0299988,1.246264935,
458.9299927,1.108374357,
460,1.153638363,
461.0400085,1.191239834,
461.9400024,1.205900073,
462.980011,1.451926708,
464.019989,1.231198311,
465.0700073,1.203475356,
465.9700012,1.121991038,
467.0100098,1.143601656,
468.0499878,1.219875097,
468.9500122,1.262720108,
470,1.041376352,
471.0400085,1.182481766,
471.9400024,0.998018682,
472.980011,1.076013803,
474.019989,1.207785606,
475.0700073,1.06208086,
475.9700012,1.142770052,
477.0100098,1.146940708,
478.0499878,0.9909923077,
478.9500122,1.079092979,
480,0.9889901876,
481.0400085,0.9908165336,
481.9400024,1.12681973,
482.980011,0.9997500777,
484.019989,0.97604388,
485.0700073,0.9725367427,
485.9700012,0.9833695292,
487.0100098,1.07918334,
488.0499878,1.016574621,
488.9500122,0.8613903522,
490,0.9462276101,
491.0400085,0.8673779368,
491.9400024,0.8967716098,
492.980011,0.8280310631,
494.019989,0.9040404558,
495.0700073,0.7592797279,
495.9700012,0.9242945313,
497.0100098,0.8561524153,
