Sample 3,,
Wavelength (nm),Intensity (a.u.),
368,0.5371200442,
369.0700073,0.450604558,
370,0.2927694321,
371.0599976,0.4494648874,
371.9599915,0.4505406618,
373.0299988,0.5995553136,
373.9299927,0.5295853615,
375,0.5525278449,
376.0599976,0.5659497976,
376.9599915,0.6397731304,
378.0299988,0.6255525351,
378.9299927,0.6889077425,
380,0.6729130745,
381.0700073,0.6637902856,
382,0.8145933151,
383.0700073,0.829660356,
384,0.7878484726,
385.0700073,0.9939413071,
386,1.162405968,
387.0700073,1.231086612,
388,1.336128116,
389.0700073,1.491219878,
390,1.764033556,
391.0599976,2.027568102,
391.9599915,2.419578314,
393.0299988,2.863542557,
393.9299927,3.400542736,
395,4.109859467,
396.0599976,5.13740015,
396.9599915,6.205688,
398.0299988,7.730434418,
398.9299927,8.992697716,
400,11.20121288,
401.0599976,13.99708176,
401.9599915,17.20800972,
403.0299988,20.16656876,
403.9299927,23.41810799,
405,27.30682182,
406.0599976,31.78118515,
406.9599915,35.65339279,
408.0299988,38.87898254,
408.9299927,42.19754028,
410,45.23925018,
411.0599976,48.54695892,
411.9599915,51.21142197,
413.0299988,53.65304565,
413.9299927,56.60393143,
415,59.73511505,
416.0599976,61.75202942,
416.9599915,63.16353989,
418.0299988,64.93506622,
418.9299927,67.55480957,
420,70.47167206,
421.0599976,72.73072815,
421.9599915,74.89543152,
423.0299988,78.57118988,
423.9299927,82.76403046,
425,87.64967346,
426.0599976,92.93814087,
426.9599915,95.90419006,
428.0299988,102.2007065,
428.9299927,108.3501053,
430,114.2441483,
431.0400085,121.2212753,
431.9400024,124.7446289,
432.980011,130.7271271,
434.019989,135.1859589,
435.0700073,138.5166779,
435.9700012,141.5598907,
437.0100098,144.0582275,
438.0499878,147.2400818,
438.9500122,148.3284454,
440,149.0006561,
441.0599976,149.5871582,
441.9599915,151.0711212,
443.0299988,151.5317993,
443.9299927,151.0879517,
445,151.6654968,
446.0599976,153.0394592,
446.9599915,152.5668945,
448.0299988,153.8984528,
448.9299927,154.3483124,
450,156.2335663,
451.0599976,158.8330231,
451.9599915,158.1247711,
453.0299988,161.4824982,
453.9299927,161.3499756,
455,165.7202148,
456.0599976,167.7608032,
456.9599915,169.7388458,
458.0299988,173.2301941,
458.9299927,174.6467285,
460,177.164566,
461.0400085,180.8050385,
461.9400024,179.8327637,
462.980011,182.0684204,
464.019989,182.0403137,
465.0700073,179.8085785,
465.9700012,179.98703,
467.0100098,179.5354156,
468.0499878,178.7119141,
468.9500122,176.0884857,
470,171.7027435,
471.0400085,171.9035797,
471.9400024,169.9663849,
472.980011,168.3368988,
474.019989,164.4646606,
475.0700073,161.9837494,
475.9700012,160.0840149,
477.0100098,157.7938232,
478.0499878,154.3927612,
478.9500122,151.9146271,
480,149.8400879,
481.0400085,148.4097443,
481.9400024,146.3201294,
482.980011,144.5221558,
484.019989,142.6224365,
485.0700073,139.8609772,
485.9700012,138.0339355,
487.0100098,136.948822,
488.0499878,134.3327484,
488.9500122,133.0700684,
490,131.2059784,
491.0400085,129.9064941,
491.9400024,128.4727325,
492.980011,126.2612457,
494.019989,124.6969452,
495.0700073,122.8746109,
495.9700012,120.0168839,
497.0100098,118.0378571,
498.0499878,115.6848755,
498.9500122,113.8927155,
500,111.291214,
501.0400085,110.3980789,
501.9400024,107.8298569,
502.980011,103.2084427,
504.019989,102.5210114,
505.0700073,99.51542664,
505.9700012,97.6000824,
507.0100098,94.57820892,
508.0499878,93.61647797,
508.9500122,89.74771881,
510,88.13059235,
511.0400085,86.29737091,
511.9400024,84.98300171,
512.9799805,82.47182465,
514.0200195,79.55847168,
515.0700073,77.73004913,
515.9699707,76.54595184,
517.0100098,74.50585175,
518.0499878,73.50811768,
518.9500122,71.22293854,
520,69.77667236,
521.0200195,67.94986725,
522.0499878,65.51794434,
522.9400024,64.84223175,
523.9699707,63.95563507,
525,62.53026581,
526.0200195,59.99816895,
527.0499878,59.19558716,
527.9400024,57.63208771,
528.9699707,56.82514954,
530,54.98531723,
531.039978,53.84500885,
531.9400024,52.62120056,
532.9799805,51.54395294,
534.0200195,49.85366821,
535.0700073,48.75661469,
535.9699707,47.76191711,
537.0100098,46.80730438,
538.0499878,45.81438446,
538.9500122,44.09663391,
540,43.62991333,
541.0200195,41.31015015,
542.0499878,40.63293457,
542.9400024,40.20653534,
543.9699707,38.23261642,
545,37.38753891,
546.0200195,36.65677643,
547.0499878,35.50004578,
547.9400024,34.8588295,
548.9699707,33.45289993,
550,32.87721252,
551.0200195,31.7457695,
552.0499878,31.31694794,
552.9400024,29.82403564,
553.9699707,28.92947388,
555,28.26910782,
556.0200195,27.36426926,
557.0499878,26.60500526,
557.9400024,26.21694946,
558.9699707,25.23047829,
560,24.43279457,
561.0200195,23.16524696,
562.0499878,23.40311432,
562.9400024,22.82875443,
563.9699707,21.97847176,
565,21.42787933,
566.0200195,20.80713463,
567.0499878,20.22490692,
567.9400024,19.64933777,
568.9699707,18.90538788,
570,18.81116295,
571.0100098,18.34658241,
572.0200195,17.75182915,
573.039978,17.47001839,
574.0499878,16.50761223,
575.0700073,16.26946831,
575.9400024,15.56508636,
576.9500122,15.24268246,
577.9699707,15.07070637,
578.9799805,14.40973377,
580,14.07749271,
581.0200195,13.47893524,
582.0499878,13.33739662,
582.9400024,13.01733494,
583.9699707,12.86149693,
585,12.08413029,
586.0200195,11.69377899,
587.0499878,11.2766571,
587.9400024,11.51402187,
588.9699707,10.79241276,
590,10.32200527,
591.0100098,10.33803177,
592.0200195,9.88056469,
593.039978,9.443619728,
594.0499878,9.266317368,
595.0700073,8.962812424,
595.9400024,8.632204056,
596.9500122,8.585803032,
597.9699707,8.239066124,
598.9799805,8.040556908,
600,7.782474041,
601.0100098,7.625253201,
602.0200195,7.043043613,
603.039978,7.095067501,
604.0499878,6.744160652,
605.0700073,6.674668789,
605.9400024,6.609218597,
606.9500122,6.246593475,
607.9699707,5.917109966,
608.9799805,5.769479752,
610,5.773941517,
611.0100098,5.695113182,
612.0200195,5.524105549,
613.039978,5.462192535,
614.0499878,5.071086407,
615.0700073,4.887342453,
615.9400024,4.750050545,
616.9500122,4.52093792,
617.9699707,4.751699448,
618.9799805,4.36100769,
620,4.192910671,
621.0100098,4.117282867,
622.0200195,3.881522894,
623.039978,3.815003157,
624.0499878,3.609002113,
625.0700073,3.645758152,
625.9400024,3.415539026,
626.9500122,3.504462004,
627.9699707,3.440042496,
628.9799805,3.32999444,
630,3.095542192,
631,3.016630173,
632,2.904162645,
633,2.684681416,
634,2.805023909,
635,2.748400211,
636,2.514097691,
637,2.525995255,
638,2.547460079,
639,2.289298296,
640,2.212463856,
641.0100098,2.265867233,
642.0200195,2.125029802,
643.039978,1.962149024,
644.0499878,1.814866066,
645.0700073,1.964553714,
645.9400024,1.902494907,
646.9500122,1.801550865,
647.9699707,1.859813333,
648.9799805,1.735483408,
650,1.613806009,
651,1.757060528,
652,1.586835742,
653,1.515479565,
654,1.478435874,
655,1.430019498,
656,1.355169535,
657,1.443810344,
658,1.347023845,
659,1.273776412,
660,1.279922843,
661,1.089285731,
662,1.13944006,
663,1.014099598,
664,1.015772223,
665,1.078896523,
666,1.011584878,
667,0.9642525315,
668,0.95458287,
669,0.9901252389,
670,0.978618145,
670.9799805,0.7452635169,
671.9699707,0.925917387,
672.9500122,0.8047515154,
673.9400024,0.7550313473,
675.0700073,0.7399733663,
676.0499878,0.8978767395,
677.039978,0.6013333797,
678.0200195,0.6316031218,
679.0100098,0.8586393595,
680,0.6843911409,
681,0.5795014501,
682,0.6652069092,
683,0.5963730216,
684,0.5923204422,
685,0.5698058009,
686,0.505956471,
687,0.6952878833,
688,0.5742229223,
689,0.5354048014,
690,0.5362260342,
690.9799805,0.583650887,
691.9699707,0.4454095066,
692.9500122,0.466047585,
693.9400024,0.4243806899,
695.0700073,0.3934860229,
696.0499878,0.4433077574,
697.039978,0.4906688035,
698.0200195,0.4203033447,
699.0100098,0.3936628997,
700,0.3384381235,

Sample 3,
Sample 3
Collection Time: 31/05/2023 3:09:20 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        368.00
Stop (nm)                         700.00
Ex. Wavelength (nm)               358.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 31/05/2023 3:03:02 PM
Method Modifications:
Overlayed Graphs Changed: 31/05/2023 3:07:04 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 31/05/2023 3:07:04 PM, Old: 350.00, New: 358.00
