Sample 2,,
Wavelength (nm),Intensity (a.u.),
368,0.3762604594,
369.0700073,0.24528642,
370,0.1737001389,
371.0599976,0.1423273087,
371.9599915,0.1091345623,
373.0299988,0.1974537075,
373.9299927,0.1334723681,
375,0.1733803302,
376.0599976,0.2396713942,
376.9599915,0.2374732792,
378.0299988,0.1845420748,
378.9299927,0.1656136513,
380,0.1398854703,
381.0700073,0.1890530139,
382,0.1729063988,
383.0700073,0.1493986696,
384,0.1477723271,
385.0700073,0.09958753735,
386,0.1568990052,
387.0700073,0.0681913048,
388,0.1814631075,
389.0700073,0.05023863167,
390,0.09762071818,
391.0599976,0.03384753317,
391.9599915,0.05929037929,
393.0299988,0.144728899,
393.9299927,0.06832876801,
395,0.2249913514,
396.0599976,0.1522919983,
396.9599915,0.3018361628,
398.0299988,0.358536154,
398.9299927,0.4553541839,
400,0.6820061207,
401.0599976,0.7803584337,
401.9599915,0.8987470269,
403.0299988,0.9521855116,
403.9299927,0.9853944778,
405,0.8148807287,
406.0599976,0.794254303,
406.9599915,0.5571215749,
408.0299988,0.5471242666,
408.9299927,0.4116514027,
410,0.3097919524,
411.0599976,0.2767448127,
411.9599915,0.2691814005,
413.0299988,0.2217900157,
413.9299927,0.1893939376,
415,0.138572529,
416.0599976,0.1415829062,
416.9599915,0.1776589602,
418.0299988,0.1120370924,
418.9299927,0.171960175,
420,0.0686218217,
421.0599976,0.1580972224,
421.9599915,0.01717947423,
423.0299988,0.1272458881,
423.9299927,0.08644162863,
425,0.1379655302,
426.0599976,0.1200727299,
426.9599915,0.06855536997,
428.0299988,0.04660353437,
428.9299927,0.02525784075,
430,0.05322876573,
431.0400085,0.141201809,
431.9400024,0.1314405799,
432.980011,0.008673027158,
434.019989,0.1454783529,
435.0700073,0.1015993431,
435.9700012,0.06367398798,
437.0100098,0.1655311733,
438.0499878,0.03518432379,
438.9500122,0.1135906875,
440,0.07266584039,
441.0599976,0.09534788877,
441.9599915,0.1047385484,
443.0299988,0.05233638361,
443.9299927,0.1210978404,
445,0.09178101271,
446.0599976,0.1699524075,
446.9599915,0.008943743072,
448.0299988,0.1559927166,
448.9299927,0.06929166615,
450,0.1394420564,
451.0599976,0.08765778691,
451.9599915,0.08918298781,
453.0299988,0.1128962263,
453.9299927,0.1091981232,
455,0.008544306271,
456.0599976,0.1272842884,
456.9599915,0.1309437454,
458.0299988,0.1121230945,
458.9299927,0.1307098418,
460,0.1110503674,
461.0400085,0.08727450669,
461.9400024,0.1271563619,
462.980011,0.1260843277,
464.019989,0.04986867681,
465.0700073,0.1006272435,
465.9700012,0.06715578586,
467.0100098,0.09238495678,
468.0499878,0.1819640547,
468.9500122,0.1414015442,
470,0.09273153543,
471.0400085,0.0580185838,
471.9400024,0.1166695803,
472.980011,0.05072237179,
474.019989,0.1321724057,
475.0700073,0.07723266631,
475.9700012,0.1410296857,
477.0100098,0.1168916896,
478.0499878,0.1089105606,
478.9500122,0.2196817994,
480,0.1006129012,
481.0400085,0.1237235814,
481.9400024,0.05829738453,
