Sample 2,,
Wavelength (nm),Intensity (a.u.),
350,0.8889166117,
351.0599976,0.6195498705,
351.9599915,0.6711838841,
353.0299988,0.6426734924,
353.9299927,0.7889795303,
355,0.8898211122,
356.0599976,0.7356969118,
356.9599915,0.8294122815,
358.0299988,0.5646709204,
358.9299927,0.7132667899,
360,0.842915535,
361.0700073,0.7031798959,
362,0.6096680164,
363.0700073,0.5069307089,
364,0.4138282239,
365.0700073,0.5724280477,
366,0.43617782,
367.0700073,0.493206501,
368,0.5916402936,
369.0700073,0.7173372507,
370,0.7358236313,
371.0599976,0.6465347409,
371.9599915,0.8021175861,
373.0299988,0.8969041109,
373.9299927,0.9210402966,
375,1.199797988,
376.0599976,1.364021182,
376.9599915,1.712794781,
378.0299988,1.690805912,
378.9299927,1.862735629,
380,1.970553756,
381.0700073,2.125139713,
382,1.946093202,
383.0700073,2.298925638,
384,2.333262205,
385.0700073,1.939648271,
386,2.199306011,
387.0700073,2.733129501,
388,2.694596291,
389.0700073,3.126973867,
390,3.70094943,
391.0599976,3.887145281,
391.9599915,4.598662376,
393.0299988,5.538342953,
393.9299927,6.271096706,
395,7.716866016,
396.0599976,9.788611412,
396.9599915,12.11100864,
398.0299988,14.21543598,
398.9299927,17.07356453,
400,20.90501022,
401.0599976,26.63803101,
401.9599915,33.64326859,
403.0299988,41.08230591,
403.9299927,47.75244522,
405,56.5292778,
406.0599976,63.82735062,
406.9599915,67.13645172,
408.0299988,70.63518524,
408.9299927,73.92383575,
410,78.48525238,
411.0599976,82.88316345,
411.9599915,88.84983826,
413.0299988,94.56782532,
413.9299927,100.3443146,
415,103.7357178,
416.0599976,107.7992172,
416.9599915,108.5521698,
418.0299988,110.8067703,
418.9299927,113.3135223,
420,117.6926956,
421.0599976,123.3619156,
421.9599915,128.3410339,
423.0299988,139.1492767,
423.9299927,146.490097,
425,156.6989899,
426.0599976,169.3144684,
426.9599915,177.4941101,
428.0299988,187.5060272,
428.9299927,203.4489136,
430,218.3746796,
431.0400085,230.7567596,
431.9400024,239.8519135,
432.980011,248.0937653,
434.019989,250.2639618,
435.0700073,257.9842834,
435.9700012,255.146347,
437.0100098,255.2293854,
438.0499878,258.6828308,
438.9500122,257.7347107,
440,257.5645752,
441.0599976,259.5708313,
441.9599915,259.208374,
443.0299988,259.6886292,
443.9299927,261.2489014,
445,260.3507996,
446.0599976,260.7667542,
446.9599915,258.9204102,
448.0299988,262.5351868,
448.9299927,265.1457825,
450,269.3641357,
451.0599976,274.4351807,
451.9599915,278.7237244,
453.0299988,283.9935913,
453.9299927,288.3234863,
455,295.1420288,
456.0599976,303.184021,
456.9599915,308.3426819,
458.0299988,310.9226074,
