Sample 8,,
Wavelength (nm),Intensity (a.u.),
334.9200134,0.9003948569,
335.8399963,0.6819992661,
336.9200134,0.8338800669,
337.8399963,0.7319098115,
338.9200134,0.8685911894,
339.8399963,0.9313283563,
340.9200134,1.050965905,
341.8399963,0.9488750696,
342.9200134,1.041142821,
343.8399963,0.9920403957,
344.9200134,1.048123479,
345.8399963,1.126970053,
346.9200134,0.9957268834,
347.8399963,1.0692029,
348.9200134,1.06697762,
349.8399963,1.128548503,
350.8999939,1.143517137,
351.9599915,1.239432096,
352.8699951,1.298646212,
353.9299927,1.465103149,
354.8399963,1.568292856,
355.8999939,1.701448321,
356.9599915,1.845854044,
357.8699951,1.931509733,
358.9299927,2.08941412,
359.8399963,2.267328739,
360.9200134,2.506807327,
361.8399963,2.49296689,
362.9200134,2.536735058,
363.8399963,2.358159781,
364.9200134,2.181944132,
365.8399963,1.896685481,
366.9200134,1.661110401,
367.8399963,1.496894598,
368.9200134,1.390820622,
369.8399963,1.297054172,
370.8999939,1.399714351,
371.9599915,1.294544458,
372.8699951,1.408870101,
373.9299927,1.453013539,
374.8399963,1.4184196,
375.8999939,1.426479816,
376.9599915,1.367453456,
377.8699951,1.392543077,
378.9299927,1.319152832,
379.8399963,1.289587259,
380.9200134,1.213464499,
381.8399963,1.222448349,
382.9200134,1.204418182,
383.8399963,1.243722081,
384.9200134,1.190080285,
385.8399963,1.334343791,
386.9200134,1.425350189,
387.8399963,1.50282979,
388.9200134,1.63617599,
389.8399963,1.832042336,
390.8999939,1.978299856,
391.9599915,2.253597736,
392.8699951,2.442371607,
393.9299927,2.719625235,
394.8399963,3.278354168,
395.8999939,3.798797607,
396.9599915,4.52318573,
397.8699951,5.227646828,
398.9299927,5.998493195,
399.8399963,7.057656765,
400.8999939,8.79985714,
401.9599915,10.98249531,
402.8699951,12.6132822,
403.9299927,15.18067074,
404.8399963,17.88722038,
405.8999939,21.05621338,
406.9599915,24.50430298,
407.8699951,27.27448082,
408.9299927,30.17655563,
409.8399963,32.54523468,
410.8999939,35.2483139,
411.9599915,37.40660477,
412.8699951,39.82478333,
413.9299927,42.02812958,
414.8399963,43.83037949,
415.8999939,45.75393677,
416.9599915,47.95338821,
417.8699951,49.33651352,
418.9299927,51.28256989,
419.8399963,52.65100861,
420.8999939,54.27070999,
421.9599915,56.44112778,
422.8699951,58.28475571,
423.9299927,61.10707092,
424.8399963,63.9382019,
425.8999939,67.32269287,
426.9599915,69.93099213,
427.8699951,74.09352112,
428.9299927,78.97891235,
429.8399963,82.922966,
430.8900146,87.94096375,
431.9400024,91.90775299,
432.980011,96.37208557,
433.8800049,99.78691101,
434.9200134,102.9657822,
435.9700012,106.5270538,
436.8599854,108.5823212,
437.9100037,110.1467743,
438.9500122,111.9601669,
439.8500061,113.1781158,
440.8999939,114.4753723,
441.9599915,115.3026733,
442.8699951,115.788353,
443.9299927,116.088974,
444.8399963,116.1364822,
445.8999939,116.3012085,
446.9599915,116.8908081,
