Sample 9,,
Wavelength (nm),Intensity (a.u.),
334.9200134,1.178135157,
335.8399963,0.8580192327,
336.9200134,0.7567234635,
337.8399963,0.788841784,
338.9200134,0.912337184,
339.8399963,0.976584971,
340.9200134,0.9602853656,
341.8399963,0.9738095999,
342.9200134,0.9493939281,
343.8399963,1.02911973,
344.9200134,1.016216278,
345.8399963,0.9505730867,
346.9200134,1.014861226,
347.8399963,0.9937462211,
348.9200134,0.9588112235,
349.8399963,0.9425420165,
350.8999939,0.9648828506,
351.9599915,0.9691783786,
352.8699951,1.012029767,
353.9299927,1.079808712,
354.8399963,1.177886724,
355.8999939,1.352413297,
356.9599915,1.434207916,
357.8699951,1.695129871,
358.9299927,1.976014137,
359.8399963,2.243465662,
360.9200134,2.416201591,
361.8399963,2.504117489,
362.9200134,2.461073875,
363.8399963,2.381883621,
364.9200134,2.082169771,
365.8399963,1.722093582,
366.9200134,1.532419682,
367.8399963,1.228967905,
368.9200134,1.114780545,
369.8399963,0.9223590493,
370.8999939,0.8951322436,
371.9599915,0.8946778178,
372.8699951,0.9116834998,
373.9299927,0.8591985106,
374.8399963,0.8004803061,
375.8999939,0.748817265,
376.9599915,0.8156342506,
377.8699951,0.7004929185,
378.9299927,0.7281475663,
379.8399963,0.7044987082,
380.9200134,0.6591081023,
381.8399963,0.6472378969,
382.9200134,0.6143811345,
383.8399963,0.6551776528,
384.9200134,0.6673660874,
385.8399963,0.642490387,
386.9200134,0.5941283703,
387.8399963,0.5463908911,
388.9200134,0.5585803986,
389.8399963,0.5524222255,
390.8999939,0.4686349332,
391.9599915,0.4859915972,
392.8699951,0.4291540682,
393.9299927,0.4923481047,
394.8399963,0.4639781415,
395.8999939,0.3886880279,
396.9599915,0.425783366,
397.8699951,0.389682591,
398.9299927,0.3386804461,
399.8399963,0.4186348915,
400.8999939,0.3240225315,
401.9599915,0.3675171733,
402.8699951,0.3685638607,
403.9299927,0.3490868509,
404.8399963,0.3578215539,
405.8999939,0.337451756,
406.9599915,0.2872639596,
407.8699951,0.3620072007,
408.9299927,0.2988480031,
409.8399963,0.3331767321,
410.8999939,0.3694486022,
411.9599915,0.2912731171,
412.8699951,0.2852424085,
413.9299927,0.2047023922,
414.8399963,0.2187966704,
415.8999939,0.2006128877,
416.9599915,0.3085827827,
417.8699951,0.2920397222,
418.9299927,0.2890038192,
419.8399963,0.2240456194,
420.8999939,0.2591337264,
421.9599915,0.2480942607,
422.8699951,0.2465282977,
423.9299927,0.2964320183,
424.8399963,0.1604673713,
425.8999939,0.2141691893,
426.9599915,0.1947770715,
427.8699951,0.2239622176,
428.9299927,0.2121249437,
429.8399963,0.1568044424,
430.8900146,0.1517056674,
431.9400024,0.223755911,
432.980011,0.2082887441,
433.8800049,0.2185116112,
434.9200134,0.1882125884,
435.9700012,0.1494486779,
436.8599854,0.2024268061,
437.9100037,0.1872265488,
438.9500122,0.08681711555,
439.8500061,0.1467828751,
440.8999939,0.1774988621,
