Sample 29,,
Wavelength (nm),Intensity (a.u.),
400,15.71826077,
401.0599976,5.60286808,
401.9599915,4.577024937,
403.0299988,4.543724537,
403.9299927,4.582588196,
405,5.01858139,
406.0599976,5.503103256,
406.9599915,6.065851688,
408.0299988,6.161277771,
408.9299927,6.130983829,
410,6.391098022,
411.0599976,6.113241196,
411.9599915,6.003311634,
413.0299988,5.496553421,
413.9299927,5.540101528,
415,5.146765232,
416.0599976,5.075270653,
416.9599915,5.114495754,
418.0299988,5.11567688,
418.9299927,5.070061207,
420,4.792244911,
421.0599976,4.694463253,
421.9599915,4.605759144,
423.0299988,4.459079266,
423.9299927,4.468624115,
425,4.505467892,
426.0599976,4.54843235,
426.9599915,4.588298321,
428.0299988,5.034286022,
428.9299927,5.353407383,
430,5.904949665,
431.0400085,6.242489815,
431.9400024,6.887721539,
432.980011,7.59932518,
434.019989,8.430094719,
435.0700073,9.304561615,
435.9700012,10.6394949,
437.0100098,11.78843784,
438.0499878,13.38891697,
438.9500122,15.09622765,
440,17.3140583,
441.0599976,20.04397964,
441.9599915,22.01820755,
443.0299988,25.59121513,
443.9299927,26.8993187,
445,29.71627426,
446.0599976,31.51990891,
446.9599915,32.55482483,
448.0299988,34.77713394,
448.9299927,34.81380081,
450,37.1127243,
451.0599976,38.46699905,
451.9599915,39.56058884,
453.0299988,41.32323456,
453.9299927,43.24695587,
455,44.9390564,
456.0599976,47.57330704,
456.9599915,49.40354919,
458.0299988,51.90975189,
458.9299927,53.43169403,
460,55.71899414,
461.0400085,56.41663361,
461.9400024,58.43765259,
462.980011,60.32797623,
464.019989,62.62570572,
465.0700073,64.16299438,
465.9700012,66.72001648,
467.0100098,68.26142883,
468.0499878,69.78368378,
468.9500122,71.90879822,
470,73.40814972,
471.0400085,74.22122192,
471.9400024,76.32497406,
472.980011,77.96100616,
474.019989,80.11829376,
475.0700073,81.2984848,
475.9700012,82.0967865,
477.0100098,84.75655365,
478.0499878,84.95173645,
478.9500122,85.57351685,
480,87.06250763,
481.0400085,88.95404053,
481.9400024,89.79428864,
482.980011,90.09416962,
484.019989,90.79859924,
485.0700073,91.97194672,
485.9700012,92.65994263,
487.0100098,92.48377228,
488.0499878,93.55433655,
488.9500122,93.235672,
490,94.84303284,
491.0400085,94.84539032,
491.9400024,94.70681763,
492.980011,94.94219208,
494.019989,95.38030243,
495.0700073,93.772995,
495.9700012,93.83969116,
497.0100098,94.5447464,
498.0499878,93.42847443,
498.9500122,93.2378006,
500,92.71469879,
501.0400085,91.68509674,
501.9400024,92.11882019,
502.980011,91.7537384,
504.019989,91.07427216,
505.0700073,89.42893219,
505.9700012,88.7650528,
507.0100098,89.31729126,
508.0499878,88.14446259,
508.9500122,89.02182007,
510,87.50617218,
511.0400085,86.41359711,
511.9400024,86.28561401,
512.9799805,84.05367279,
514.0200195,82.55686188,
515.0700073,82.46459198,
515.9699707,83.088974,
517.0100098,82.07168579,
518.0499878,79.66056824,
518.9500122,79.72477722,
520,78.6917038,
521.0200195,78.00263214,
522.0499878,75.79673004,
522.9400024,76.3674469,
523.9699707,76.24959564,
525,73.34919739,
526.0200195,72.87493134,
527.0499878,71.76525116,
527.9400024,70.62431335,
528.9699707,69.41446686,
530,69.26621246,
531.039978,67.96426392,
531.9400024,66.47272491,
532.9799805,65.55210876,
534.0200195,63.98321533,
535.0700073,62.8359375,
535.9699707,61.93460083,
537.0100098,61.06800461,
538.0499878,61.29276657,
538.9500122,59.25290298,
540,58.5052948,
541.0200195,57.40573502,
542.0499878,56.00832748,
542.9400024,55.78123856,
543.9699707,53.99534225,
545,53.24754715,
546.0200195,51.89201736,
547.0499878,50.52486038,
547.9400024,49.76344681,
548.9699707,49.55991745,
550,47.41994476,
551.0200195,47.9222374,
552.0499878,46.14686203,
552.9400024,44.84725189,
553.9699707,43.78208923,
555,43.24995804,
556.0200195,42.57400131,
557.0499878,42.03083038,
557.9400024,41.22610474,
558.9699707,39.19930267,
560,38.55579758,
561.0200195,38.14395523,
562.0499878,37.04937363,
