Sample 30,,
Wavelength (nm),Intensity (a.u.),
400,16.33047485,
401.0599976,6.00353384,
401.9599915,5.002659798,
403.0299988,4.49651432,
403.9299927,5.314902782,
405,5.632911682,
406.0599976,6.104136467,
406.9599915,6.460079193,
408.0299988,6.547676086,
408.9299927,6.826394558,
410,6.848572731,
411.0599976,6.512788296,
411.9599915,6.336921215,
413.0299988,5.819970131,
413.9299927,5.557842255,
415,5.440523624,
416.0599976,5.037757874,
416.9599915,5.188809395,
418.0299988,5.400340557,
418.9299927,5.056007862,
420,5.163259983,
421.0599976,4.962614059,
421.9599915,4.521035671,
423.0299988,4.461796284,
423.9299927,3.943710566,
425,3.786212683,
426.0599976,3.8389256,
426.9599915,3.641446352,
428.0299988,3.434744835,
428.9299927,3.378416538,
430,3.398038387,
431.0400085,3.61508441,
431.9400024,3.506342411,
432.980011,3.500301123,
434.019989,3.595391512,
435.0700073,3.544967413,
435.9700012,3.764632702,
437.0100098,4.10629034,
438.0499878,4.553508282,
438.9500122,4.687050343,
440,5.335101128,
441.0599976,6.220036983,
441.9599915,7.150337219,
443.0299988,7.899357796,
443.9299927,8.208101273,
445,9.02209568,
446.0599976,8.473630905,
446.9599915,8.108049393,
448.0299988,6.722483635,
448.9299927,5.691454411,
450,4.487215519,
451.0599976,3.816950321,
451.9599915,3.203943491,
453.0299988,2.806101561,
453.9299927,2.465545177,
455,2.569332361,
456.0599976,2.617720842,
456.9599915,2.495621681,
458.0299988,2.448518991,
458.9299927,2.245504618,
460,2.245430708,
461.0400085,2.384685755,
461.9400024,2.32192421,
462.980011,2.293199778,
464.019989,2.336072206,
465.0700073,2.088397026,
465.9700012,2.151444674,
467.0100098,2.006262779,
468.0499878,2.075948477,
468.9500122,1.950990319,
470,2.067778826,
471.0400085,1.8210572,
471.9400024,1.720359921,
472.980011,1.814945221,
474.019989,1.833061457,
475.0700073,1.788836122,
475.9700012,1.555907249,
477.0100098,1.65406251,
478.0499878,1.577440143,
478.9500122,1.650802732,
480,1.444314122,
481.0400085,1.606679559,
481.9400024,1.437305689,
482.980011,1.448819399,
484.019989,1.428667188,
485.0700073,1.46095109,
485.9700012,1.337073922,
487.0100098,1.288837552,
488.0499878,1.261085749,
488.9500122,1.153023362,
490,1.243830204,
491.0400085,1.073433638,
491.9400024,1.127945542,
492.980011,1.18345046,
494.019989,1.042367101,
495.0700073,1.158078432,
495.9700012,1.063433766,
497.0100098,1.064402699,
498.0499878,0.9496566653,
498.9500122,0.9793906808,
500,1.006988764,
501.0400085,0.9521896243,
501.9400024,0.9358294606,
502.980011,0.9679576755,
504.019989,0.8877889514,
505.0700073,0.8377436996,
505.9700012,0.8886833787,
507.0100098,0.8894972801,
508.0499878,0.8151278496,
508.9500122,0.8547812104,
510,0.6989015937,
511.0400085,0.8516794443,
511.9400024,0.7251402736,
512.9799805,0.7356317043,
514.0200195,0.7082011104,
515.0700073,0.7345360518,
515.9699707,0.7068394423,
517.0100098,0.7116187215,
518.0499878,0.7621610165,
518.9500122,0.6784660816,
520,0.5772636533,
521.0200195,0.5716312528,
522.0499878,0.5753988624,
522.9400024,0.5873983502,
523.9699707,0.553311646,
525,0.6540874839,
526.0200195,0.6007071733,
527.0499878,0.5331780314,
527.9400024,0.6009259224,
528.9699707,0.5259860158,
530,0.5824614763,
531.039978,0.5375994444,
