Sample 2,,
Wavelength (nm),Intensity (a.u.),
390,13.28219986,
391.0599976,5.414497375,
391.9599915,3.802705526,
393.0299988,3.553779602,
393.9299927,3.631194353,
395,3.554135323,
396.0599976,3.711025,
396.9599915,3.906538725,
398.0299988,3.785064459,
398.9299927,4.247537613,
400,4.839876175,
401.0599976,5.336432457,
401.9599915,5.896107674,
403.0299988,6.646100998,
403.9299927,6.933627129,
405,7.347790241,
406.0599976,7.898751736,
406.9599915,7.618114948,
408.0299988,7.232539177,
408.9299927,7.099246979,
410,6.657743454,
411.0599976,6.507069111,
411.9599915,6.162477016,
413.0299988,5.957984447,
413.9299927,6.082454681,
415,5.648743153,
416.0599976,5.691790581,
416.9599915,6.064595222,
418.0299988,5.914062977,
418.9299927,5.976891518,
420,6.336074352,
421.0599976,6.8540411,
421.9599915,6.757893562,
423.0299988,7.333164215,
423.9299927,8.291804314,
425,9.457679749,
426.0599976,10.6518116,
426.9599915,11.72507286,
428.0299988,13.58080196,
428.9299927,14.93093872,
430,16.2112484,
431.0400085,17.16201591,
431.9400024,17.61850929,
432.980011,17.38184166,
434.019989,17.54937553,
435.0700073,18.15385628,
435.9700012,17.92800331,
437.0100098,18.63399696,
438.0499878,19.84455681,
438.9500122,21.43142319,
440,23.86859894,
441.0599976,26.71419907,
441.9599915,29.05271149,
443.0299988,33.32307053,
443.9299927,35.88032532,
445,40.84208298,
446.0599976,44.64378357,
446.9599915,49.05986404,
448.0299988,54.17669296,
448.9299927,60.1146431,
450,66.90190887,
451.0599976,72.17027283,
451.9599915,76.25461578,
453.0299988,85.02915192,
453.9299927,89.65649414,
455,97.39891815,
456.0599976,104.6504745,
456.9599915,109.5451431,
458.0299988,115.8026047,
458.9299927,121.4251556,
460,131.301178,
461.0400085,136.9915924,
461.9400024,142.7111206,
462.980011,148.2336884,
464.019989,155.3638153,
465.0700073,161.9317932,
465.9700012,165.3118134,
467.0100098,172.5868073,
468.0499878,177.4714508,
468.9500122,182.3829346,
470,187.3049927,
471.0400085,195.1575623,
471.9400024,200.1705017,
472.980011,203.365921,
474.019989,209.3329315,
475.0700073,211.6871643,
475.9700012,214.5679626,
477.0100098,221.0115051,
478.0499878,224.6427155,
478.9500122,231.8082123,
480,236.3470154,
481.0400085,238.2477875,
481.9400024,242.3317719,
482.980011,248.903717,
484.019989,252.0266113,
485.0700073,255.0793304,
485.9700012,260.5236511,
487.0100098,260.03125,
488.0499878,266.0145569,
488.9500122,271.2140503,
490,268.7768555,
491.0400085,274.9404907,
491.9400024,276.6569214,
492.980011,280.600708,
494.019989,279.6917114,
495.0700073,284.2075195,
495.9700012,285.7710571,
497.0100098,283.5026855,
498.0499878,287.1486511,
498.9500122,288.4527893,
500,286.9334412,
501.0400085,287.5581055,
501.9400024,285.4151001,
502.980011,286.7060547,
504.019989,285.1608887,
505.0700073,285.2415771,
505.9700012,285.5065613,
507.0100098,284.0144348,
508.0499878,282.7474976,
508.9500122,282.529541,
510,277.2519531,
511.0400085,277.7230835,
511.9400024,276.1588135,
512.9799805,273.1606445,
514.0200195,273.6831055,
515.0700073,271.2535095,
515.9699707,267.0704651,
517.0100098,265.0924072,
518.0499878,263.5315247,
518.9500122,261.9447021,
520,259.1874695,
521.0200195,254.7964783,
522.0499878,254.7723389,
522.9400024,250.3391266,
523.9699707,247.6496582,
525,247.1861267,
526.0200195,245.8499146,
527.0499878,240.2764587,
527.9400024,240.6477203,
528.9699707,236.6083679,
530,233.5997009,
531.039978,229.5124664,
531.9400024,226.9759064,
532.9799805,225.5615845,
534.0200195,221.9385834,
535.0700073,218.064621,
535.9699707,214.6461639,
537.0100098,213.0531769,
538.0499878,211.1704712,
538.9500122,206.9504852,
540,202.868042,
541.0200195,199.6763763,
542.0499878,198.7845612,
542.9400024,193.6183929,
543.9699707,190.7630463,
545,185.6464539,
546.0200195,184.9253845,
547.0499878,182.5984344,
547.9400024,176.6604919,
548.9699707,176.3240814,
550,171.8232727,
551.0200195,169.4808655,
552.0499878,165.9671936,
552.9400024,164.8453979,
553.9699707,160.2693481,
555,158.1929169,
556.0200195,153.8670502,
557.0499878,153.544281,
557.9400024,150.1347656,
558.9699707,145.4833527,
560,140.6848145,
561.0200195,139.39888,
562.0499878,136.3299255,
562.9400024,134.6526184,
563.9699707,133.3607483,
565,128.6277161,
566.0200195,127.8307266,
567.0499878,124.3052826,
567.9400024,121.9500656,
568.9699707,119.852829,
570,116.8738251,
571.0100098,112.5775604,
572.0200195,111.4556656,
573.039978,109.2607269,
574.0499878,107.4831238,
575.0700073,104.3065643,
575.9400024,102.9410629,
576.9500122,99.74983215,
577.9699707,97.93704987,
578.9799805,95.24934387,
580,93.38199615,
581.0200195,90.628685,
582.0499878,89.58994293,
582.9400024,86.40502167,
583.9699707,85.50157928,
585,83.20337677,
586.0200195,81.26274872,
587.0499878,79.56629181,
587.9400024,78.40366364,
588.9699707,76.45013428,
590,73.56202698,
591.0100098,72.0943985,
592.0200195,71.13885498,
593.039978,68.68962097,
594.0499878,68.0633316,
595.0700073,65.26163483,
595.9400024,64.55799103,
596.9500122,63.20320129,
597.9699707,62.34453201,
598.9799805,60.36962509,
600,58.27560806,
601.0100098,57.43670654,
602.0200195,56.17282867,
603.039978,54.97234726,
604.0499878,52.98545837,
605.0700073,50.92348862,
605.9400024,50.7610321,
606.9500122,48.89630127,
607.9699707,48.23456192,
608.9799805,47.04667282,
610,45.99629211,
611.0100098,43.80717468,
612.0200195,43.32836533,
613.039978,42.1522789,
614.0499878,41.00207138,
615.0700073,40.20809937,
615.9400024,39.46417999,
616.9500122,38.54072952,
617.9699707,36.53020477,
618.9799805,36.38401413,
620,35.37705231,
621.0100098,34.7918663,
622.0200195,33.43906403,
623.039978,31.96255493,
624.0499878,32.25818634,
625.0700073,31.04743958,
625.9400024,30.19159508,
626.9500122,29.67808914,
627.9699707,28.11759567,
628.9799805,27.19033813,
630,25.98668861,
631,26.53886032,
632,25.00174713,
633,24.78915787,
634,23.63034058,
635,23.62011719,
636,22.492136,
637,22.84437943,
638,21.6757431,
639,21.03044891,
640,20.67842674,
641.0100098,19.75801277,
642.0200195,18.85464478,
643.039978,18.26024628,
644.0499878,17.48192215,
645.0700073,17.77098274,
645.9400024,16.8521347,
