Sample 3,,
Wavelength (nm),Intensity (a.u.),
390,18.63552284,
391.0599976,6.674505234,
391.9599915,4.916505337,
393.0299988,4.180391312,
393.9299927,4.179901123,
395,4.120828152,
396.0599976,4.502299309,
396.9599915,4.684067726,
398.0299988,4.957127094,
398.9299927,5.296144962,
400,5.629581451,
401.0599976,6.71214962,
401.9599915,7.142884254,
403.0299988,8.247368813,
403.9299927,8.502131462,
405,9.239800453,
406.0599976,8.98656559,
406.9599915,9.362178802,
408.0299988,8.449623108,
408.9299927,8.354124069,
410,7.98725605,
411.0599976,7.546316147,
411.9599915,6.886285305,
413.0299988,7.023180962,
413.9299927,6.580010414,
415,6.497580528,
416.0599976,6.57521677,
416.9599915,6.471339226,
418.0299988,6.714466095,
418.9299927,6.673111916,
420,6.916386604,
421.0599976,7.165506363,
421.9599915,7.662560463,
423.0299988,7.913852215,
423.9299927,8.463062286,
425,9.615180016,
426.0599976,11.19069672,
426.9599915,11.53461742,
428.0299988,13.80436707,
428.9299927,14.43388176,
430,15.58882332,
431.0400085,15.52196312,
431.9400024,15.17397022,
432.980011,14.42051697,
434.019989,12.76320839,
435.0700073,11.42538834,
435.9700012,10.06684971,
437.0100098,8.827805519,
438.0499878,8.190872192,
438.9500122,8.045125008,
440,7.519384384,
441.0599976,7.567614555,
441.9599915,7.43038702,
443.0299988,7.207423687,
443.9299927,7.098403931,
445,6.961746216,
446.0599976,6.943189621,
446.9599915,6.948958874,
448.0299988,6.635459423,
448.9299927,6.520880699,
450,6.967746735,
451.0599976,6.7365942,
451.9599915,6.635752201,
453.0299988,6.648600578,
453.9299927,6.418959618,
455,6.260811806,
456.0599976,6.579528332,
456.9599915,6.464466095,
458.0299988,6.347248077,
458.9299927,6.046537399,
460,6.228342056,
461.0400085,6.265591621,
461.9400024,6.060837269,
462.980011,6.05540657,
464.019989,5.718325138,
465.0700073,5.800514221,
465.9700012,5.525386333,
467.0100098,5.766674042,
468.0499878,5.666570187,
468.9500122,5.490117073,
470,5.342294216,
471.0400085,5.231262207,
471.9400024,5.120034695,
472.980011,5.352057457,
474.019989,5.128867626,
475.0700073,4.854833603,
475.9700012,4.833576679,
477.0100098,4.682029724,
478.0499878,4.349796295,
478.9500122,4.594655037,
480,4.393684864,
481.0400085,4.302695274,
481.9400024,4.110226154,
482.980011,4.335655212,
484.019989,3.96688652,
485.0700073,3.879285574,
485.9700012,3.853396177,
487.0100098,3.574098825,
488.0499878,3.714127064,
488.9500122,3.552970171,
490,3.663204193,
491.0400085,3.247107983,
491.9400024,3.582610369,
492.980011,3.379559755,
494.019989,3.268990755,
495.0700073,3.177237988,
495.9700012,3.244244814,
497.0100098,3.182336807,
498.0499878,3.091225624,
498.9500122,3.152591228,
500,2.954212427,
501.0400085,2.69606638,
501.9400024,2.693955421,
502.980011,2.794525623,
504.019989,2.704561949,
505.0700073,2.506732702,
505.9700012,2.526429415,
507.0100098,2.381402016,
508.0499878,2.208212852,
508.9500122,2.384190321,
510,2.369212866,
511.0400085,2.147015572,
511.9400024,2.000622749,
512.9799805,2.056928635,
514.0200195,2.125108242,
515.0700073,2.021899939,
515.9699707,1.980299354,
517.0100098,1.975747943,
518.0499878,1.854650497,
518.9500122,1.881756663,
520,2.066041708,
521.0200195,1.788682461,
522.0499878,1.947378993,
522.9400024,1.865647078,
523.9699707,1.833845854,
525,1.73844552,
526.0200195,1.653994083,
527.0499878,1.63801837,
527.9400024,1.689825296,
528.9699707,1.584308743,
530,1.554939866,
531.039978,1.412539721,
531.9400024,1.454495668,
532.9799805,1.523037672,
534.0200195,1.425239682,
535.0700073,1.345052123,
535.9699707,1.237190247,
537.0100098,1.305512547,
538.0499878,1.303355575,
538.9500122,1.14868629,
540,1.19791007,
541.0200195,1.26141727,
542.0499878,1.163561702,
542.9400024,1.105648041,
543.9699707,1.246173024,
545,1.09895587,
546.0200195,1.089147449,
547.0499878,1.092693806,
547.9400024,0.9876250029,
548.9699707,0.9153422713,
550,1.030663252,
551.0200195,0.9258688688,
552.0499878,1.062931657,
552.9400024,0.9659714699,
553.9699707,0.8254832029,
555,0.9224398136,
556.0200195,0.8634111285,
557.0499878,0.8025314808,
557.9400024,0.8179435134,
558.9699707,0.8222125769,
560,0.8923685551,
561.0200195,0.7687384486,
562.0499878,0.8241342902,
562.9400024,0.7260634303,
563.9699707,0.7658137679,
565,0.6894549727,
566.0200195,0.8109650016,
567.0499878,0.5931131244,
567.9400024,0.6935988069,
568.9699707,0.638700664,
570,0.6956019998,
571.0100098,0.6313997507,
572.0200195,0.6401042342,
573.039978,0.6865946054,
574.0499878,0.6157206297,
575.0700073,0.5923938155,
575.9400024,0.5272780657,
576.9500122,0.5603328943,
577.9699707,0.5737816095,
578.9799805,0.5153340101,
580,0.5014811158,
581.0200195,0.5411058068,
582.0499878,0.5002225637,
582.9400024,0.5953384042,
583.9699707,0.473532021,
585,0.4079816043,
586.0200195,0.3490954638,
587.0499878,0.5330716372,
587.9400024,0.477284193,
588.9699707,0.4942677915,
590,0.4743580818,
591.0100098,0.4609388113,
