Sample 6,,
Wavelength (nm),Intensity (a.u.),
410,7.911274433,
411.0599976,6.907902241,
411.9599915,6.989278793,
413.0299988,7.796351433,
413.9299927,7.983460903,
415,7.890757084,
416.0599976,8.142346382,
416.9599915,7.835900307,
418.0299988,8.201803207,
418.9299927,8.262997627,
420,8.36235714,
421.0599976,8.835342407,
421.9599915,9.194264412,
423.0299988,9.481560707,
423.9299927,9.982564926,
425,10.9492054,
426.0599976,11.04380322,
426.9599915,11.67144394,
428.0299988,11.43770409,
428.9299927,11.85852814,
430,12.45512772,
431.0400085,12.98270607,
431.9400024,13.38337803,
432.980011,14.58720016,
434.019989,14.84762383,
435.0700073,15.63871288,
435.9700012,16.78085709,
437.0100098,17.90227699,
438.0499878,18.92215157,
438.9500122,19.82155418,
440,21.56765747,
441.0599976,23.24269295,
441.9599915,24.61270905,
443.0299988,26.35528374,
443.9299927,27.75986671,
445,29.86972809,
446.0599976,31.95609474,
446.9599915,34.54296494,
448.0299988,37.35167313,
448.9299927,41.03058243,
450,44.50403595,
451.0599976,47.17913055,
451.9599915,51.97195816,
453.0299988,56.88864899,
453.9299927,61.4200592,
455,67.14399719,
456.0599976,69.7925415,
456.9599915,73.62251282,
458.0299988,77.79111481,
458.9299927,81.05161285,
460,85.0471344,
461.0400085,90.26604462,
461.9400024,91.48299408,
462.980011,95.96413422,
464.019989,100.3719635,
465.0700073,106.0404053,
465.9700012,108.3087158,
467.0100098,113.8716736,
468.0499878,118.1076584,
468.9500122,121.7352829,
470,127.7950974,
471.0400085,129.2967529,
471.9400024,134.1158752,
472.980011,136.8385468,
474.019989,140.1991882,
475.0700073,144.1430054,
475.9700012,147.769516,
477.0100098,151.540741,
478.0499878,154.7216644,
478.9500122,157.336731,
480,159.7036591,
481.0400085,163.3659973,
481.9400024,164.6001282,
482.980011,169.036499,
484.019989,172.4106293,
485.0700073,173.3743744,
485.9700012,176.1972656,
487.0100098,180.0359344,
488.0499878,185.6088409,
488.9500122,187.3559265,
490,189.4232941,
491.0400085,192.5603027,
491.9400024,192.3544006,
492.980011,196.3150787,
494.019989,199.0372314,
495.0700073,199.0077515,
495.9700012,199.7745514,
497.0100098,202.7856293,
498.0499878,204.3706818,
498.9500122,204.8393402,
500,207.1589203,
501.0400085,205.164093,
501.9400024,206.9282074,
502.980011,207.6266785,
504.019989,208.2715912,
505.0700073,208.2932892,
505.9700012,208.5603638,
507.0100098,207.3442535,
508.0499878,209.616333,
508.9500122,207.8169708,
510,206.9972076,
511.0400085,207.2694397,
511.9400024,205.6903534,
512.9799805,204.7706451,
514.0200195,204.3047638,
515.0700073,205.1739655,
515.9699707,203.0027008,
517.0100098,201.0896606,
518.0499878,202.8228455,
518.9500122,200.669281,
520,200.6278839,
521.0200195,198.687561,
522.0499878,194.8010559,
522.9400024,194.8723145,
523.9699707,193.8602448,
525,192.8720398,
526.0200195,191.1281433,
527.0499878,188.8187408,
527.9400024,187.6729279,
528.9699707,185.8867035,
530,184.2351227,
531.039978,181.2202606,
531.9400024,179.1715393,
532.9799805,179.6039886,
534.0200195,175.1377106,
535.0700073,172.6871033,
535.9699707,170.8621063,
537.0100098,169.2481537,
538.0499878,169.9818115,
538.9500122,166.1981964,
540,164.1642609,
541.0200195,161.9996948,
542.0499878,161.5177307,
542.9400024,158.8487854,
543.9699707,155.9779663,
545,154.1690216,
546.0200195,152.4053802,
547.0499878,149.5917206,
547.9400024,148.134552,
548.9699707,145.7286835,
550,143.0333099,
551.0200195,141.8083801,
552.0499878,139.9730225,
552.9400024,137.3555603,
553.9699707,134.0164032,
555,132.1759338,
556.0200195,130.3414917,
557.0499878,129.4665222,
557.9400024,125.3369141,
