Sample 7,,
Wavelength (nm),Intensity (a.u.),
410,11.40461349,
411.0599976,10.51654625,
411.9599915,11.17346859,
413.0299988,11.42251015,
413.9299927,12.15807629,
415,12.72241783,
416.0599976,12.60752583,
416.9599915,13.16218281,
418.0299988,13.62939548,
418.9299927,13.57419872,
420,14.37633514,
421.0599976,15.27908611,
421.9599915,16.24308014,
423.0299988,16.93593407,
423.9299927,17.42869186,
425,17.79706001,
426.0599976,18.75925064,
426.9599915,19.58133316,
428.0299988,19.68569565,
428.9299927,20.61359215,
430,22.22117043,
431.0400085,22.81405258,
431.9400024,22.86077499,
432.980011,23.64173889,
434.019989,24.43402672,
435.0700073,25.38388443,
435.9700012,26.09650803,
437.0100098,27.5551281,
438.0499878,28.13896179,
438.9500122,29.07495689,
440,29.96259689,
441.0599976,30.99100304,
441.9599915,31.26972961,
443.0299988,32.03823853,
443.9299927,33.27846527,
445,33.93886566,
446.0599976,34.33897018,
446.9599915,36.59738922,
448.0299988,37.32728958,
448.9299927,37.3158493,
450,40.07902145,
451.0599976,41.64865494,
451.9599915,43.54935455,
453.0299988,45.61318588,
453.9299927,46.95220184,
455,48.3641777,
456.0599976,49.21122742,
456.9599915,50.38384628,
458.0299988,50.38743591,
458.9299927,50.15320587,
460,50.7628746,
461.0400085,50.05013657,
461.9400024,49.59496689,
462.980011,50.17774582,
464.019989,50.62890625,
465.0700073,51.75927734,
465.9700012,50.8711319,
467.0100098,51.30303574,
468.0499878,51.29371643,
468.9500122,50.95573807,
470,51.68284988,
471.0400085,52.62635803,
471.9400024,53.13966751,
472.980011,52.83585358,
474.019989,53.39944839,
475.0700073,53.03748703,
475.9700012,53.71392822,
477.0100098,53.50993729,
478.0499878,53.26860809,
478.9500122,53.50223541,
480,53.57539368,
481.0400085,54.25963593,
481.9400024,53.69720459,
482.980011,53.61140823,
484.019989,52.71976852,
485.0700073,52.43409348,
485.9700012,52.79268646,
487.0100098,52.83844757,
488.0499878,52.38212204,
488.9500122,52.48633194,
490,52.11425018,
491.0400085,51.73138428,
491.9400024,51.27640533,
492.980011,50.97555923,
494.019989,50.05917358,
495.0700073,50.35160065,
495.9700012,50.82509995,
497.0100098,48.82292557,
498.0499878,48.98847961,
498.9500122,48.62134171,
500,49.08668518,
501.0400085,48.09881592,
501.9400024,48.18432617,
502.980011,47.1856575,
504.019989,46.93857574,
505.0700073,46.28739166,
505.9700012,46.05743027,
507.0100098,45.13578796,
508.0499878,45.03671265,
508.9500122,45.39805603,
510,44.30897522,
511.0400085,43.5872879,
511.9400024,43.23731232,
512.9799805,42.30997849,
514.0200195,42.246418,
515.0700073,41.55437088,
515.9699707,41.04861832,
517.0100098,40.53982925,
518.0499878,39.88608932,
518.9500122,39.38254166,
520,38.37342072,
521.0200195,39.2694664,
522.0499878,37.44448853,
522.9400024,38.40308762,
523.9699707,36.78514481,
525,36.42630768,
526.0200195,36.18850708,
527.0499878,36.02620697,
527.9400024,35.21441269,
528.9699707,34.71395493,
530,34.19727325,
531.039978,34.06110001,
531.9400024,33.71048355,
532.9799805,31.98878479,
534.0200195,32.38388062,
535.0700073,31.01796913,
535.9699707,31.61515617,
537.0100098,30.45314217,
538.0499878,30.53081131,
538.9500122,29.6368618,
540,29.60711288,
541.0200195,29.10914612,
542.0499878,28.46916008,
542.9400024,28.4833107,
543.9699707,28.12351227,
545,27.204813,
546.0200195,27.01248932,
547.0499878,26.12285423,
547.9400024,25.72529793,
548.9699707,25.82953072,
550,24.97169113,
551.0200195,24.75942421,
552.0499878,24.15503693,
552.9400024,23.68214607,
