Sample 11,,
Wavelength (nm),Intensity (a.u.),
450,0.8533289433,
451.0599976,0.8540912271,
451.9599915,0.9901971817,
453.0299988,0.6879079342,
453.9299927,0.8442713022,
455,0.7907656431,
456.0599976,0.8823479414,
456.9599915,0.81899333,
458.0299988,0.7698200941,
458.9299927,0.8456991911,
460,0.8357733488,
461.0400085,0.8669275641,
461.9400024,0.8690698743,
462.980011,0.8173004985,
464.019989,0.7399131656,
465.0700073,0.8010559082,
465.9700012,0.7342758179,
467.0100098,0.7074558735,
468.0499878,0.6325247884,
468.9500122,0.7873917222,
470,0.5946385264,
471.0400085,0.6148243546,
471.9400024,0.6500120759,
472.980011,0.5396191478,
474.019989,0.5983660817,
475.0700073,0.5634730458,
475.9700012,0.6080942154,
477.0100098,0.5319313407,
478.0499878,0.6958487034,
478.9500122,0.4985466301,
480,0.5996453166,
481.0400085,0.6373415589,
481.9400024,0.6906474233,
482.980011,0.7482215762,
484.019989,0.6510177255,
485.0700073,0.7282450795,
485.9700012,0.6507780552,
487.0100098,0.7486999035,
488.0499878,0.6766191125,
488.9500122,0.6467130184,
490,0.6196911931,
491.0400085,0.4891842902,
491.9400024,0.5557290316,
492.980011,0.5044726133,
494.019989,0.5344429016,
495.0700073,0.4738656878,
495.9700012,0.4809944332,
497.0100098,0.4092842638,
498.0499878,0.4800308943,
498.9500122,0.4223600328,
500,0.3833028078,
501.0400085,0.3553333282,
501.9400024,0.4400448203,
502.980011,0.3546721637,
504.019989,0.3979820609,
505.0700073,0.4499411881,
505.9700012,0.4320522845,
507.0100098,0.3444913328,
508.0499878,0.4725319743,
508.9500122,0.3411596119,
510,0.4347109795,
511.0400085,0.3868301809,
511.9400024,0.5334795713,
512.9799805,0.4892192185,
514.0200195,0.4819017053,
515.0700073,0.4005891979,
515.9699707,0.4979047179,
517.0100098,0.4618144035,
518.0499878,0.4729201794,
518.9500122,0.3924992383,
520,0.3927307725,
521.0200195,0.3136534393,
522.0499878,0.3633891642,
522.9400024,0.2922633588,
523.9699707,0.3748797476,
525,0.251139611,
526.0200195,0.2430755943,
527.0499878,0.3357066214,
527.9400024,0.3951889575,
528.9699707,0.2842060328,
530,0.3360619545,
531.039978,0.2604503632,
531.9400024,0.2756435275,
532.9799805,0.3216060698,
534.0200195,0.3239178956,
535.0700073,0.2805713415,
535.9699707,0.2352863997,
537.0100098,0.2074830979,
538.0499878,0.2131885439,
538.9500122,0.2436508834,
540,0.2726520896,
541.0200195,0.1688278466,
542.0499878,0.2106439322,
542.9400024,0.3056229353,
543.9699707,0.1934715062,
545,0.2029840499,
546.0200195,0.1577975899,
547.0499878,0.2347968966,
547.9400024,0.2009564042,
548.9699707,0.1455644369,
550,0.1549289823,
551.0200195,0.1902365685,
552.0499878,0.164092809,
552.9400024,0.2386146635,
553.9699707,0.2010237873,
555,0.2190259248,
556.0200195,0.2448673248,
557.0499878,0.1634854376,
557.9400024,0.1286735386,
558.9699707,0.1892388463,
560,0.2194005996,
561.0200195,0.1926967949,
562.0499878,0.1460101753,
562.9400024,0.1352557689,
563.9699707,0.1189444214,
565,0.1744157523,
566.0200195,0.09821358323,
567.0499878,0.1041038856,
567.9400024,0.1649097353,
568.9699707,0.1456215531,
570,0.1226852611,
571.0100098,0.1328734308,
572.0200195,0.1823011488,
573.039978,0.1433989555,
574.0499878,0.1617079228,
575.0700073,0.1106208935,
575.9400024,0.1260265559,
576.9500122,0.1512983441,
577.9699707,0.1239388958,
578.9799805,0.09992151707,
580,0.08564389497,
581.0200195,0.1563261151,
582.0499878,0.1118176579,
582.9400024,0.1306888163,
583.9699707,0.1295332015,
585,0.1284112781,
586.0200195,0.1496975571,
587.0499878,0.153897509,
587.9400024,0.1067591235,
588.9699707,0.1083959043,
590,0.1003997773,
591.0100098,0.09718992561,
592.0200195,0.113720566,
593.039978,0.09597676247,
594.0499878,0.149999544,
595.0700073,0.04821265861,
595.9400024,0.1409899294,
596.9500122,0.06800433248,
597.9699707,0.09535423666,
598.9799805,0.07080365717,
600,0.07312854379,
601.0100098,0.07348401845,
602.0200195,0.0891463384,
603.039978,0.09832440317,
604.0499878,0.1424158067,
605.0700073,0.06573401392,
605.9400024,0.0202473104,
606.9500122,0.1273720711,
607.9699707,0.09674238414,
608.9799805,0.100825116,
610,0.07096158713,
611.0100098,0.126509279,
612.0200195,0.1302652806,
613.039978,0.06396117061,
614.0499878,0.09269610047,
615.0700073,0.04077290744,
615.9400024,0.07350306213,
616.9500122,0.09167868644,
617.9699707,0.06881787628,
618.9799805,0.06185671315,
620,0.1532206237,
621.0100098,0.08558728546,
622.0200195,0.07871020585,
623.039978,0.08768612891,
624.0499878,0.07801543921,
625.0700073,0.09048136324,
625.9400024,0.08523582667,
626.9500122,0.05344055966,
627.9699707,0.05960474536,
628.9799805,0.06854140013,
630,0.08840817958,
631,0.06012698263,
632,0.04385315627,
633,0.08150438219,
634,0.101358965,
635,0.08004089445,
636,0.05374082178,
637,0.06333889067,
638,0.1063891351,
639,0.06591644138,
640,0.08984281123,
641.0100098,0.06654392928,
642.0200195,0.07312934846,
643.039978,0.03141452,
644.0499878,0.09405514598,
645.0700073,0.08208802342,
645.9400024,0.1202725917,
646.9500122,0.1037409753,
647.9699707,0.1287981421,
648.9799805,0.1139498502,
650,0.1431830823,
651,0.04671805725,
652,0.1072374135,
653,0.08639515191,
654,0.1076948941,
655,0.09774991125,
656,0.07811628282,
657,0.1096841842,
658,0.09581103176,
659,0.1142168716,
660,0.08948779851,
661,0.07645957917,
662,0.04137049243,
663,0.1624470502,
664,0.0238545239,
665,0.1673973352,
666,0.1284196526,
667,0.1251313388,
668,0.03801811486,
669,0.09846140444,
670,0.1177487969,
670.9799805,0.05195393041,
671.9699707,0.1068718657,
672.9500122,0.05096628144,
673.9400024,0.09150084853,
675.0700073,0.05825239047,
676.0499878,0.08943522722,
677.039978,0.1065397337,
678.0200195,0.09194319695,
679.0100098,0.1197909638,
680,0.1087381244,
681,0.1418305635,
682,0.07817207277,
683,0.08088560402,
684,0.09957496822,
685,0.1021021903,
686,0.137671262,
687,0.04177204892,
688,0.1508431584,
689,0.1379356682,
690,0.08462618291,
690.9799805,0.06165711954,
691.9699707,0.1383911818,
692.9500122,0.09652122855,
693.9400024,0.1289009154,
695.0700073,0.08262581378,
696.0499878,0.1352000684,
697.039978,0.1096988693,
698.0200195,0.08164431155,
699.0100098,0.1361165792,
700,0.1368887424,
700.9799805,0.1067880988,
701.9699707,0.06139169261,
702.9500122,0.1465198696,
703.9400024,0.0912335515,
705.0700073,0.07943384349,
706.0499878,0.1815894991,
707.039978,0.08096346259,
708.0200195,0.1424579471,
709.0100098,0.1671761125,
710,0.1557364464,
710.9799805,0.1692396551,
711.9699707,0.1477898955,
712.9500122,0.1376241893,
713.9400024,0.2127899826,
715.0700073,0.1430623233,
716.0499878,0.1754273623,
717.039978,0.1614324898,
718.0200195,0.1756172329,
719.0100098,0.2565749884,
720,0.1984874159,
720.9699707,0.1987733394,
721.9400024,0.1672219485,
723.0499878,0.1881421059,
724.0200195,0.2427193522,
725,0.2756754458,
725.9699707,0.2247004807,
726.9400024,0.2123996168,
728.0499878,0.161665678,
729.0200195,0.2592074275,
730,0.2713295817,
730.9799805,0.15509516,
731.9699707,0.2438817024,
732.9500122,0.2591846287,
733.9400024,0.2360380739,
735.0700073,0.2683345079,
736.0499878,0.2619462311,
737.039978,0.1962034553,
738.0200195,0.2601413429,
739.0100098,0.2841897607,
740,0.4156867564,
740.9500122,0.6199920774,
742.0499878,1.366878152,
743.0100098,2.987834692,
743.9699707,5.316072464,
745.0599976,10.90749168,
746.0200195,17.79983711,
746.9799805,27.00734901,
747.9400024,39.17522049,
749.039978,55.48787689,
750,72.77377319,

Sample 11,
Sample 11
Collection Time: 27/06/2023 5:34:53 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        450.00
Stop (nm)                         750.00
Ex. Wavelength (nm)               375.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 27/06/2023 4:28:13 PM
Method Modifications:
Overlayed Graphs Changed: 27/06/2023 4:58:13 PM, Old:OFF, New:ON
PMT Volts Changed: 27/06/2023 4:58:13 PM, Old:600, New:800
Emission PMT (V): Changed: 27/06/2023 4:58:13 PM, Old: 600, New: 800
Excitation Wavelength Changed: 27/06/2023 4:58:13 PM, Old: 350.00, New: 375.00
Emission Wavelength Changed: 27/06/2023 4:58:13 PM, Old: 400.00, New: 385.00
Scan Control Changed: 27/06/2023 4:58:47 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 27/06/2023 4:58:47 PM, Old:0.10000, New:0.50000
Scan Control Changed: 27/06/2023 4:59:39 PM, Old:Slow, New:Manual
Ave. time (s): Changed: 27/06/2023 4:59:39 PM, Old:0.50000, New:0.20000
Stop Wavelength Changed: 27/06/2023 4:59:46 PM, Old: 600.00, New: 650.00
Ave. time (s): Changed: 27/06/2023 5:00:03 PM, Old:0.20000, New:1.00000
Scan mode: Changed: 27/06/2023 5:12:38 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 27/06/2023 5:12:38 PM, Old: 450.00, New: 465.00
User Delta Increment Changed: 27/06/2023 5:12:38 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 27/06/2023 5:12:38 PM, Old: 375.00, New: 220.00
Emission Wavelength Changed: 27/06/2023 5:12:38 PM, Old: 385.00, New: 465.00
Stop Wavelength Changed: 27/06/2023 5:12:38 PM, Old: 650.00, New: 455.00
Scan mode: Changed: 27/06/2023 5:24:45 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 27/06/2023 5:24:45 PM, Old: 220.00, New: 375.00
Emission Wavelength Changed: 27/06/2023 5:24:45 PM, Old: 465.00, New: 385.00
Stop Wavelength Changed: 27/06/2023 5:24:45 PM, Old: 455.00, New: 650.00
Emission Wavelength Changed: 27/06/2023 5:28:51 PM, Old: 385.00, New: 450.00
Stop Wavelength Changed: 27/06/2023 5:28:51 PM, Old: 650.00, New: 750.00
Ave. time (s): Changed: 27/06/2023 5:34:28 PM, Old:1.00000, New:0.20000
Ave. time (s): Changed: 27/06/2023 5:34:51 PM, Old:0.20000, New:0.50000
End Method Modifications

