Sample 4,,
Wavelength (nm),Intensity (a.u.),
384.9200134,5.186001301,
385.8399963,2.035665274,
386.9200134,1.205666542,
387.8399963,1.087747931,
388.9200134,1.045406461,
389.8399963,1.324210763,
390.8999939,1.358682275,
391.9599915,1.44089818,
392.8699951,1.474973917,
393.9299927,1.612945676,
394.8399963,1.566940188,
395.8999939,1.625016212,
396.9599915,1.791531324,
397.8699951,1.839788556,
398.9299927,1.79441452,
399.8399963,1.685709834,
400.8999939,1.522967696,
401.9599915,1.320147038,
402.8699951,1.136029601,
403.9299927,0.895552516,
404.8399963,0.7481686473,
405.8999939,0.7259764671,
406.9599915,0.6279864311,
407.8699951,0.5899134874,
408.9299927,0.5724232197,
409.8399963,0.6049364209,
410.8999939,0.6538566947,
411.9599915,0.7943429351,
412.8699951,0.7473680973,
413.9299927,0.9878175259,
414.8399963,1.170592427,
415.8999939,1.433062792,
416.9599915,1.911586046,
417.8699951,2.719754696,
418.9299927,3.945837259,
419.8399963,5.036887646,
420.8999939,7.159124374,
421.9599915,8.747117043,
422.8699951,10.07293606,
423.9299927,11.21207237,
424.8399963,11.32789707,
425.8999939,10.20065212,
426.9599915,8.944440842,
427.8699951,7.393679619,
428.9299927,5.775880814,
429.8399963,4.678598404,
430.8900146,4.034849644,
431.9400024,3.607454777,
432.980011,3.421152592,
433.8800049,3.391978264,
434.9200134,3.513716459,
435.9700012,3.366810083,
436.8599854,3.541911602,
437.9100037,3.648302078,
438.9500122,3.576891422,
439.8500061,3.678193331,
440.8999939,3.813792467,
441.9599915,4.102217674,
442.8699951,4.003358364,
443.9299927,4.124354839,
444.8399963,4.445037842,
445.8999939,4.412063599,
446.9599915,4.662103176,
447.8699951,4.858802795,
448.9299927,4.995851994,
449.8399963,4.961029053,
450.8999939,5.151271343,
451.9599915,5.424934387,
452.8699951,5.749621391,
453.9299927,5.634215832,
454.8399963,5.76899147,
455.8999939,5.677275181,
456.9599915,6.015487671,
457.8699951,6.031413555,
458.9299927,5.959936619,
459.8399963,5.905066013,
460.8900146,6.145663261,
461.9400024,6.198552132,
462.980011,5.772860527,
463.8800049,6.047562599,
464.9200134,6.266459465,
465.9700012,6.17749548,
466.8599854,6.069761753,
467.9100037,6.047090054,
468.9500122,6.039318085,
469.8500061,6.103886604,
470.8900146,5.897298813,
471.9400024,5.845332623,
472.980011,5.996166229,
473.8800049,5.817955017,
474.9200134,5.919338226,
475.9700012,6.01766777,
476.8599854,6.010614395,
477.9100037,5.820671558,
478.9500122,5.691548347,
479.8500061,5.666481018,
480.8900146,5.842026711,
481.9400024,5.781699181,
482.980011,5.760051727,
483.8800049,5.873128414,
484.9200134,5.445618629,
485.9700012,5.585783005,
486.8599854,5.633354187,
487.9100037,5.417854309,
488.9500122,5.489634991,
489.8500061,5.265936375,
490.8900146,5.279768944,
491.9400024,5.207865238,
492.980011,5.115836143,
493.8800049,4.725585461,
494.9200134,5.002352715,
495.9700012,4.770372868,
496.8599854,4.899132729,
497.9100037,4.429790497,
498.9500122,4.652339935,
499.8500061,4.658085346,
500.8900146,4.599405289,
501.9400024,4.273342133,
502.980011,4.28637886,
503.8800049,4.133890629,
