Sample 5,,
Wavelength (nm),Intensity (a.u.),
384.9200134,10.13801765,
385.8399963,4.124241829,
386.9200134,1.923747301,
387.8399963,1.820488334,
388.9200134,1.813501596,
389.8399963,1.945998788,
390.8999939,2.151183367,
391.9599915,2.136797428,
392.8699951,2.342828751,
393.9299927,2.253311872,
394.8399963,2.436985493,
395.8999939,2.518413782,
396.9599915,2.478246927,
397.8699951,2.628429651,
398.9299927,2.75440383,
399.8399963,2.427311659,
400.8999939,2.285419226,
401.9599915,1.887562752,
402.8699951,1.569036722,
403.9299927,1.346171737,
404.8399963,1.05973053,
405.8999939,0.9653457999,
406.9599915,0.8662003279,
407.8699951,0.8143404722,
408.9299927,0.8715524673,
409.8399963,0.8017805815,
410.8999939,0.83521837,
411.9599915,0.8318974376,
412.8699951,0.7562447786,
413.9299927,0.8942053318,
414.8399963,0.9671143293,
415.8999939,1.182927012,
416.9599915,1.807826281,
417.8699951,2.672218323,
418.9299927,3.934493303,
419.8399963,5.28405571,
420.8999939,7.322505474,
421.9599915,9.231842041,
422.8699951,10.98422623,
423.9299927,12.0963726,
424.8399963,12.00898647,
425.8999939,10.08961868,
426.9599915,8.098860741,
427.8699951,6.460962296,
428.9299927,4.175243378,
429.8399963,2.635246277,
430.8900146,1.62181747,
431.9400024,1.071243167,
432.980011,0.8318015933,
433.8800049,0.6296108961,
434.9200134,0.5839954019,
435.9700012,0.5148054361,
436.8599854,0.5348833799,
437.9100037,0.5093212724,
438.9500122,0.5100560188,
439.8500061,0.4390492737,
440.8999939,0.4918915331,
441.9599915,0.452881813,
442.8699951,0.3889143169,
443.9299927,0.4159862399,
444.8399963,0.505662024,
445.8999939,0.4331888855,
446.9599915,0.441000551,
447.8699951,0.4144775569,
448.9299927,0.4156633615,
449.8399963,0.3962175548,
450.8999939,0.3608404398,
451.9599915,0.334173888,
452.8699951,0.3184505999,
453.9299927,0.3720448315,
454.8399963,0.3075042069,
455.8999939,0.3155672848,
456.9599915,0.2687176168,
457.8699951,0.2817777693,
458.9299927,0.2321334332,
459.8399963,0.2581723034,
460.8900146,0.1818482429,
461.9400024,0.2837994695,
462.980011,0.2453097254,
463.8800049,0.2064422518,
464.9200134,0.2129481435,
465.9700012,0.2295316011,
466.8599854,0.2402976453,
467.9100037,0.1690553129,
468.9500122,0.1729519516,
469.8500061,0.2213826478,
470.8900146,0.2239946574,
471.9400024,0.2126285285,
472.980011,0.1739469171,
473.8800049,0.1998866051,
474.9200134,0.1679610759,
475.9700012,0.1764864773,
476.8599854,0.1393568963,
477.9100037,0.1711471081,
478.9500122,0.1920049489,
479.8500061,0.1612542421,
480.8900146,0.1887565553,
481.9400024,0.2143579274,
482.980011,0.2297106385,
483.8800049,0.2698856294,
484.9200134,0.2311074287,
485.9700012,0.2241277248,
486.8599854,0.1941789091,
487.9100037,0.1654647142,
488.9500122,0.1803376973,
489.8500061,0.1785349846,
490.8900146,0.156373173,
491.9400024,0.2129960805,
492.980011,0.128327325,
493.8800049,0.157412976,
494.9200134,0.08963946998,
495.9700012,0.09797107428,
496.8599854,0.1138464585,
497.9100037,0.1073435098,
498.9500122,0.08546262234,
499.8500061,0.1363350898,
500.8900146,0.0739415288,
501.9400024,0.07210572064,
502.980011,0.1406796575,
503.8800049,0.06141413748,
504.9200134,0.1485120654,
505.9700012,0.05778549612,
506.8599854,0.1414797455,
507.9100037,0.1248899177,
508.9500122,0.1127245948,
509.8500061,0.1319482177,
510.8900146,0.144144401,
511.9400024,0.1297813654,
512.9799805,0.1693974286,
513.8800049,0.1267766804,
514.9199829,0.1298161298,
515.9699707,0.0907189101,
516.8599854,0.1102195978,
517.9099731,0.1292969882,
518.9500122,0.1173726767,
519.8499756,0.09407131374,
520.8800049,0.1088253781,
521.9099731,0.09769309312,
522.9400024,0.09548451751,
523.9699707,0.06130488962,
524.8499756,0.09468879551,
525.8800049,0.1188518032,
526.9099731,0.09626229852,
527.9400024,0.08047822118,
528.9699707,0.0724420622,
529.8499756,0.1074057668,
530.8900146,0.1064869836,
531.9400024,0.09197646379,
532.9799805,0.08735825866,
533.8800049,0.05812305957,
534.9199829,0.09592308849,
535.9699707,0.09434258938,
536.8599854,0.06240260601,
537.9099731,0.06553056091,
538.9500122,0.04332452267,
539.8499756,0.0660700202,
540.8800049,0.06371965259,
541.9099731,0.05022853985,
542.9400024,0.0471785441,
543.9699707,0.07386795431,
544.8499756,0.05283788592,
545.8800049,0.02237304673,
546.9099731,0.08325219154,
547.9400024,0.05630163103,
548.9699707,0.02049989998,
549.8499756,0.0498288013,
550.8800049,0.05446222797,
551.9099731,0.06651691347,
552.9400024,0.02466725744,
553.9699707,0,
554.8499756,0.04665367678,
555.8800049,0.06643378735,
556.9099731,0.02522009052,
557.9400024,0.04352599755,
558.9699707,0.01795238629,
559.8499756,0.06718721986,
560.8800049,0.05596984923,
561.9099731,0.03405961022,
562.9400024,-0.00541137252,
563.9699707,0.04688522592,
564.8499756,0.003683848539,
565.8800049,0.05346567184,
566.9099731,0.04628908634,
567.9400024,0.05456411093,
568.9699707,0.06672289222,
569.8499756,0.01953728683,
570.8599854,0.02476293966,
571.8800049,0.08449663967,
572.8900146,0.05551728234,
573.9099731,0.03998822346,
574.9199829,0.07308143377,
575.9400024,0.06110111251,
576.9500122,0.01868797839,
577.9699707,0.05265317485,
578.9799805,0.03871007264,
579.8499756,0.05952735245,
580.8800049,0.0420685187,
581.9099731,0.08245941997,
582.9400024,0.02919833176,
583.9699707,0.03533191234,
584.8499756,0.02330814302,
585.8800049,0.04385972768,
586.9099731,0.02666068636,
587.9400024,0.01457773801,
588.9699707,0.03735092655,
589.8499756,0.03526188806,
590.8599854,0.02321586199,
591.8800049,0.02179515921,
592.8900146,0.05402839184,
593.9099731,0.0737728402,
594.9199829,0.05463729426,
595.9400024,0.01904335245,
596.9500122,0.03274144232,
597.9699707,0.01672104187,
598.9799805,0.02455777675,
599.8499756,0.06759637594,
600.8599854,0.01717801392,
601.8800049,0.02995055355,
602.8900146,0.05400853232,
603.9099731,0.01097268239,
604.9199829,0.04071532562,
605.9400024,0.04248157516,
606.9500122,0.03172258288,
607.9699707,0.02092175744,
608.9799805,0.04227564111,
609.8499756,0.01834865659,
610.8599854,0.03745410964,
611.8800049,0.02185501717,
612.8900146,-0.01797937043,
613.9099731,0.06265271455,
614.9199829,0.02415218949,
615.9400024,0.03007441573,
616.9500122,0.05993521586,
617.9699707,0.04497664794,
618.9799805,0.05401135981,
619.8499756,0.03795542195,
620.8599854,0.02723710984,
621.8800049,0.03683168441,
622.8900146,0.03340128064,
623.9099731,0.04957911,
624.9199829,0.02889909782,
625.9400024,0.03256745636,
626.9500122,0.06266046315,
627.9699707,0.0404580906,
628.9799805,0.06541244686,
629.8499756,0.04345590249,
630.8499756,0.06312616915,
631.8499756,0.02409745753,
632.8499756,0.04917926341,
633.8499756,0.06052497774,
634.8499756,0.02291303501,
635.8499756,0.02690467238,
636.8499756,0.03875586018,
637.8499756,0.02259807289,
638.8499756,0.03090091608,
639.8499756,0.04153371975,
640.8599854,0.04015374929,
641.8800049,0.02835639194,
642.8900146,0.01995794289,
643.9099731,0.03086459078,
644.9199829,0.04648038372,
645.9400024,0.04924724624,
646.9500122,0.01287442818,
647.9699707,0.05793657154,
648.9799805,0.05471357331,
649.8499756,0.05628585815,
650.8499756,0.03811939433,

Sample 5,
Sample 5
Collection Time: 27/06/2023 5:05:22 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        385.00
Stop (nm)                         650.00
Ex. Wavelength (nm)               375.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                60.00
Data interval (nm)                1.0000
Averaging Time (s)                1.0000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 27/06/2023 4:28:13 PM
Method Modifications:
Overlayed Graphs Changed: 27/06/2023 4:58:13 PM, Old:OFF, New:ON
PMT Volts Changed: 27/06/2023 4:58:13 PM, Old:600, New:800
Emission PMT (V): Changed: 27/06/2023 4:58:13 PM, Old: 600, New: 800
Excitation Wavelength Changed: 27/06/2023 4:58:13 PM, Old: 350.00, New: 375.00
Emission Wavelength Changed: 27/06/2023 4:58:13 PM, Old: 400.00, New: 385.00
Scan Control Changed: 27/06/2023 4:58:47 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 27/06/2023 4:58:47 PM, Old:0.10000, New:0.50000
Scan Control Changed: 27/06/2023 4:59:39 PM, Old:Slow, New:Manual
Ave. time (s): Changed: 27/06/2023 4:59:39 PM, Old:0.50000, New:0.20000
Stop Wavelength Changed: 27/06/2023 4:59:46 PM, Old: 600.00, New: 650.00
Ave. time (s): Changed: 27/06/2023 5:00:03 PM, Old:0.20000, New:1.00000
End Method Modifications

