Sample 4,,
Wavelength (nm),Intensity (a.u.),
390,2.212512732,
391.0599976,2.178373337,
391.9599915,2.481856108,
393.0299988,2.890360117,
393.9299927,3.305919409,
395,3.528644085,
396.0599976,3.429836273,
396.9599915,3.218823195,
398.0299988,3.231948376,
398.9299927,2.76938653,
400,2.971550465,
401.0599976,2.760388851,
401.9599915,2.542690039,
403.0299988,2.253898382,
403.9299927,2.196978092,
405,1.908197403,
406.0599976,1.586715698,
406.9599915,1.542986631,
408.0299988,1.274205804,
408.9299927,1.281435251,
410,1.110598445,
411.0599976,1.102373004,
411.9599915,1.002305508,
413.0299988,1.303168058,
413.9299927,1.204504251,
415,1.110137463,
416.0599976,1.182688713,
416.9599915,1.266314626,
418.0299988,1.429128051,
418.9299927,1.751031995,
420,1.944557786,
421.0599976,2.628823519,
421.9599915,3.513836384,
423.0299988,5.075068474,
423.9299927,6.721205235,
425,8.541831017,
426.0599976,10.14668655,
426.9599915,10.98635769,
428.0299988,11.2610817,
428.9299927,10.67731571,
430,9.160665512,
431.0400085,7.456170559,
431.9400024,6.059372425,
432.980011,4.497686386,
434.019989,3.191483259,
435.0700073,2.258535385,
435.9700012,1.589157581,
437.0100098,1.317009449,
438.0499878,1.242226124,
438.9500122,1.144573212,
440,1.047212958,
441.0599976,1.146871209,
441.9599915,1.183762431,
443.0299988,1.346058846,
443.9299927,1.103575349,
445,1.185885668,
446.0599976,1.227678776,
446.9599915,1.267045736,
448.0299988,1.131636977,
448.9299927,1.316608071,
450,1.204696178,
451.0599976,1.253483891,
451.9599915,1.261499405,
453.0299988,1.261342645,
453.9299927,1.26148057,
455,1.186586142,
456.0599976,1.142638087,
456.9599915,1.174611211,
458.0299988,1.180604935,
458.9299927,1.136068106,
460,1.148680806,
461.0400085,1.199221373,
461.9400024,1.061992884,
462.980011,1.03440094,
464.019989,1.038800359,
465.0700073,1.084564567,
465.9700012,0.9567658901,
467.0100098,1.103842974,
468.0499878,1.179516435,
468.9500122,1.090448737,
470,1.056911945,
471.0400085,1.051943779,
471.9400024,0.9801066518,
472.980011,1.060355425,
474.019989,1.035009384,
475.0700073,1.132326603,
475.9700012,1.024958491,
477.0100098,1.154203892,
478.0499878,1.056447625,
478.9500122,1.116852045,
480,1.002878785,
481.0400085,0.9798909426,
481.9400024,0.9357801676,
482.980011,1.003433466,
484.019989,0.9103322625,
485.0700073,1.026896834,
485.9700012,0.9543799162,
487.0100098,1.048187733,
488.0499878,0.999362886,
488.9500122,0.9844276309,
490,0.952629149,
491.0400085,0.9718173146,
491.9400024,0.9705059528,
492.980011,1.024366736,
494.019989,0.9350712299,
495.0700073,0.7994868755,
495.9700012,0.868365109,
497.0100098,0.818064332,
498.0499878,0.7488215566,
498.9500122,0.8230723739,
500,0.9115577936,
501.0400085,0.9194172621,
501.9400024,0.7751852274,
502.980011,0.6950106621,
504.019989,0.792013526,
505.0700073,0.8222245574,
505.9700012,0.712056458,
507.0100098,0.6683562398,
508.0499878,0.772546649,
508.9500122,0.7445102334,
510,0.7641053796,
511.0400085,0.6983971,
511.9400024,0.6322694421,
512.9799805,0.7279436588,
514.0200195,0.6944915652,
515.0700073,0.7226989269,
515.9699707,0.801651299,
517.0100098,0.7481781244,
518.0499878,0.7032430172,
518.9500122,0.6470451355,
520,0.644897759,
521.0200195,0.6453009248,
522.0499878,0.6933127046,
522.9400024,0.6447657347,
523.9699707,0.5738944411,
525,0.5137162805,
526.0200195,0.675524354,
527.0499878,0.5930193067,
527.9400024,0.5682707429,
528.9699707,0.5159077644,
530,0.5313685536,
531.039978,0.5468410254,
531.9400024,0.5373088121,
532.9799805,0.6078339815,
534.0200195,0.5988776684,
535.0700073,0.5499902964,
535.9699707,0.4616156518,
537.0100098,0.4402087331,
538.0499878,0.4478910267,
538.9500122,0.4642887712,
540,0.3961172998,
541.0200195,0.4816685915,
542.0499878,0.4696393311,
542.9400024,0.445566088,
543.9699707,0.419657737,
545,0.4425276518,
546.0200195,0.4886545241,
547.0499878,0.3716496527,
