Sample 39,,
Wavelength (nm),Intensity (a.u.),
370,1.668928981,
371.0599976,0.9515601397,
371.9599915,0.8771532178,
373.0299988,0.9481166005,
373.9299927,1.00872457,
375,1.067360044,
376.0599976,1.080386043,
376.9599915,1.094637871,
378.0299988,1.125049353,
378.9299927,1.095854998,
380,1.14697504,
381.0700073,1.067015409,
382,0.9820546508,
383.0700073,0.9893849492,
384,1.013122082,
385.0700073,0.9795824289,
386,0.9027981162,
387.0700073,0.8986201882,
388,0.8483256698,
389.0700073,0.8371661305,
390,0.7876803279,
391.0599976,0.8105504513,
391.9599915,0.7985169888,
393.0299988,0.763723135,
393.9299927,0.8015764356,
395,0.8129764795,
396.0599976,0.8651726842,
396.9599915,0.8552578092,
398.0299988,0.9146419168,
398.9299927,0.9077037573,
400,0.9447625279,
401.0599976,0.9925224781,
401.9599915,1.090858579,
403.0299988,1.218375325,
403.9299927,1.314771533,
405,1.505540609,
406.0599976,1.614712358,
406.9599915,1.678166389,
408.0299988,1.562915325,
408.9299927,1.557091594,
410,1.3244524,
411.0599976,1.152934551,
411.9599915,1.034700155,
413.0299988,0.8653823733,
413.9299927,0.8380844593,
415,0.7854964137,
416.0599976,0.7359047532,
416.9599915,0.745495975,
418.0299988,0.7119971514,
418.9299927,0.7504612207,
420,0.7265244126,
421.0599976,0.6767709255,
421.9599915,0.6724889278,
423.0299988,0.6683586836,
423.9299927,0.7047951818,
425,0.6771442294,
426.0599976,0.6968143582,
426.9599915,0.6047038436,
428.0299988,0.6263541579,
428.9299927,0.6247597337,
430,0.5673677921,
431.0400085,0.5759158731,
431.9400024,0.5980154276,
432.980011,0.5491091609,
434.019989,0.5740265846,
435.0700073,0.5122412443,
435.9700012,0.4860296249,
437.0100098,0.5221256614,
438.0499878,0.5064927936,
438.9500122,0.5143630505,
440,0.4815787673,
441.0599976,0.5043841004,
441.9599915,0.4883607626,
443.0299988,0.4694274962,
443.9299927,0.4500198662,
445,0.4356426597,
446.0599976,0.4343145788,
446.9599915,0.4812633991,
448.0299988,0.4004487693,
448.9299927,0.4208920598,
450,0.3952403665,
451.0599976,0.395691365,
451.9599915,0.4016283453,
453.0299988,0.3461898267,
453.9299927,0.3612393737,
455,0.3477534056,
456.0599976,0.3407346308,
456.9599915,0.3892699182,
458.0299988,0.3344348371,
458.9299927,0.3355465531,
460,0.3373836875,
461.0400085,0.3154503405,
461.9400024,0.3028954268,
462.980011,0.3259994388,
464.019989,0.3017608821,
465.0700073,0.2783397436,
465.9700012,0.3189538121,
467.0100098,0.2856388986,
468.0499878,0.3007696569,
468.9500122,0.2221769989,
470,0.2767558396,
471.0400085,0.2523652911,
471.9400024,0.2816222906,
472.980011,0.2451647073,
474.019989,0.2369910628,
475.0700073,0.2692665458,
475.9700012,0.2320659608,
477.0100098,0.2273869663,
478.0499878,0.2188294083,
478.9500122,0.211761266,
480,0.2077673227,
481.0400085,0.2122184336,
481.9400024,0.1686244756,
482.980011,0.1976368278,
484.019989,0.1857457012,
485.0700073,0.1737679243,
485.9700012,0.1706679761,
487.0100098,0.1992985308,
488.0499878,0.1499642581,
488.9500122,0.1573721915,
490,0.1708562374,
491.0400085,0.1494963169,
491.9400024,0.1127663478,
492.980011,0.1439711154,
494.019989,0.1307237446,
495.0700073,0.1656577885,
495.9700012,0.1378785521,
497.0100098,0.1624880135,
498.0499878,0.1268853098,
498.9500122,0.1202622429,
500,0.1454380453,
501.0400085,0.09060559422,
501.9400024,0.1383924931,
502.980011,0.1406912506,
504.019989,0.1309816986,
505.0700073,0.1071326882,
505.9700012,0.1285603791,
507.0100098,0.1121406779,
508.0499878,0.1142821014,
508.9500122,0.09031976759,
510,0.08466626704,
511.0400085,0.1325038821,
511.9400024,0.119068183,
512.9799805,0.1192681044,
514.0200195,0.08642996103,
515.0700073,0.09709309787,
515.9699707,0.09983251989,
517.0100098,0.1092858315,
518.0499878,0.08464734256,
518.9500122,0.1273427606,
520,0.08769790828,
521.0200195,0.1132855117,
522.0499878,0.06373387575,
522.9400024,0.09104358405,
523.9699707,0.09092707932,
525,0.09139949083,
526.0200195,0.0534989126,
527.0499878,0.0895967856,
527.9400024,0.0334318094,
528.9699707,0.08472551405,
530,0.03935997188,
531.039978,0.09463309497,
531.9400024,0.07561995089,
532.9799805,0.09333904833,
534.0200195,0.06892998517,
535.0700073,0.0306156259,
535.9699707,0.08240077645,
537.0100098,0.08715599775,
538.0499878,0.08098798245,
538.9500122,0.05648581684,
540,0.02195934765,
541.0200195,0.06280297786,
542.0499878,0.04764278978,
542.9400024,0.06088628992,
543.9699707,0.04590923339,
545,0.05552071705,
546.0200195,0.1019089147,
547.0499878,0.03157027066,
547.9400024,0.02737541497,
548.9699707,0.02959074266,
550,0.04171895608,
551.0200195,0.07774759829,
552.0499878,0.04138687253,
552.9400024,0.08151011169,
553.9699707,0.05455416441,
555,0.04202083126,
556.0200195,0.05183621123,
557.0499878,0.04777472466,
557.9400024,0.04066087306,
558.9699707,0.04805365577,
560,0.03626573458,
561.0200195,0.04067279771,
562.0499878,0.04856750742,
562.9400024,0.0544879958,
563.9699707,0.03971169144,
565,0.03486512974,
566.0200195,0.04322073981,
567.0499878,0.04483436421,
567.9400024,0.03023335151,
568.9699707,0.04085662588,
570,0.032468196,
571.0100098,0.03574650735,
572.0200195,0.07776255161,
573.039978,0.06759563833,
574.0499878,0.01049753092,
575.0700073,0.04262153059,
575.9400024,0.02162996121,
576.9500122,-0.006667022128,
577.9699707,0.04891452193,
578.9799805,0.03420592472,
580,0.0643947497,
581.0200195,0.02137608454,
582.0499878,0.04896175489,
582.9400024,0.02674869634,
583.9699707,0.03188978881,
585,0.03881797567,
586.0200195,0.03025083244,
587.0499878,-0.01508588903,
587.9400024,0.04566041753,
588.9699707,0.02522407286,
590,0.03442621604,

Sample 39,
Sample 39
Collection Time: 1/08/2023 3:50:36 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        370.00
Stop (nm)                         590.00
Ex. Wavelength (nm)               360.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 1/08/2023 12:56:44 PM
Method Modifications:
Overlayed Graphs Changed: 1/08/2023 2:04:18 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 1/08/2023 2:04:18 PM, Old: 350.00, New: 327.00
Emission Wavelength Changed: 1/08/2023 2:04:18 PM, Old: 400.00, New: 337.00
Scan Control Changed: 1/08/2023 2:04:39 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 1/08/2023 2:04:39 PM, Old:0.10000, New:0.50000
Scan Control Changed: 1/08/2023 2:08:46 PM, Old:Slow, New:Medium
Ave. time (s): Changed: 1/08/2023 2:08:46 PM, Old:0.50000, New:0.10000
Excitation Wavelength Changed: 1/08/2023 2:08:46 PM, Old: 327.00, New: 340.00
Emission Wavelength Changed: 1/08/2023 2:08:46 PM, Old: 337.00, New: 350.00
Excitation Wavelength Changed: 1/08/2023 2:09:58 PM, Old: 340.00, New: 310.00
Emission Wavelength Changed: 1/08/2023 2:09:58 PM, Old: 350.00, New: 320.00
Excitation Wavelength Changed: 1/08/2023 2:13:59 PM, Old: 310.00, New: 350.00
Emission Wavelength Changed: 1/08/2023 2:13:59 PM, Old: 320.00, New: 360.00
Scan Control Changed: 1/08/2023 2:14:44 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 1/08/2023 2:14:44 PM, Old:0.10000, New:0.50000
Excitation Wavelength Changed: 1/08/2023 2:16:25 PM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 1/08/2023 2:16:25 PM, Old: 360.00, New: 350.00
User Delta Stop Changed: 1/08/2023 2:24:01 PM, Old: 450.00, New: 475.00
User Delta Increment Changed: 1/08/2023 2:24:01 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 1/08/2023 2:24:01 PM, Old: 340.00, New: 475.00
Emission Wavelength Changed: 1/08/2023 2:24:01 PM, Old: 350.00, New: 485.00
Stop Wavelength Changed: 1/08/2023 2:24:01 PM, Old: 600.00, New: 750.00
Excitation Wavelength Changed: 1/08/2023 2:24:18 PM, Old: 475.00, New: 465.00
Emission Wavelength Changed: 1/08/2023 2:24:18 PM, Old: 485.00, New: 475.00
Scan mode: Changed: 1/08/2023 2:33:38 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 1/08/2023 2:33:38 PM, Old: 465.00, New: 475.00
Emission Wavelength Changed: 1/08/2023 2:33:38 PM, Old: 475.00, New: 465.00
User Delta Stop Changed: 1/08/2023 2:34:03 PM, Old: 475.00, New: 562.00
Excitation Wavelength Changed: 1/08/2023 2:34:03 PM, Old: 475.00, New: 300.00
Emission Wavelength Changed: 1/08/2023 2:34:03 PM, Old: 465.00, New: 562.00
Stop Wavelength Changed: 1/08/2023 2:34:03 PM, Old: 750.00, New: 552.00
Scan mode: Changed: 1/08/2023 2:42:54 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 1/08/2023 2:42:54 PM, Old: 300.00, New: 485.00
Emission Wavelength Changed: 1/08/2023 2:42:54 PM, Old: 562.00, New: 495.00
Stop Wavelength Changed: 1/08/2023 2:42:54 PM, Old: 552.00, New: 750.00
Scan mode: Changed: 1/08/2023 2:50:10 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 1/08/2023 2:50:10 PM, Old: 562.00, New: 640.00
Excitation Wavelength Changed: 1/08/2023 2:50:10 PM, Old: 485.00, New: 300.00
Emission Wavelength Changed: 1/08/2023 2:50:10 PM, Old: 495.00, New: 640.00
Stop Wavelength Changed: 1/08/2023 2:50:10 PM, Old: 750.00, New: 630.00
Scan mode: Changed: 1/08/2023 2:57:13 PM, Old:Excitation, New:Emission
Scan Control Changed: 1/08/2023 2:57:13 PM, Old:Slow, New:Medium
Ave. time (s): Changed: 1/08/2023 2:57:13 PM, Old:0.50000, New:0.10000
Excitation Wavelength Changed: 1/08/2023 2:57:13 PM, Old: 300.00, New: 385.00
Emission Wavelength Changed: 1/08/2023 2:57:13 PM, Old: 640.00, New: 385.00
Stop Wavelength Changed: 1/08/2023 2:57:13 PM, Old: 630.00, New: 700.00
Scan Control Changed: 1/08/2023 2:59:25 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 1/08/2023 2:59:25 PM, Old:0.10000, New:0.50000
Scan mode: Changed: 1/08/2023 3:08:16 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 1/08/2023 3:08:16 PM, Old: 385.00, New: 300.00
Emission Wavelength Changed: 1/08/2023 3:08:16 PM, Old: 385.00, New: 530.00
Stop Wavelength Changed: 1/08/2023 3:08:16 PM, Old: 700.00, New: 520.00
Excitation Wavelength Changed: 1/08/2023 3:09:34 PM, Old: 300.00, New: 220.00
Scan mode: Changed: 1/08/2023 3:17:47 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 1/08/2023 3:17:47 PM, Old: 220.00, New: 390.00
Emission Wavelength Changed: 1/08/2023 3:17:47 PM, Old: 530.00, New: 400.00
Stop Wavelength Changed: 1/08/2023 3:17:47 PM, Old: 520.00, New: 700.00
Scan Control Changed: 1/08/2023 3:17:54 PM, Old:Slow, New:Medium
Ave. time (s): Changed: 1/08/2023 3:17:54 PM, Old:0.50000, New:0.10000
Excitation Wavelength Changed: 1/08/2023 3:18:49 PM, Old: 390.00, New: 380.00
Emission Wavelength Changed: 1/08/2023 3:18:49 PM, Old: 400.00, New: 390.00
PMT Volts Changed: 1/08/2023 3:19:24 PM, Old:600, New:800
Scan Control Changed: 1/08/2023 3:19:24 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 1/08/2023 3:19:24 PM, Old:0.10000, New:0.50000
Emission PMT (V): Changed: 1/08/2023 3:19:24 PM, Old: 600, New: 800
Excitation Wavelength Changed: 1/08/2023 3:19:24 PM, Old: 380.00, New: 390.00
Emission Wavelength Changed: 1/08/2023 3:19:24 PM, Old: 390.00, New: 400.00
Scan mode: Changed: 1/08/2023 3:29:03 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 1/08/2023 3:29:03 PM, Old: 390.00, New: 220.00
Emission Wavelength Changed: 1/08/2023 3:29:03 PM, Old: 400.00, New: 544.00
Stop Wavelength Changed: 1/08/2023 3:29:03 PM, Old: 700.00, New: 534.00
Scan mode: Changed: 1/08/2023 3:38:21 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 1/08/2023 3:38:21 PM, Old: 220.00, New: 290.00
Emission Wavelength Changed: 1/08/2023 3:38:21 PM, Old: 544.00, New: 300.00
Stop Wavelength Changed: 1/08/2023 3:38:21 PM, Old: 534.00, New: 700.00
Scan Control Changed: 1/08/2023 3:38:27 PM, Old:Slow, New:Medium
Ave. time (s): Changed: 1/08/2023 3:38:27 PM, Old:0.50000, New:0.10000
Excitation Wavelength Changed: 1/08/2023 3:46:16 PM, Old: 290.00, New: 360.00
Emission Wavelength Changed: 1/08/2023 3:46:16 PM, Old: 300.00, New: 370.00
Stop Wavelength Changed: 1/08/2023 3:46:16 PM, Old: 700.00, New: 590.00
PMT Volts Changed: 1/08/2023 3:47:06 PM, Old:800, New:600
Emission PMT (V): Changed: 1/08/2023 3:47:06 PM, Old: 800, New: 600
Scan Control Changed: 1/08/2023 3:47:47 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 1/08/2023 3:47:47 PM, Old:0.10000, New:0.50000
End Method Modifications

