Sample 23,,
Wavelength (nm),Intensity (a.u.),
330,2.364066124,
331.0700073,1.600791693,
332,1.361107826,
333.0700073,1.565318584,
334,1.982293606,
335.0700073,2.057278156,
336,2.233487606,
337.0700073,2.425476551,
338,2.655250072,
339.0700073,2.651635885,
340,2.619195461,
341.0700073,2.528617382,
342,2.681496143,
343.0700073,2.646412373,
344,2.639511585,
345.0700073,2.46029973,
346,2.67565465,
347.0700073,2.527612209,
348,2.962649584,
349.0700073,2.818575144,
350,3.01318264,
351.0599976,3.35990715,
351.9599915,3.659230471,
353.0299988,3.706773043,
353.9299927,3.979593515,
355,4.28252697,
356.0599976,4.495337486,
356.9599915,4.433322906,
358.0299988,4.460930824,
358.9299927,4.427703857,
360,3.916408777,
361.0700073,3.611368179,
362,3.809920788,
363.0700073,3.412665367,
364,3.630970001,
365.0700073,3.315679789,
366,3.630782127,
367.0700073,3.718070745,
368,3.836162567,
369.0700073,4.037209988,
370,3.550896168,
371.0599976,3.90625,
371.9599915,4.235426903,
373.0299988,4.467801571,
373.9299927,4.471980095,
375,4.46198225,
376.0599976,4.628013611,
376.9599915,4.803766251,
378.0299988,5.112157822,
378.9299927,5.0309062,
380,5.37238121,
381.0700073,5.145716667,
382,5.598012447,
383.0700073,5.669414997,
384,5.77568388,
385.0700073,5.973901272,
386,6.150596142,
387.0700073,6.060317516,
388,5.854950428,
389.0700073,6.050006866,
390,6.124597549,
391.0599976,6.012915611,
391.9599915,6.440020084,
393.0299988,6.174623013,
393.9299927,6.310546398,
395,6.204408646,
396.0599976,6.241427898,
396.9599915,6.198154926,
398.0299988,6.204512119,
398.9299927,6.074352741,
400,5.948353291,
401.0599976,5.991648674,
401.9599915,6.323120594,
403.0299988,6.001488686,
403.9299927,5.798415184,
405,5.733206272,
406.0599976,5.826712132,
406.9599915,5.58963871,
408.0299988,5.472868443,
408.9299927,5.728794575,
410,5.584806442,
411.0599976,5.237355709,
411.9599915,4.922720909,
413.0299988,4.834465504,
413.9299927,4.596348286,
415,4.429577351,
416.0599976,4.755206585,
416.9599915,4.588348866,
418.0299988,4.348627567,
418.9299927,4.332231045,
420,4.263432026,
421.0599976,4.568652153,
421.9599915,4.310020447,
423.0299988,3.946002007,
423.9299927,3.985266685,
425,3.746143818,
426.0599976,3.647544622,
426.9599915,3.714480162,
428.0299988,3.466626167,
428.9299927,3.497710705,
430,3.215960741,
431.0400085,3.009963036,
431.9400024,3.414954185,
432.980011,3.349960089,
434.019989,2.904570818,
435.0700073,2.900953054,
435.9700012,2.839253426,
437.0100098,2.679009914,
438.0499878,2.808070421,
438.9500122,2.542920828,
440,2.254947186,
441.0599976,2.378209114,
441.9599915,2.291291714,
443.0299988,2.094717741,
443.9299927,2.066146612,
445,2.228958607,
446.0599976,1.959845662,
446.9599915,2.207236528,
448.0299988,1.903534293,
448.9299927,1.869387984,
450,1.882010102,
451.0599976,1.736984015,
451.9599915,1.800317287,
453.0299988,1.770701885,
453.9299927,1.715656519,
455,1.433161855,
456.0599976,1.429636002,
456.9599915,1.511972427,
458.0299988,1.660341501,
458.9299927,1.608674884,
460,1.354085922,
461.0400085,1.562572598,
461.9400024,1.335955262,
462.980011,1.347007513,
464.019989,1.303061366,
465.0700073,1.271968603,
465.9700012,1.242459178,
467.0100098,1.096211314,
468.0499878,1.126292944,
468.9500122,1.044744968,
470,0.9684937,
471.0400085,1.19284296,
471.9400024,0.9317638278,
472.980011,0.9163151383,
474.019989,0.9475631118,
475.0700073,0.7996740937,
475.9700012,0.9895498157,
477.0100098,0.9689922333,
478.0499878,0.726744175,
