Sample 28,,
Wavelength (nm),Intensity (a.u.),
375.8999939,1.009980321,
376.8099976,0.9014014006,
377.8699951,0.58280617,
378.9299927,0.8242818713,
379.8399963,0.7686313987,
380.9200134,0.8230628371,
381.8399963,0.7619578838,
382.9200134,0.8335471153,
383.8399963,0.8099789023,
384.9200134,1.021637201,
385.8399963,1.005688071,
386.9200134,1.451878309,
387.8399963,1.332636833,
388.9200134,1.933368325,
389.8399963,2.046720982,
390.8999939,2.567337751,
391.8099976,3.124563694,
392.8699951,3.915756941,
393.9299927,4.623661518,
394.8399963,5.649475574,
395.8999939,7.049639225,
396.8099976,8.175860405,
397.8699951,9.908050537,
398.9299927,12.05295563,
399.8399963,13.9188242,
400.8999939,16.66136169,
401.8099976,19.53266716,
402.8699951,22.77971649,
403.9299927,25.99337387,
404.8399963,29.15210342,
405.8999939,33.57948303,
406.8099976,38.31118774,
407.8699951,42.49091339,
408.9299927,47.18730545,
409.8399963,51.43602753,
410.8999939,56.63619232,
411.8099976,61.59861755,
412.8699951,66.47635651,
413.9299927,72.39611816,
414.8399963,76.87967682,
415.8999939,82.06145477,
416.8099976,85.50118256,
417.8699951,91.10933685,
418.9299927,96.9994278,
419.8399963,100.7753601,
420.8999939,105.7108231,
421.8099976,109.5385666,
422.8699951,113.6292801,
423.9299927,116.9172287,
424.8399963,121.1686935,
425.8999939,124.103508,
426.8099976,127.8001099,
427.8699951,131.54039,
428.9299927,135.1478577,
429.8399963,138.6099243,
430.8900146,140.6814575,
431.9400024,143.4366302,
432.8299866,145.3687286,
433.8800049,148.8484955,
434.9200134,151.0600739,
435.8200073,152.9053345,
436.8599854,155.0868073,
437.9100037,157.1728516,
438.9500122,157.8822021,
439.8500061,159.1395569,
440.8999939,160.1311646,
441.8099976,160.1453552,
442.8699951,160.8415527,
443.9299927,161.1564026,
444.8399963,161.234848,
445.8999939,162.2058716,
446.8099976,163.0036316,
447.8699951,161.8950195,
448.9299927,162.6350861,
449.8399963,163.3760529,
450.8999939,161.4020233,
451.8099976,160.3030396,
452.8699951,161.6505737,
453.9299927,160.7124481,
454.8399963,160.0349579,
455.8999939,158.2119293,
456.8099976,157.9736023,
457.8699951,157.1027985,
458.9299927,154.529892,
459.8399963,153.4284515,
