Sample 29,,
Wavelength (nm),Intensity (a.u.),
375.8999939,0.9756718278,
376.8099976,0.7311723232,
377.8699951,0.6091110706,
378.9299927,0.6284878254,
379.8399963,0.7526608109,
380.9200134,0.5266608596,
381.8399963,0.5457113981,
382.9200134,0.4124740958,
383.8399963,0.5763422847,
384.9200134,0.6298118234,
385.8399963,0.450982511,
386.9200134,0.5992590785,
387.8399963,0.3686156273,
388.9200134,0.5247769952,
389.8399963,0.5225217342,
390.8999939,0.5259147286,
391.8099976,0.657591939,
392.8699951,0.6181325912,
393.9299927,0.5875831842,
394.8399963,0.6667259336,
395.8999939,0.5741565824,
396.8099976,0.7050787807,
397.8699951,0.7391932607,
398.9299927,0.667894721,
399.8399963,0.8731271029,
400.8999939,0.8111857772,
401.8099976,0.7595733404,
402.8699951,0.8380131125,
403.9299927,0.7532037497,
404.8399963,1.01053071,
405.8999939,0.9198636413,
406.8099976,1.01325953,
407.8699951,1.232507586,
408.9299927,1.37450242,
409.8399963,1.471815825,
410.8999939,1.662665963,
411.8099976,1.799984813,
412.8699951,1.753845096,
413.9299927,1.700734854,
414.8399963,1.676705599,
415.8999939,1.684756279,
416.8099976,1.583304167,
417.8699951,1.32484293,
418.9299927,1.172043085,
419.8399963,1.301470995,
420.8999939,1.189839482,
421.8099976,1.158475041,
422.8699951,1.152173996,
423.9299927,1.175468326,
424.8399963,1.27186358,
425.8999939,1.106386662,
426.8099976,1.223320365,
427.8699951,1.176018,
428.9299927,1.220844388,
429.8399963,1.226810575,
430.8900146,1.287572622,
431.9400024,1.222285986,
432.8299866,1.124642611,
433.8800049,1.193528414,
434.9200134,1.406484723,
435.8200073,1.246855736,
436.8599854,1.167829037,
437.9100037,1.258308053,
438.9500122,1.294987321,
439.8500061,1.284941077,
440.8999939,1.233832598,
441.8099976,1.321614265,
442.8699951,1.133919001,
443.9299927,1.283752918,
444.8399963,1.368283868,
445.8999939,1.297824264,
446.8099976,1.195830464,
447.8699951,1.326515317,
448.9299927,1.355745435,
449.8399963,1.368310809,
450.8999939,1.237452149,
451.8099976,1.442761302,
452.8699951,1.244548321,
453.9299927,1.239891648,
454.8399963,1.236630201,
455.8999939,1.355324507,
456.8099976,1.302251458,
457.8699951,1.423007846,
458.9299927,1.346398354,
459.8399963,1.277028561,
460.8900146,1.438002467,
461.9400024,1.315409541,
462.8299866,1.233610988,
463.8800049,1.33620131,
464.9200134,1.341915846,
465.8200073,1.166466832,
466.8599854,1.247083902,
467.9100037,1.380415916,
468.9500122,1.340466857,
469.8500061,1.278930187,
470.8900146,1.310063481,
471.9400024,1.273479819,
472.8299866,1.266666651,
473.8800049,1.326526046,
474.9200134,1.181663394,
475.8200073,1.133613825,
476.8599854,1.142970204,
477.9100037,1.079489708,
478.9500122,1.221135497,
479.8500061,1.28420198,
480.8900146,1.139903426,
481.9400024,1.171366096,
482.8299866,1.13415432,
483.8800049,1.141629934,
484.9200134,1.13225913,
485.8200073,1.099070191,
486.8599854,1.204141259,
487.9100037,1.074236631,
488.9500122,1.100942731,
489.8500061,0.9142831564,
490.8900146,1.073022008,
491.9400024,1.143137097,
492.8299866,0.9489425421,
493.8800049,1.01120019,
494.9200134,1.067805648,
495.8200073,0.8918666244,
496.8599854,0.9286282659,
497.9100037,0.9907078743,
498.9500122,0.9900419712,
499.8500061,1.084159255,
500.8900146,0.9031791687,
501.9400024,1.060264111,
502.8299866,0.8989269137,
503.8800049,1.015179276,
504.9200134,0.8055944443,
505.8200073,1.007288694,
506.8599854,0.9001095295,
507.9100037,0.7888224721,
508.9500122,0.7650430799,
509.8500061,0.8030039072,
510.8900146,0.8406664133,
511.9400024,0.9030905962,
512.8300171,0.8849267364,
513.8800049,0.7397756577,
514.9199829,0.8735287189,
515.9699707,0.7764507532,
516.8599854,0.8284440041,
517.9099731,0.6525356174,
518.9500122,0.7624192238,
519.8499756,0.7729766965,
520.8800049,0.7390983105,
521.9099731,0.7827789187,
522.9400024,0.6701727509,
523.9699707,0.6882778406,
524.8499756,0.7311317921,
525.8800049,0.7274330854,
526.9099731,0.6180946827,
527.9400024,0.6642164588,
528.9699707,0.5640532374,
529.8499756,0.6833790541,
530.8900146,0.5110473037,
531.9400024,0.6463547945,
532.8300171,0.5616084933,
533.8800049,0.5696967244,
534.9199829,0.7052109838,
535.9699707,0.5435348153,
536.8599854,0.6396329999,
537.9099731,0.642039299,
538.9500122,0.5750431418,
539.8499756,0.6518904567,
540.8800049,0.3820482194,
541.9099731,0.6579094529,
542.9400024,0.4659514427,
543.9699707,0.4489657283,
544.8499756,0.5278111696,
545.8800049,0.4803403616,
546.9099731,0.5654916763,
547.9400024,0.5011821389,
548.9699707,0.4686188698,
549.8499756,0.5725540519,
550.8800049,0.3430653512,
551.9099731,0.5110940337,
552.9400024,0.5351647735,
553.9699707,0.4136990309,
554.8499756,0.4080012441,
555.8800049,0.4465332329,
556.9099731,0.4138609767,
557.9400024,0.4271450639,
558.9699707,0.3819042742,
559.8499756,0.4866179824,
560.8800049,0.4026422203,
561.9099731,0.3714304566,
562.9400024,0.3361871839,
563.9699707,0.3250027895,
564.8499756,0.4001297653,
565.8800049,0.4618989825,
566.9099731,0.4115939438,
567.9400024,0.275391072,
568.9699707,0.3524048626,
569.8499756,0.343437016,
570.8599854,0.3125875592,
571.8800049,0.2962999642,
572.8900146,0.2481898367,
573.9099731,0.2573174834,
574.9199829,0.4112436175,
575.9400024,0.3849114478,
576.9500122,0.277469486,
577.9699707,0.3571119308,
578.8400269,0.3312496841,
579.8499756,0.2899035513,
580.8800049,0.2470435351,
581.9099731,0.3190248907,
582.9400024,0.2090070993,
583.9699707,0.3021311164,
584.8499756,0.3297427893,
585.8800049,0.2170633525,
586.9099731,0.2534100115,
587.9400024,0.2939223349,
588.9699707,0.2337879241,
589.8499756,0.132251814,
590.8599854,0.2981283963,
591.8800049,0.1838215441,
592.8900146,0.2905350029,
593.9099731,0.2266961634,
594.9199829,0.2871627212,
595.9400024,0.3807575703,
596.9500122,0.1583173126,
597.9699707,0.1830772161,
