Sample 29,,
Wavelength (nm),Intensity (a.u.),
353.9299927,1.063815355,
355,0.7817000151,
356.0599976,0.94135499,
356.9599915,0.7409338951,
358.0299988,0.8314625621,
358.9299927,1.116164804,
360,1.081521392,
361.0700073,0.8592493534,
362,1.086305618,
363.0700073,0.9780021906,
364,1.057716966,
365.0700073,1.225172162,
366,1.16217196,
367.0700073,1.065280437,
368,1.169301033,
369.0700073,1.203585863,
370,1.171534419,
371.0599976,1.19201076,
371.9599915,1.281801224,
373.0299988,1.271038413,
373.9299927,1.337103248,
375,1.212155819,
376.0599976,1.633848906,
376.9599915,1.681096077,
378.0299988,1.98890686,
378.9299927,2.297895908,
380,2.560120821,
381.0700073,3.235290051,
382,3.750158072,
383.0700073,4.683806896,
384,5.629727364,
385.0700073,6.93890667,
386,8.522806168,
387.0700073,10.34439468,
388,12.07124519,
389.0700073,14.85728455,
390,18.43845177,
391.0599976,22.29046059,
391.9599915,26.94777298,
393.0299988,31.7727356,
393.9299927,37.62423706,
395,46.24588776,
396.0599976,57.54307556,
396.9599915,67.01269531,
398.0299988,78.71776581,
398.9299927,90.32707214,
400,106.9970245,
401.0599976,125.2916718,
401.9599915,145.291687,
403.0299988,163.4243927,
403.9299927,181.586731,
405,206.239624,
406.0599976,233.4782257,
406.9599915,257.2391968,
408.0299988,281.8889771,
408.9299927,305.4084473,
410,332.9105225,
411.0599976,366.2481079,
411.9599915,389.486084,
413.0299988,420.3054504,
413.9299927,445.1460571,
415,470.7754211,
416.0599976,493.5298157,
416.9599915,518.8009033,
418.0299988,544.3469238,
418.9299927,563.5234985,
420,589.8791504,
421.0599976,609.1995239,
421.9599915,625.2625732,
423.0299988,644.8637085,
423.9299927,659.3565674,
425,677.2229614,
426.0599976,692.0560303,
426.9599915,700.5458984,
428.0299988,713.1659546,
428.9299927,725.5994873,
430,736.5446777,
431.0400085,747.439209,
431.9400024,755.8248901,
432.980011,763.1049805,
434.019989,770.5847168,
435.0700073,776.2716675,
435.9700012,787.7208252,
437.0100098,789.3443604,
438.0499878,793.9542236,
438.9500122,796.9647217,
440,796.6326904,
441.0599976,796.3258667,
441.9599915,797.6465454,
443.0299988,796.6193848,
443.9299927,796.8364258,
445,790.8933105,
446.0599976,787.7749023,
446.9599915,784.8672485,
448.0299988,781.8484497,
448.9299927,773.4321899,
450,769.7431641,
451.0599976,768.9866943,
451.9599915,761.1018677,
453.0299988,759.7333374,
453.9299927,753.9242554,
455,742.8677979,
456.0599976,739.0599365,
456.9599915,734.7858276,
458.0299988,725.7471924,
458.9299927,712.2203979,
460,704.1072998,
461.0400085,694.6481934,
461.9400024,688.0963745,
462.980011,674.925293,
464.019989,665.2752686,
465.0700073,649.5505371,
465.9700012,642.1708984,
467.0100098,626.6259766,
468.0499878,618.4769897,
468.9500122,606.3544312,
470,591.3921509,
471.0400085,581.713562,
471.9400024,568.7415771,
472.980011,554.8997803,
474.019989,535.8438721,
475.0700073,531.8793335,
475.9700012,514.1230469,
477.0100098,503.6933289,
478.0499878,485.4344177,
478.9500122,474.8309021,
480,460.9504089,
481.0400085,446.7658386,
481.9400024,441.0194702,
482.980011,425.0228271,
484.019989,409.7826233,
485.0700073,397.6258545,
485.9700012,387.980957,
487.0100098,373.4889221,
488.0499878,362.0516663,
488.9500122,353.1564636,
490,340.4702454,
491.0400085,329.395813,
491.9400024,321.747467,
492.980011,309.7923279,
494.019989,300.3230286,
495.0700073,292.6491089,
495.9700012,281.3927917,
497.0100098,271.9631348,
498.0499878,262.6235046,
498.9500122,254.371048,
500,247.4284821,
501.0400085,237.1551666,
501.9400024,232.0428925,
502.980011,220.1660614,
504.019989,213.503418,
505.0700073,208.1028595,
505.9700012,200.7247009,
507.0100098,193.6800385,
508.0499878,184.7002716,
508.9500122,179.9750977,
510,175.33992,
511.0400085,167.3025208,
511.9400024,163.2206116,
512.9799805,155.434906,
514.0200195,151.7277832,
515.0700073,143.5689545,
515.9699707,141.0242004,
517.0100098,133.9039917,
518.0499878,130.1801605,
518.9500122,126.1012573,
520,120.2595139,
521.0200195,116.9120712,
522.0499878,111.4109116,
522.9400024,110.0864258,
523.9699707,103.954361,
525,100.5304184,
526.0200195,96.20463562,
527.0499878,94.03869629,
527.9400024,89.90995026,
528.9699707,86.46055603,
530,83.17140198,
531.039978,79.9905014,
531.9400024,77.58277893,
532.9799805,75.08409882,
534.0200195,70.35986328,
535.0700073,68.41869354,
535.9699707,66.56681824,
537.0100098,64.05059052,
538.0499878,61.59492111,
538.9500122,58.9721756,
540,56.84399796,
541.0200195,54.77600479,
542.0499878,52.5147171,
542.9400024,51.32102585,
543.9699707,49.23731232,
545,46.10939026,
546.0200195,44.59693527,
547.0499878,42.81473923,
547.9400024,41.62656021,
548.9699707,40.19068909,
550,38.62155914,
551.0200195,36.67366028,
552.0499878,35.58323288,
552.9400024,33.86315536,
553.9699707,33.23809052,
555,31.65786743,
556.0200195,29.76215172,
557.0499878,29.15176582,
557.9400024,28.29540443,
558.9699707,26.8249054,
560,26.10002136,
561.0200195,24.88535118,
562.0499878,23.86212921,
562.9400024,22.94918442,
563.9699707,21.90761757,
565,21.35860252,
566.0200195,20.51382256,
567.0499878,19.26267433,
567.9400024,18.65152359,
568.9699707,18.6263752,
570,17.42259216,
571.0100098,16.87330627,
572.0200195,16.00227928,
573.039978,15.35047722,
574.0499878,14.78154278,
575.0700073,14.35164261,
575.9400024,13.99752426,
576.9500122,13.23080254,
577.9699707,12.50700569,
578.9799805,12.18839645,
580,11.70661259,
581.0200195,11.39756966,
582.0499878,10.65777588,
582.9400024,10.51982784,
583.9699707,9.985518456,
585,9.806745529,
586.0200195,9.241319656,
587.0499878,8.679937363,
587.9400024,8.32371521,
588.9699707,8.15134716,
590,7.83164072,
591.0100098,7.589969635,
592.0200195,7.456084728,
593.039978,7.290867329,
594.0499878,6.633685589,
595.0700073,6.599609852,
595.9400024,6.159446716,
596.9500122,5.983483315,
597.9699707,5.946595192,
598.9799805,5.561861515,
600,5.426774025,
601.0100098,5.173964024,
602.0200195,5.106660843,
603.039978,5.050649166,
604.0499878,4.607565403,
605.0700073,4.603154659,
605.9400024,4.3546772,
606.9500122,4.476391315,
607.9699707,4.188072205,
608.9799805,3.871059418,
610,3.651990175,
611.0100098,3.298847437,
612.0200195,3.418973207,
613.039978,3.523537874,
614.0499878,3.017247438,
615.0700073,3.023302078,
615.9400024,2.908473492,
616.9500122,2.776847363,
617.9699707,2.529648542,
618.9799805,2.6300776,
620,2.382269144,
621.0100098,2.596387386,
622.0200195,2.45343399,
623.039978,2.236980915,
624.0499878,2.100754976,
625.0700073,2.188539743,
625.9400024,1.974460006,
626.9500122,2.057080507,
627.9699707,1.772509575,
628.9799805,1.98525238,
630,1.649179697,
631,1.685870647,
632,1.710631728,
633,1.553207874,
634,1.69357574,
635,1.536529541,
636,1.267445207,
637,1.307635427,
638,1.113538623,
639,1.128302097,
640,1.181814313,
641.0100098,1.184816599,
642.0200195,0.976590097,
643.039978,1.102338791,
644.0499878,1.213750124,
645.0700073,1.032502055,
645.9400024,0.8636880517,
646.9500122,0.9772080183,
647.9699707,0.8411892653,
648.9799805,1.024164677,
650,0.8901070952,

Sample 29,
Sample 29
Collection Time: 4/05/2023 12:40:54 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        354.00
Stop (nm)                         650.00
Ex. Wavelength (nm)               344.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/05/2023 11:12:11 AM
Method Modifications:
Overlayed Graphs Changed: 4/05/2023 11:16:19 AM, Old:OFF, New:ON
Excitation Wavelength Changed: 4/05/2023 11:16:19 AM, Old: 350.00, New: 339.00
Emission Wavelength Changed: 4/05/2023 11:16:19 AM, Old: 400.00, New: 349.00
Scan mode: Changed: 4/05/2023 11:17:29 AM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 339.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 349.00, New: 374.00
Stop Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 600.00, New: 364.00
Scan mode: Changed: 4/05/2023 11:18:46 AM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 11:18:46 AM, Old: 220.00, New: 337.00
Emission Wavelength Changed: 4/05/2023 11:18:46 AM, Old: 374.00, New: 347.00
Stop Wavelength Changed: 4/05/2023 11:18:46 AM, Old: 364.00, New: 600.00
Excitation Wavelength Changed: 4/05/2023 11:31:04 AM, Old: 337.00, New: 422.00
Emission Wavelength Changed: 4/05/2023 11:31:04 AM, Old: 347.00, New: 432.00
Stop Wavelength Changed: 4/05/2023 11:31:04 AM, Old: 600.00, New: 700.00
Scan mode: Changed: 4/05/2023 11:33:22 AM, Old:Emission, New:Excitation
User Delta Stop Changed: 4/05/2023 11:33:22 AM, Old: 450.00, New: 525.00
User Delta Increment Changed: 4/05/2023 11:33:22 AM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 4/05/2023 11:33:22 AM, Old: 422.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 11:33:22 AM, Old: 432.00, New: 525.00
Stop Wavelength Changed: 4/05/2023 11:33:22 AM, Old: 700.00, New: 515.00
Scan mode: Changed: 4/05/2023 11:54:35 AM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 11:54:35 AM, Old: 220.00, New: 331.00
Emission Wavelength Changed: 4/05/2023 11:54:35 AM, Old: 525.00, New: 341.00
Stop Wavelength Changed: 4/05/2023 11:54:35 AM, Old: 515.00, New: 700.00
Scan mode: Changed: 4/05/2023 11:56:27 AM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 4/05/2023 11:56:27 AM, Old: 331.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 11:56:27 AM, Old: 341.00, New: 508.00
Stop Wavelength Changed: 4/05/2023 11:56:27 AM, Old: 700.00, New: 500.00
Scan mode: Changed: 4/05/2023 11:58:40 AM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 11:58:40 AM, Old: 220.00, New: 331.00
Emission Wavelength Changed: 4/05/2023 11:58:40 AM, Old: 508.00, New: 341.00
Stop Wavelength Changed: 4/05/2023 11:58:40 AM, Old: 500.00, New: 700.00
Excitation Wavelength Changed: 4/05/2023 12:04:52 PM, Old: 331.00, New: 469.00
Emission Wavelength Changed: 4/05/2023 12:04:52 PM, Old: 341.00, New: 479.00
Scan mode: Changed: 4/05/2023 12:08:27 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 4/05/2023 12:08:27 PM, Old: 525.00, New: 529.00
Excitation Wavelength Changed: 4/05/2023 12:08:27 PM, Old: 469.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 12:08:27 PM, Old: 479.00, New: 529.00
Stop Wavelength Changed: 4/05/2023 12:08:27 PM, Old: 700.00, New: 519.00
User Delta Stop Changed: 4/05/2023 12:09:21 PM, Old: 529.00, New: 560.00
Emission Wavelength Changed: 4/05/2023 12:09:21 PM, Old: 529.00, New: 560.00
Stop Wavelength Changed: 4/05/2023 12:09:21 PM, Old: 519.00, New: 550.00
Scan mode: Changed: 4/05/2023 12:18:01 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 12:18:01 PM, Old: 220.00, New: 550.00
Stop Wavelength Changed: 4/05/2023 12:18:01 PM, Old: 550.00, New: 800.00
Scan mode: Changed: 4/05/2023 12:19:22 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 4/05/2023 12:19:22 PM, Old: 560.00, New: 631.00
Excitation Wavelength Changed: 4/05/2023 12:19:22 PM, Old: 550.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 12:19:22 PM, Old: 560.00, New: 631.00
Stop Wavelength Changed: 4/05/2023 12:19:22 PM, Old: 800.00, New: 621.00
User Delta Stop Changed: 4/05/2023 12:23:23 PM, Old: 631.00, New: 660.00
Emission Wavelength Changed: 4/05/2023 12:23:23 PM, Old: 631.00, New: 660.00
Stop Wavelength Changed: 4/05/2023 12:23:23 PM, Old: 621.00, New: 650.00
Scan mode: Changed: 4/05/2023 12:26:00 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 12:26:00 PM, Old: 220.00, New: 525.00
Emission Wavelength Changed: 4/05/2023 12:26:00 PM, Old: 660.00, New: 530.00
Stop Wavelength Changed: 4/05/2023 12:26:00 PM, Old: 650.00, New: 800.00
Excitation Wavelength Changed: 4/05/2023 12:39:36 PM, Old: 525.00, New: 366.00
Emission Wavelength Changed: 4/05/2023 12:39:36 PM, Old: 530.00, New: 376.00
Stop Wavelength Changed: 4/05/2023 12:39:36 PM, Old: 800.00, New: 600.00
Excitation Wavelength Changed: 4/05/2023 12:40:53 PM, Old: 366.00, New: 344.00
Emission Wavelength Changed: 4/05/2023 12:40:53 PM, Old: 376.00, New: 354.00
Stop Wavelength Changed: 4/05/2023 12:40:53 PM, Old: 600.00, New: 650.00
End Method Modifications

