Sample 4,,
Wavelength (nm),Intensity (a.u.),
362,1.144492149,
363.0700073,1.483604908,
364,2.060594082,
365.0700073,2.879934788,
366,3.74271369,
367.0700073,5.49869442,
368,7.408163071,
369.0700073,11.26993561,
370,15.6908617,
371.0599976,22.22975349,
371.9599915,29.72535896,
373.0299988,41.97249985,
373.9299927,54.92602921,
375,76.15035248,
376.0599976,95.71855164,
376.9599915,111.4485779,
378.0299988,128.1039734,
378.9299927,137.8922424,
380,145.6165314,
381.0700073,149.7005157,
382,152.6566467,
383.0700073,151.8936157,
384,152.1725464,
385.0700073,150.0972137,
386,147.164856,
387.0700073,142.2804871,
388,140.0161133,
389.0700073,138.0030975,
390,135.3160248,
391.0599976,135.7571411,
391.9599915,136.3109894,
393.0299988,138.2200165,
393.9299927,143.4495697,
395,150.9116974,
396.0599976,163.973999,
396.9599915,174.6304169,
398.0299988,183.6678009,
398.9299927,193.7192383,
400,198.7703552,
401.0599976,204.2565308,
401.9599915,205.3889008,
403.0299988,205.355896,
403.9299927,202.8294678,
405,199.3439941,
406.0599976,195.640274,
406.9599915,189.1447296,
408.0299988,181.6871338,
408.9299927,176.503891,
410,167.0791931,
411.0599976,159.8102875,
411.9599915,153.9220276,
413.0299988,148.7741699,
413.9299927,142.6257019,
415,138.0644379,
416.0599976,134.2760773,
416.9599915,132.9123383,
418.0299988,130.6165619,
418.9299927,129.0653229,
420,129.0877686,
421.0599976,128.7433472,
421.9599915,129.9424286,
423.0299988,128.5044556,
423.9299927,127.7989731,
425,126.5385132,
426.0599976,124.1184006,
426.9599915,122.1302948,
428.0299988,118.8422623,
428.9299927,115.4694519,
430,111.7609634,
431.0400085,106.1128387,
431.9400024,103.2819519,
432.980011,99.85054016,
434.019989,95.31060028,
435.0700073,89.7702179,
435.9700012,85.92227173,
437.0100098,81.85970306,
438.0499878,76.48229218,
438.9500122,73.8937912,
440,70.75944519,
441.0599976,67.12241364,
441.9599915,64.85224152,
443.0299988,62.32406616,
443.9299927,60.92895889,
445,58.54038239,
446.0599976,55.97592926,
446.9599915,54.60842133,
448.0299988,53.00099182,
448.9299927,53.05881882,
450,51.50852585,
451.0599976,51.17495728,
451.9599915,48.94287491,
453.0299988,47.88528442,
453.9299927,46.47781372,
455,45.60617065,
456.0599976,43.82531357,
456.9599915,42.8500061,
458.0299988,40.86149597,
458.9299927,40.22753143,
460,37.83861542,
461.0400085,36.84099579,
461.9400024,35.48442841,
462.980011,33.37097168,
464.019989,32.5655098,
465.0700073,30.76054573,
465.9700012,28.92969322,
467.0100098,27.36545563,
468.0499878,26.30715179,
468.9500122,25.04327774,
470,23.41209602,
471.0400085,22.98131752,
471.9400024,22.10750389,
472.980011,20.67570305,
474.019989,19.69825172,
475.0700073,18.90254211,
475.9700012,18.21498108,
477.0100098,17.41677094,
478.0499878,16.67686653,
478.9500122,15.80292702,
480,15.23650742,
481.0400085,14.99441051,
481.9400024,14.15861893,
482.980011,13.73163986,
484.019989,12.96252346,
485.0700073,12.39642525,
485.9700012,12.15029907,
487.0100098,11.98015785,
488.0499878,11.11683655,
488.9500122,10.50701332,
490,10.25870895,
491.0400085,9.467394829,
491.9400024,9.139925957,
492.980011,8.659619331,
494.019989,8.672241211,
495.0700073,8.136664391,
495.9700012,7.775135517,
497.0100098,7.078279972,
498.0499878,6.845639706,
498.9500122,6.611300468,
500,6.221328259,
501.0400085,5.999973774,
501.9400024,5.819753647,
502.980011,5.155791759,
504.019989,4.876492023,
505.0700073,4.849820614,
505.9700012,4.754719734,
507.0100098,4.546092987,
508.0499878,4.209801674,
508.9500122,4.272904873,
510,3.812600851,
511.0400085,3.594216824,
511.9400024,3.517793655,
512.9799805,3.379915714,
514.0200195,3.387071371,
515.0700073,3.131797552,
515.9699707,2.951209307,
517.0100098,2.728599548,
518.0499878,2.843980074,
518.9500122,2.608695745,
520,2.483295202,
521.0200195,2.434927464,
522.0499878,2.303277731,
522.9400024,2.439150333,
523.9699707,2.144731522,
525,2.000025749,
526.0200195,1.950261712,
527.0499878,1.808785439,
527.9400024,1.802442074,
528.9699707,1.505735755,
530,1.585787296,
