Sample 16,,
Wavelength (nm),Intensity (a.u.),
494.9200134,0.1858256459,
495.9700012,0.1541558951,
496.8599854,0.1153260767,
497.9100037,0.1348987818,
498.9500122,0.1455317587,
499.8500061,0.1423980296,
500.8900146,0.1393951178,
501.9400024,0.171054855,
502.980011,0.174470976,
503.8800049,0.1930802763,
504.9200134,0.2061535269,
505.9700012,0.1993118078,
506.8599854,0.2214994729,
507.9100037,0.2194862813,
508.9500122,0.2330876142,
509.8500061,0.2347338051,
510.8900146,0.2586822808,
511.9400024,0.2697451711,
512.9799805,0.286534071,
513.8800049,0.2774960995,
514.9199829,0.266944468,
515.9699707,0.2575839758,
516.8599854,0.276848048,
517.9099731,0.2874171436,
518.9500122,0.2973850369,
519.8499756,0.3309458494,
520.8800049,0.3360579014,
521.9099731,0.3804139197,
522.9400024,0.3996373415,
523.9699707,0.4303205013,
524.8499756,0.4695153236,
525.8800049,0.5345266461,
526.9099731,0.6209225059,
527.9400024,0.6772924662,
528.9699707,0.7732546329,
529.8499756,0.8623045087,
530.8900146,0.9718703032,
531.9400024,1.110149622,
532.9799805,1.258855343,
533.8800049,1.45972085,
534.9199829,1.665532351,
535.9699707,1.914754391,
536.8599854,2.210519314,
537.9099731,2.539400339,
538.9500122,2.944135666,
539.8499756,3.37036252,
540.8800049,3.963624477,
541.9099731,4.485322952,
542.9400024,5.137022495,
543.9699707,6.019649029,
544.8499756,6.805356503,
545.8800049,7.892555714,
546.9099731,9.006925583,
547.9400024,10.28054428,
548.9699707,11.75287628,
549.8499756,13.06372261,
550.8800049,14.96723461,
551.9099731,16.85251999,
552.9400024,19.25005913,
553.9699707,21.61471748,
554.8499756,24.03940201,
555.8800049,26.65834618,
556.9099731,29.73014832,
557.9400024,33.36868668,
558.9699707,37.1104393,
559.8499756,41.36137772,
560.8800049,45.12837601,
561.9099731,49.82327271,
562.9400024,54.6183548,
563.9699707,60.04319,
564.8499756,64.81860352,
565.8800049,70.23800659,
566.9099731,76.35891724,
567.9400024,82.65164185,
568.9699707,88.96260834,
569.8499756,93.24996185,
570.8599854,99.94098663,
571.8800049,106.842453,
572.8900146,114.0443192,
573.9099731,120.9429245,
574.9199829,126.609787,
575.9400024,133.6777039,
576.9500122,140.1864929,
577.9699707,145.8134003,
578.9799805,151.5644989,
579.8499756,156.1897125,
580.8800049,161.7761688,
581.9099731,166.1013184,
582.9400024,170.5521545,
583.9699707,174.6260834,
584.8499756,177.8978271,
585.8800049,181.082962,
586.9099731,183.1935577,
587.9400024,185.2166138,
588.9699707,186.7580566,
589.8499756,187.5371399,
590.8599854,188.8843536,
591.8800049,189.1033478,
592.8900146,188.1016083,
593.9099731,187.7552948,
594.9199829,186.3019867,
595.9400024,184.1447601,
596.9500122,182.8417053,
597.9699707,180.7363586,
598.9799805,178.7554474,
599.8499756,175.4954529,
600.8599854,172.4727783,
601.8800049,169.6111908,
602.8900146,166.3690338,
603.9099731,162.8845978,
604.9199829,160.0857849,
605.9400024,157.0295715,
606.9500122,153.4017029,
607.9699707,149.818573,
608.9799805,146.4797668,
609.8499756,142.7014923,
610.8599854,139.877594,
