Sample 12,,
Wavelength (nm),Intensity (a.u.),
551.9099731,3.990622282,
552.9400024,4.698086262,
553.9699707,5.222760201,
554.8499756,6.01786232,
555.8800049,6.687338352,
556.9099731,7.776392937,
557.9400024,8.693289757,
558.9699707,9.92220974,
559.8499756,11.16996479,
560.8800049,12.79088116,
561.9099731,14.52008247,
562.9400024,16.28179359,
563.9699707,18.35106659,
564.8499756,20.60365486,
565.8800049,23.19151688,
566.9099731,26.72377205,
567.9400024,29.7803688,
568.9699707,33.36328888,
569.8499756,36.33119583,
570.8599854,40.0447998,
571.8800049,45.29614258,
572.8900146,50.03329849,
573.9099731,55.56372452,
574.9199829,61.35678101,
575.9400024,67.16783905,
576.9500122,74.06355286,
577.9699707,81.35824585,
578.8400269,88.50445557,
579.8499756,96.61877441,
580.8800049,105.7411957,
581.9099731,115.9549026,
582.9400024,124.7903061,
583.9699707,134.7418976,
584.8499756,144.0609436,
585.8800049,156.5635681,
586.9099731,169.2703094,
587.9400024,182.7831726,
588.9699707,195.2485046,
589.8499756,205.8007355,
590.8599854,220.1270905,
591.8800049,236.1318359,
592.8900146,252.9890289,
593.9099731,264.8623657,
594.9199829,284.2068176,
595.9400024,299.8447266,
596.9500122,314.4315186,
597.9699707,329.4737549,
598.8400269,345.3428345,
599.8499756,361.3381958,
600.8599854,377.1167908,
601.8800049,396.0886536,
602.8900146,409.5574951,
603.9099731,424.4273071,
604.9199829,438.8147278,
605.9400024,454.0878601,
606.9500122,467.956604,
607.9699707,478.8639221,
608.8400269,490.2733459,
609.8499756,503.7324524,
610.8599854,514.4449463,
611.8800049,523.5731812,
612.8900146,530.9081421,
613.9099731,541.0015259,
614.9199829,549.0396118,
615.9400024,554.1592407,
616.9500122,559.116333,
617.9699707,562.7724609,
618.8400269,564.0899658,
619.8499756,565.4639893,
620.8599854,567.0823975,
621.8800049,564.0584717,
622.8900146,563.1853638,
623.9099731,560.8768311,
624.9199829,557.6885376,
625.9400024,552.5258789,
626.9500122,547.6600342,
627.9699707,543.237915,
628.8400269,536.9327393,
629.8499756,529.3705444,
630.8499756,521.4920654,
631.8499756,513.9395752,
632.8499756,504.1630859,
633.8499756,494.3586731,
634.8499756,484.9839478,
635.8499756,475.4093628,
636.8499756,462.3808899,
637.8499756,452.8536072,
638.8499756,442.5137024,
639.8499756,432.5295105,
640.8599854,422.0053406,
641.8800049,411.9354553,
642.8900146,399.009491,
643.9099731,390.0012817,
644.9199829,379.9313354,
645.9400024,367.8479614,
646.9500122,357.949646,
647.9699707,345.6083069,
648.8400269,340.7471924,
649.8499756,331.0667419,
650.8499756,321.6782837,
651.8499756,310.2336426,
652.8499756,301.3930664,
653.8499756,293.0043945,
654.8499756,285.5723572,
655.8499756,276.783905,
656.8499756,267.494812,
