Sample 9,,
Wavelength (nm),Intensity (a.u.),
562.9400024,0.02915366925,
563.9699707,0.07255104184,
565,0.01445107628,
566.0200195,0.1143870279,
567.0499878,0.1021659225,
567.9400024,0.1038051993,
568.9699707,0.01459491812,
570,0.1019278914,
571.0100098,0.104635343,
572.0200195,0.04507143795,
573.039978,0.0757920295,
574.0499878,0,
575.0700073,0.1343985647,
575.9400024,0.1808400005,
576.9500122,0.2235003263,
577.9699707,0.1048516333,
578.9799805,0.09099318832,
580,0.01491424348,
581.0200195,0.1476886719,
582.0499878,0.1646558642,
582.9400024,0.1478371471,
583.9699707,-0.1205763519,
585,0.1634375304,
586.0200195,0.0888704583,
587.0499878,0.1040366217,
587.9400024,0.04482629895,
588.9699707,0.07558350265,
590,-0.07490300387,
591.0100098,0.1040397137,
592.0200195,0.1783591062,
593.039978,0.01513844077,
594.0499878,-0.0300476253,
595.0700073,0.05967833102,
595.9400024,0.1629581451,
596.9500122,0.06003572047,
597.9699707,0.1949902475,
598.9799805,0.2244568169,
600,0.150105074,
601.0100098,0.1041697711,
602.0200195,0.1355401278,
603.039978,0.09006169438,
604.0499878,0.1202356666,
605.0700073,0.014830634,
605.9400024,0.1482030302,
606.9500122,0.2513900399,
607.9699707,0.02982982062,
608.9799805,0.07419388741,
610,0.2104693353,
611.0100098,0.1341521591,
612.0200195,-0.01505276002,
613.039978,0,
614.0499878,0.1194636077,
615.0700073,0.02958930098,
615.9400024,0.09080452472,
616.9500122,-0.01546575222,
617.9699707,0.1051714271,
618.9799805,0.1054709256,
620,0.090090096,
621.0100098,0.2216279209,
622.0200195,0.2364450544,
623.039978,0.1776067466,
624.0499878,0.1351107955,
625.0700073,0.02980670519,
625.9400024,0,
626.9500122,0.02950157039,
627.9699707,0.2057431638,
628.9799805,0.02960682102,
630,0.07388361543,
631,0.1333669275,
632,0.06080690771,
633,0.1040938646,
634,0.01477541309,
635,0.3263174891,
636,-0.08984994888,
637,0.0442353934,
638,0.02962699533,
639,0.1609975994,
640,0.1470004469,
641.0100098,-0.08864462376,
642.0200195,-0.059108641,
643.039978,0.1500983238,
644.0499878,0.1337931901,
645.0700073,0.1772866249,
645.9400024,0.07396996766,
646.9500122,0.04458646104,
647.9699707,0.1040938646,
648.9799805,0.01477388572,
650,0.1034431756,
651,0.08999145031,
652,0.1217174381,
653,-0.03000660241,
654,-0.08908818662,
655,0.03156964108,
656,0.02952988446,
657,-0.01471150666,
658,0.1473122835,
659,0.1188018769,
660,0.03002236784,
661,-0.04454805702,
662,0.04459043592,
663,0.04453285038,
664,0.01479837205,
665,0.01476450637,
666,0.02931820601,
667,0.07431297749,
668,0.02979959734,
669,-0.04420801252,
670,0.1911820918,
670.9799805,0,
671.9699707,0.1355319619,
672.9500122,0.0149407601,
673.9400024,0.1043576747,
675.0700073,0.02967271022,
676.0499878,0.1025490761,
677.039978,0.0295713637,
678.0200195,0,
679.0100098,0.1170394793,
680,0.07505591959,
681,0.1030199528,
682,-0.02933669835,
683,0.05850690231,
684,0.07473394275,
685,0,
686,0,
687,0.1040087938,
688,0.1498598903,
689,-0.2846953869,
690,0,
690.9799805,0.01483723521,
691.9699707,-0.09124226123,
692.9500122,0.03002236784,
693.9400024,-0.07433286309,
695.0700073,0.01469853334,
696.0499878,0.07383561134,
697.039978,0,
698.0200195,-0.05967655405,
699.0100098,0.01533060428,
700,0.04480487481,
700.9799805,-0.04448398575,
701.9699707,0.103825219,
702.9500122,0.177140072,
703.9400024,0.05914535001,
705.0700073,0.05999520048,
706.0499878,0.08892314136,
707.039978,-0.03000570089,
708.0200195,0.1188124642,
709.0100098,-0.02987080999,
710,0.01514210925,
710.9799805,0.05858745426,
711.9699707,-0.01496692281,
712.9500122,0.04486853629,
713.9400024,0.01504121348,
715.0700073,0.0149608776,
716.0499878,0.01522997301,
717.039978,-0.03019779548,
718.0200195,0.1492381394,
719.0100098,0.1036223397,
720,0.0907029435,
720.9699707,0.05917509645,
721.9400024,0.1214642525,
723.0499878,0.04447739199,
724.0200195,0.1819753349,
725,-0.01508955657,
725.9699707,0.074673675,
726.9400024,-0.0441878289,
728.0499878,0.06038920581,
729.0200195,0.1346156746,
730,-0.03029935807,
730.9799805,-0.07749295235,
731.9699707,-0.1273459494,
732.9500122,-0.01559697371,
733.9400024,-0.1609672308,
735.0700073,0.01582529023,
736.0499878,0.04604122415,
737.039978,0.0453569591,
738.0200195,-0.0156103652,
739.0100098,0.1661606431,
740,0.0761185661,
740.9500122,0.01518395357,
742.0499878,-0.03094442189,
743.0100098,0.1504166573,
743.9699707,-0.06182667241,
745.0599976,0.03103180602,
746.0200195,0.09709208459,
746.9799805,0.09102769941,
747.9400024,0.2281021923,
749.039978,0.06124823913,
750,0.07681789249,
750.9699707,-0.04559755698,
751.9400024,-0.09087605029,
753.0499878,-0.07585871965,
754.0200195,0.03038313054,
755,0.07605025172,
755.9699707,0.06167319044,
756.9400024,0.03028100729,
758.0499878,0,
759.0200195,-0.06013229117,
760,0.03057589941,
760.9699707,0.06135628,
761.9400024,0.04580292478,
763.0499878,-0.1049837321,
764.0200195,0.01514302567,
765,0.2845930159,
765.9699707,0.07517439872,
766.9400024,-0.07472724468,
768.0499878,-0.04463422298,
769.0200195,0.1950868219,
770,0.1049034894,
770.9500122,-0.1043203548,
772.0499878,0.06259878725,
773.0100098,0.1035365164,
773.9699707,-0.0296493955,
775.0599976,-0.03007157147,
776.0200195,-0.07512696087,
776.9799805,0.0747551769,
777.9400024,0.07449233532,
779.039978,-0.04543939978,
780,0.1353322417,
780.9400024,-0.09109126776,
782.0200195,0.02952508815,
782.9699707,0.02974995226,
784.0499878,0.191666916,
785,-0.01539219357,
785.9400024,-0.01509525068,
787.0200195,0.1030154079,
787.9699707,0.06045492366,
789.0499878,0.09353224933,
790,0.06206938997,
790.9500122,0.04517187923,
792.0499878,-0.0600060001,
793.0100098,-0.01494254638,
793.9699707,-0.01486568805,
795.0599976,0.02989626117,
796.0200195,0.05898400024,
796.9799805,-0.04645257443,
797.9400024,0.07671771199,
799.039978,0,
800,0.2159860581,
800.9400024,0.07572086155,
802.0200195,0.1040536314,
