Sample 3,,
Wavelength (nm),Intensity (a.u.),
490.8900146,4.005875587,
491.9400024,4.89690876,
492.8299866,5.446336269,
493.8800049,6.351744652,
494.9200134,7.646334648,
495.8200073,8.775849342,
496.8599854,10.71000862,
497.9100037,12.83804893,
498.9500122,15.07425785,
499.8500061,17.45170403,
500.8900146,21.35050392,
501.9400024,26.12744713,
502.8299866,31.36974525,
503.8800049,37.53834152,
504.9200134,44.92194748,
505.8200073,53.13866806,
506.8599854,63.62932968,
507.9100037,76.70585632,
508.9500122,91.47277832,
509.8500061,107.1901779,
510.8900146,127.1406708,
511.9400024,151.6255035,
512.8300171,176.4920654,
513.8800049,208.7087402,
514.9199829,247.767868,
515.8200073,282.4776001,
516.8599854,323.1174011,
517.9099731,361.634613,
518.9500122,400.7706604,
519.8499756,435.5184631,
520.8800049,466.6582947,
521.9099731,492.9050293,
522.9400024,506.0489197,
523.8200073,514.5110474,
524.8499756,518.7660522,
525.8800049,517.5400391,
526.9099731,513.3464355,
527.9400024,506.9064636,
528.8200073,499.3214111,
529.8499756,491.6687622,
530.8900146,482.0930786,
531.9400024,473.0333862,
532.8300171,467.0962524,
533.8800049,454.6383667,
534.9199829,442.8244934,
535.8200073,430.4258728,
536.8599854,418.3045654,
537.9099731,404.3415527,
538.9500122,389.1365356,
539.8499756,375.0197144,
540.8800049,358.4422913,
541.9099731,348.2359619,
542.9400024,335.9603882,
543.8200073,327.3627014,
544.8499756,318.321991,
545.8800049,311.1492004,
546.9099731,305.6794739,
547.9400024,300.9688721,
548.8200073,300.2468567,
549.8499756,300.7221985,
550.8800049,302.601593,
551.9099731,303.3598022,
552.9400024,307.5119934,
553.8200073,311.6108398,
554.8499756,317.0408325,
555.8800049,324.5461731,
556.9099731,328.5264282,
557.9400024,335.8876038,
558.8200073,343.3454285,
559.8499756,349.9042969,
560.8800049,357.0954895,
561.9099731,362.4245605,
562.9400024,364.9359131,
563.8200073,366.7626648,
564.8499756,366.2210999,
565.8800049,365.3234863,
566.9099731,361.0163574,
567.9400024,355.0909424,
568.8200073,348.3308716,
569.8499756,340.5736389,
570.8599854,333.3660278,
571.8800049,323.9126892,
572.8900146,313.2484741,
573.9099731,302.9837341,
574.9199829,293.5042114,
575.9400024,283.8137512,
576.9500122,273.5436401,
577.8200073,266.4259033,
578.8400269,257.542511,
579.8499756,248.9828186,
580.8800049,237.96492,
581.9099731,228.8238373,
582.9400024,219.6243286,
583.8200073,213.0880585,
584.8499756,204.1224976,
585.8800049,194.8008423,
586.9099731,187.148407,
587.9400024,179.2601471,
588.8200073,173.4801636,
589.8499756,166.4672241,
590.8599854,160.3363037,
591.8800049,155.2907257,
592.8900146,149.9268188,
593.9099731,144.9111176,
594.9199829,139.6525421,
595.9400024,136.5168457,
596.9500122,132.919281,
597.8200073,130.5141144,
598.8400269,129.0959778,
599.8499756,125.8002396,
600.8599854,124.2839203,
601.8800049,121.9010544,
602.8900146,120.5227356,
603.9099731,119.3294373,
604.9199829,117.7492142,
605.9400024,116.3565445,
606.9500122,115.4136429,
607.8200073,113.968689,
608.8400269,113.4130096,
609.8499756,111.1831741,
610.8599854,110.6978302,
611.8800049,108.7756348,
612.8900146,107.5859604,
613.9099731,105.2416458,
614.9199829,103.3842239,
615.9400024,101.4261169,
616.9500122,99.38815308,
617.8200073,97.16827393,
618.8400269,94.45368958,
619.8499756,92.13202667,
620.8599854,89.6009903,
621.8800049,87.14067078,
622.8900146,83.34635925,
623.9099731,80.77235413,
624.9199829,78.13154602,
625.9400024,75.45207214,
626.9500122,72.81716919,
627.8200073,70.5617218,
628.8400269,68.07785797,
629.8499756,65.20584106,
630.8499756,62.8146019,
631.8499756,60.20838928,
632.8499756,58.19302368,
633.8499756,55.6754837,
634.8499756,53.8249588,
635.8499756,52.1196785,
636.8499756,49.21602631,
637.8499756,47.21408844,
638.8499756,45.12460709,
639.8499756,43.81806183,
640.8599854,41.8495636,
641.8800049,39.79084015,
642.8900146,37.83229065,
643.9099731,36.66750717,
644.9199829,35.3571434,
645.9400024,33.92089844,
646.9500122,32.37631607,
647.8200073,31.77078438,
648.8400269,30.60195541,
649.8499756,29.34287071,
650.8499756,28.36872292,
651.8499756,27.65122795,
652.8499756,26.53381348,
653.8499756,25.49900246,
654.8499756,24.8951664,
655.8499756,24.13389778,
656.8499756,23.53774834,
657.8499756,23.02788162,
658.8499756,22.2091198,
659.8499756,21.98257256,
660.8499756,21.54021645,
661.8499756,20.71742249,
662.8499756,20.2171917,
663.8499756,19.81091118,
664.8499756,19.54644585,
665.8499756,18.94097328,
666.8499756,18.527071,
667.8499756,18.1729908,
668.8499756,17.81623268,
669.8499756,17.33044815,
670.8400269,16.9443531,
671.8300171,16.79232216,
672.9500122,16.01943398,
673.9400024,15.3718214,
674.9199829,15.394701,
675.9099731,14.79404449,
676.9000244,14.75933075,
677.8800049,14.08956909,
678.8699951,13.73225403,
679.8499756,13.00923157,
680.8499756,12.74261379,
681.8499756,12.72747612,
682.8499756,12.21236134,
683.8499756,11.96578598,
684.8499756,11.57415771,
685.8499756,11.00854683,
686.8499756,10.52150059,
687.8499756,10.32347202,
688.8499756,9.923278809,
689.8499756,9.55645752,
690.8400269,9.063752174,
691.8300171,8.779268265,
692.9500122,8.490077972,
693.9400024,7.995913506,
694.9199829,7.899353504,
695.9099731,7.495082855,
696.9000244,7.381134987,
697.8800049,7.085071087,
698.8699951,6.895485401,
699.8499756,6.845365047,
700.8400269,6.270568848,
701.8300171,6.312357903,
702.9500122,6.016645908,
703.9400024,5.80864954,
704.9199829,5.648441315,
705.9099731,5.521662712,
706.9000244,5.307647705,
707.8800049,5.057336807,
708.8699951,5.008684635,
709.8499756,4.877570152,
710.8400269,4.795990467,
711.8300171,4.580778122,
712.9500122,4.449273109,
713.9400024,4.421347618,
714.9199829,4.170099735,
715.9099731,4.000738621,
716.9000244,3.933614969,
717.8800049,3.931477308,
718.8699951,3.728568316,
719.8499756,3.662266493,
720.8300171,3.550150871,
721.9400024,3.542645216,
722.9099731,3.264007092,
723.8800049,3.324978828,
724.8599854,3.310263395,
725.8300171,3.16249752,
726.9400024,3.060019016,
727.9099731,2.975975752,
728.8800049,2.940056324,
729.8599854,2.820817709,
730.8400269,2.856004477,
731.8300171,2.692925215,
732.9500122,2.578340054,
733.9400024,2.502899647,
734.9199829,2.449321747,
735.9099731,2.479296923,
736.9000244,2.383098602,
737.8800049,2.252990961,
738.8699951,2.312150478,
739.8499756,2.314919472,
740.8200073,2.130209684,
741.9099731,2.158806801,
742.8699951,2.010964394,
743.8300171,1.963514328,
744.9299927,1.918572903,
745.8900146,1.951060057,
746.8400269,1.879267335,
747.9400024,1.828303814,
748.9000244,1.759253621,
749.8599854,1.746933818,
750.8300171,1.731592894,

Sample 3,
Sample 3
Collection Time: 14/04/2023 3:39:17 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        491.00
Stop (nm)                         750.00
Ex. Wavelength (nm)               481.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 14/04/2023 3:32:15 PM
Method Modifications:
Overlayed Graphs Changed: 14/04/2023 3:37:20 PM, Old:OFF, New:ON
User Delta Stop Changed: 14/04/2023 3:37:20 PM, Old: 450.00, New: 487.00
User Delta Increment Changed: 14/04/2023 3:37:20 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 14/04/2023 3:37:20 PM, Old: 350.00, New: 487.00
Emission Wavelength Changed: 14/04/2023 3:37:20 PM, Old: 400.00, New: 497.00
Stop Wavelength Changed: 14/04/2023 3:37:20 PM, Old: 600.00, New: 700.00
Scan mode: Changed: 14/04/2023 3:38:01 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 14/04/2023 3:38:01 PM, Old: 487.00, New: 525.00
Excitation Wavelength Changed: 14/04/2023 3:38:01 PM, Old: 487.00, New: 220.00
Emission Wavelength Changed: 14/04/2023 3:38:01 PM, Old: 497.00, New: 525.00
Stop Wavelength Changed: 14/04/2023 3:38:01 PM, Old: 700.00, New: 525.00
Scan mode: Changed: 14/04/2023 3:39:06 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 14/04/2023 3:39:06 PM, Old: 220.00, New: 481.00
Emission Wavelength Changed: 14/04/2023 3:39:06 PM, Old: 525.00, New: 491.00
Stop Wavelength Changed: 14/04/2023 3:39:06 PM, Old: 525.00, New: 750.00
End Method Modifications

