Sample 25,,
Wavelength (nm),Intensity (a.u.),
480,0.1071101949,
481.0400085,0.06895258278,
481.9400024,0.1098357961,
482.980011,0.09132094681,
484.019989,0.1186224297,
485.0700073,0.0983357057,
485.9700012,0.11134395,
487.0100098,0.1223121956,
488.0499878,0.09295620769,
488.9500122,0.1132736653,
490,0.1260112077,
491.0400085,0.1586307883,
491.9400024,0.1238989532,
492.980011,0.1326770484,
494.019989,0.1484344453,
495.0700073,0.1465034783,
495.9700012,0.1368291974,
497.0100098,0.09821575135,
498.0499878,0.1132791862,
498.9500122,0.09823348373,
500,0.09987320751,
501.0400085,0.1341737807,
501.9400024,0.1133528203,
502.980011,0.08821365982,
504.019989,0.1457186788,
505.0700073,0.1625629067,
505.9700012,0.1448773146,
507.0100098,0.127271831,
508.0499878,0.115707092,
508.9500122,0.141061008,
510,0.1135125384,
511.0400085,0.1438971907,
511.9400024,0.1440219432,
512.9799805,0.114977546,
514.0200195,0.134853065,
515.0700073,0.1836555004,
515.9699707,0.1759986132,
517.0100098,0.1774489284,
518.0499878,0.1725613326,
518.9500122,0.1932258457,
520,0.2343236059,
521.0200195,0.2456860095,
522.0499878,0.2754870951,
522.9400024,0.32104671,
523.9699707,0.3727382421,
525,0.4023198485,
526.0200195,0.457223922,
527.0499878,0.4991673529,
527.9400024,0.5613846779,
528.9699707,0.7041960359,
530,0.7786570787,
531.039978,0.9271253943,
531.9400024,1.002177835,
532.9799805,1.201494098,
534.0200195,1.357808352,
535.0700073,1.57371676,
535.9699707,1.827823639,
537.0100098,2.072833061,
538.0499878,2.358420134,
538.9500122,2.761124372,
540,3.108589888,
541.0200195,3.664011717,
542.0499878,4.180547714,
542.9400024,4.708101749,
543.9699707,5.304979801,
545,6.203987122,
546.0200195,7.055635929,
547.0499878,8.138813019,
547.9400024,8.863440514,
548.9699707,10.17703152,
550,11.38979244,
551.0200195,12.75688362,
552.0499878,14.33846283,
552.9400024,15.9217844,
553.9699707,17.77299118,
555,19.93198204,
556.0200195,21.90991974,
557.0499878,24.27436256,
557.9400024,26.40078735,
558.9699707,29.26444435,
560,32.48068237,
561.0200195,35.51330948,
562.0499878,38.89349365,
562.9400024,41.41387558,
563.9699707,45.1460228,
565,48.90579987,
566.0200195,52.52345276,
567.0499878,56.73131561,
567.9400024,60.18389511,
568.9699707,64.34341431,
570,68.19587708,
571.0100098,72.43014526,
572.0200195,76.69397736,
573.039978,81.44007874,
574.0499878,85.97520447,
575.0700073,89.68936157,
575.9400024,92.93662262,
576.9500122,96.70368958,
577.9699707,100.4183731,
578.9799805,104.2493744,
580,107.2555466,
581.0200195,110.9524841,
582.0499878,113.7959595,
582.9400024,115.8066177,
583.9699707,118.5934753,
585,120.8566742,
586.0200195,122.8764725,
587.0499878,124.3581238,
587.9400024,125.0098648,
588.9699707,126.1603546,
590,126.7716141,
591.0100098,128.1651611,
592.0200195,127.5689926,
593.039978,127.3429565,
594.0499878,127.2402115,
595.0700073,126.4094391,
595.9400024,125.9883194,
596.9500122,124.7219162,
597.9699707,123.4785767,
598.9799805,122.038681,
600,120.1771164,
601.0100098,118.8547287,
602.0200195,116.4089508,
603.039978,115.1450348,
604.0499878,112.5428009,
605.0700073,110.763092,
605.9400024,108.7119904,
606.9500122,106.4001694,
607.9699707,103.9883194,
608.9799805,102.2457504,
610,99.6644516,
611.0100098,97.44956207,
612.0200195,95.03516388,
613.039978,92.87817383,
614.0499878,91.25539398,
615.0700073,89.07506561,
615.9400024,86.74664307,
616.9500122,85.32497406,
617.9699707,83.26267242,
