Sample 10,,
Wavelength (nm),Intensity (a.u.),
640,0.151041925,
641.0100098,0.2561175823,
642.0200195,0.1074156389,
643.039978,0.1591397375,
644.0499878,0.1573490798,
645.0700073,0.2170176059,
645.9400024,0.1834199727,
646.9500122,0.0397641398,
647.9699707,0.2916792929,
648.9799805,0.230983302,
650,0.239607051,
651,0.257730484,
652,0.2650336027,
653,0.1308751553,
654,0.3518314958,
655,0.1916540414,
656,0.3359763324,
657,0.3439610004,
658,0.3314550817,
659,0.4569223821,
660,0.422095269,
661,0.5699884295,
662,0.5045691729,
663,0.5451092124,
664,0.5418738723,
665,0.7673687935,
666,0.7149761915,
667,0.9164295793,
668,0.9333423972,
669,1.105003595,
670,1.407996774,
670.9799805,1.295723557,
671.9699707,1.54866755,
672.9500122,1.835349321,
673.9400024,2.197411776,
675.0700073,2.39324069,
676.0499878,2.676017761,
677.039978,2.994967461,
678.0200195,3.50039959,
679.0100098,3.954193592,
680,4.369099617,
681,4.969364166,
682,5.368179321,
683,6.204408169,
684,6.841098309,
685,7.825214386,
686,8.654598236,
687,9.584410667,
688,9.966425896,
689,11.38693619,
690,12.16462803,
690.9799805,13.19225502,
691.9699707,14.44108009,
692.9500122,15.64765167,
693.9400024,16.6115551,
695.0700073,18.1356926,
696.0499878,19.2269783,
697.039978,20.46775436,
698.0200195,21.59416962,
699.0100098,22.49177933,
700,23.50047112,
700.9799805,24.43523788,
701.9699707,25.64856911,
702.9500122,26.38972855,
703.9400024,26.98342133,
705.0700073,27.83577728,
706.0499878,28.68549728,
707.039978,28.51183319,
708.0200195,28.62784958,
709.0100098,28.67898941,
710,28.50388527,
710.9799805,28.68397522,
711.9699707,28.22537613,
712.9500122,27.81107903,
713.9400024,27.07427979,
715.0700073,26.61976624,
716.0499878,26.0640049,
717.039978,25.44959068,
718.0200195,25.05343628,
719.0100098,24.14199066,
720,23.45594025,
720.9699707,22.21834373,
721.9400024,21.73937225,
723.0499878,21.00925827,
724.0200195,19.86238289,
725,19.35267448,
725.9699707,18.22755814,
726.9400024,17.74889755,
728.0499878,16.81053734,
729.0200195,15.99548244,
730,15.5013752,
730.9799805,14.71781445,
731.9699707,13.89868546,
732.9500122,13.13453865,
733.9400024,12.36083508,
735.0700073,12.14632416,
736.0499878,11.2538929,
737.039978,11.09523964,
738.0200195,10.22621822,
739.0100098,9.785045624,
740,9.336989403,
740.9500122,8.9806633,
742.0499878,8.590912819,
743.0100098,8.183362007,
743.9699707,7.754022598,
745.0599976,7.405463696,
746.0200195,7.030153275,
746.9799805,6.662134647,
747.9400024,6.381132126,
749.039978,6.10710907,
750,6.013232708,
750.9699707,5.562188625,
751.9400024,5.66567421,
753.0499878,5.386820793,
754.0200195,4.883563042,
755,5.050449371,
755.9699707,4.793863773,
756.9400024,4.494139671,
758.0499878,4.626551628,
759.0200195,4.346632957,
760,4.360612392,
760.9699707,4.475216866,
761.9400024,4.116398811,
763.0499878,4.246403694,
764.0200195,4.176706791,
765,4.185053825,
765.9699707,3.994815588,
766.9400024,4.09929657,
768.0499878,4.288885593,
769.0200195,4.157888889,
770,4.082352161,
770.9500122,3.985327721,
772.0499878,4.005087852,
773.0100098,4.018666744,
773.9699707,4.056590557,
775.0599976,4.114030361,
776.0200195,4.288470268,
776.9799805,4.217765331,
777.9400024,4.05214262,
779.039978,4.072216511,
780,3.986293554,
780.9400024,4.13134861,
782.0200195,4.316941738,
782.9699707,3.904150963,
784.0499878,4.160778522,
785,4.053041458,
785.9400024,3.88909936,
787.0200195,3.927526474,
787.9699707,3.994073629,
789.0499878,3.931855202,
790,3.842389345,
790.9500122,3.67683816,
792.0499878,3.650868416,
793.0100098,3.628158569,
793.9699707,3.661607027,
795.0599976,3.358742714,
796.0200195,3.303529263,
796.9799805,3.388805151,
797.9400024,3.286432028,
799.039978,3.245313168,
800,3.07640934,
800.9400024,3.001320362,
802.0200195,2.970500231,
802.9699707,2.727455139,
804.0499878,2.747965336,
805,2.564543962,
805.9400024,2.496565342,
807.0200195,2.43072176,
807.9699707,2.429353237,
809.0499878,2.205626965,
810,2.171595097,
810.9400024,1.991426826,
812.0200195,1.920464873,
812.9699707,1.989173889,
814.0499878,1.792806029,
815,1.868397832,
815.9400024,1.717065692,
817.0200195,1.649319768,
817.9699707,1.698356271,
819.0499878,1.463729501,
820,1.403371453,
820.9400024,1.424916983,
822.0200195,1.309775949,
822.9699707,1.350710273,
824.0499878,1.152354479,
825,1.147096992,
825.9400024,1.14022541,
827.0200195,1.075425386,
827.9699707,0.9925613403,
829.0499878,1.024966836,
830,0.9763816595,
831.0599976,0.802113533,
832,0.8472734094,
833.0599976,0.7068296671,
834,0.6678977013,
835.0599976,0.5297625065,
836,0.4833030403,
837.0599976,0.3939178884,
838,0.6256482005,
839.0599976,0.4904447794,
840,0.3689827621,
841.0599976,0.4540486038,
842,0.2971734107,
843.0599976,0.2733505368,
844,0.3300799727,
845.0599976,0.3085190654,
846,0.2594150603,
847.0599976,0.3548096418,
848,0.2587118447,
849.0599976,0.2128222585,
850,0.256413132,

Sample 10,
Sample 10
Collection Time: 8/08/2023 4:19:08 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        640.00
Stop (nm)                         850.00
Ex. Wavelength (nm)               630.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 8/08/2023 3:45:53 PM
Method Modifications:
Overlayed Graphs Changed: 8/08/2023 3:46:16 PM, Old:OFF, New:ON
Scan Control Changed: 8/08/2023 3:46:16 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 8/08/2023 3:46:16 PM, Old:0.10000, New:0.50000
Excitation Wavelength Changed: 8/08/2023 3:46:16 PM, Old: 350.00, New: 390.00
Stop Wavelength Changed: 8/08/2023 3:46:16 PM, Old: 600.00, New: 700.00
Scan mode: Changed: 8/08/2023 3:53:59 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 8/08/2023 3:53:59 PM, Old: 450.00, New: 550.00
User Delta Increment Changed: 8/08/2023 3:53:59 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 8/08/2023 3:53:59 PM, Old: 390.00, New: 220.00
Emission Wavelength Changed: 8/08/2023 3:53:59 PM, Old: 400.00, New: 550.00
Stop Wavelength Changed: 8/08/2023 3:53:59 PM, Old: 700.00, New: 540.00
Scan mode: Changed: 8/08/2023 4:01:40 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/08/2023 4:01:40 PM, Old: 220.00, New: 420.00
Emission Wavelength Changed: 8/08/2023 4:01:40 PM, Old: 550.00, New: 430.00
Stop Wavelength Changed: 8/08/2023 4:01:40 PM, Old: 540.00, New: 700.00
Scan mode: Changed: 8/08/2023 4:08:47 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/08/2023 4:08:47 PM, Old: 420.00, New: 220.00
Emission Wavelength Changed: 8/08/2023 4:08:47 PM, Old: 430.00, New: 540.00
Stop Wavelength Changed: 8/08/2023 4:08:47 PM, Old: 700.00, New: 530.00
Scan mode: Changed: 8/08/2023 4:17:05 PM, Old:Excitation, New:Emission
User Delta Stop Changed: 8/08/2023 4:17:05 PM, Old: 550.00, New: 585.00
Excitation Wavelength Changed: 8/08/2023 4:17:05 PM, Old: 220.00, New: 585.00
Emission Wavelength Changed: 8/08/2023 4:17:05 PM, Old: 540.00, New: 595.00
Stop Wavelength Changed: 8/08/2023 4:17:05 PM, Old: 530.00, New: 750.00
User Delta Stop Changed: 8/08/2023 4:19:05 PM, Old: 585.00, New: 630.00
Excitation Wavelength Changed: 8/08/2023 4:19:05 PM, Old: 585.00, New: 630.00
Emission Wavelength Changed: 8/08/2023 4:19:05 PM, Old: 595.00, New: 640.00
Stop Wavelength Changed: 8/08/2023 4:19:05 PM, Old: 750.00, New: 850.00
End Method Modifications

