Sample 3,,
Wavelength (nm),Intensity (a.u.),
640,-0.0572639294,
641.0100098,0.3624097407,
642.0200195,0.1959302425,
643.039978,0,
644.0499878,0.1393223405,
645.0700073,0.1689189225,
645.9400024,0.08450465649,
646.9500122,0.1674761325,
647.9699707,-0.112334311,
648.9799805,-0.1975503713,
650,0.2280176729,
651,0.05810237676,
652,-0.05686179921,
653,0.1151012927,
654,-0.08536794037,
655,0,
656,-0.05634596571,
657,0.05646687001,
658,-0.08485603333,
659,0.2263403535,
660,-0.05639362708,
661,0,
662,-0.0854287073,
663,-0.1414227188,
664,-0.1420172155,
665,0.227628395,
666,0.140884757,
667,0.05727048963,
668,0.1437525153,
669,0.1731851697,
670,0.3167929053,
670.9799805,0.2545896769,
671.9699707,-0.08501714468,
672.9500122,-0.1985421479,
673.9400024,0.255464077,
675.0700073,-0.143851772,
676.0499878,0.1735207289,
677.039978,-0.3469511569,
678.0200195,0.1755823493,
679.0100098,0.2576802969,
680,0.2343017906,
681,0.02905540913,
682,0.2583459914,
683,0.2327678949,
684,0.144300133,
685,-0.1150880381,
686,0.02849165164,
687,-0.02915791981,
688,0.116056405,
689,-0.02934875153,
690,0.2334403247,
690.9799805,0.08698678017,
691.9699707,0.289620012,
692.9500122,0.1171783432,
693.9400024,0.1166520864,
695.0700073,-0.08605358005,
696.0499878,-0.02961909957,
697.039978,0.1468730718,
698.0200195,0.08614748716,
699.0100098,0.2347211242,
700,0.1160934567,
700.9799805,-0.08831841499,
701.9699707,0.147893995,
702.9500122,-0.1170412004,
703.9400024,-0.1774308085,
705.0700073,0.1769650578,
706.0499878,0.2357378602,
707.039978,0.1749526113,
708.0200195,0.2049420327,
709.0100098,0.02956130914,
710,0.05906848982,
710.9799805,0.3206996918,
711.9699707,0.1160429418,
712.9500122,0.0874074921,
713.9400024,0.232321769,
715.0700073,-0.08744316548,
716.0499878,0.02937892824,
717.039978,0.1198896989,
718.0200195,0.0866926685,
719.0100098,-0.05924696848,
720,0,
720.9699707,-0.08746355772,
721.9400024,0.1162520349,
723.0499878,0,
724.0200195,0,
725,-0.05675690994,
