Sample 49,,
Wavelength (nm),Intensity (a.u.),
647.9699707,0.03339901567,
648.9799805,0.3964583278,
650,0.1339225918,
651,0.1341426522,
652,0.1012589857,
653,-0.03343139961,
654,-0.03356493264,
655,0.06934332103,
656,0.06770481169,
657,0.06774838269,
658,0.170835048,
659,0.1013787463,
660,-0.03396970034,
661,0.2037628144,
662,0.2371354103,
663,0.1348344982,
664,0.1034803912,
665,-0.03430649266,
666,-0.03422079235,
667,0.3745828569,
668,-0.06855888665,
669,0.06904408336,
670,0.03410641104,
670.9799805,0.03385011107,
671.9699707,0.1016088054,
672.9500122,0.1028136685,
673.9400024,-0.06732420623,
675.0700073,0.1702417433,
676.0499878,-0.1353454739,
677.039978,-0.1352768093,
678.0200195,0.3410990238,
679.0100098,0.2693602443,
680,0.03416000679,
681,0.3066752851,
682,-0.1692104638,
683,0.03421844915,
684,0.1027467698,
685,0.1010543332,
686,-0.1361794919,
687,0,
688,-0.4438677728,
689,-0.2361593843,
690,0.4387889206,
690.9799805,-0.06836906075,
691.9699707,0.2038597465,
692.9500122,-0.06786332279,
693.9400024,0.3034389913,
695.0700073,0.06821515411,
696.0499878,0.2027163953,
697.039978,0.1347708851,
698.0200195,0.03390520066,
699.0100098,-0.373590529,
700,0.2037697434,
700.9799805,-0.304816097,
701.9699707,0.2080804557,
702.9500122,0.0341821909,
703.9400024,0.06709158421,
705.0700073,-0.1022460088,
706.0499878,0.1349846423,
707.039978,0.1346393377,
708.0200195,0.1691703945,
709.0100098,-0.5059533715,
710,-0.2028191835,
710.9799805,0.1023925692,
711.9699707,-0.06703536212,
712.9500122,0.03378720954,
713.9400024,0.1343408972,
715.0700073,-0.2362948954,
716.0499878,0.1012419015,
717.039978,0.1705553234,
718.0200195,-0.1685033441,
719.0100098,0.1007725894,
720,0.03398817405,
720.9699707,0.3094272017,
721.9400024,0.4695308208,
723.0499878,0.3400435448,
724.0200195,0.1005732715,
725,0.2380547523,
725.9699707,0.238468349,
726.9400024,-0.06776674837,
728.0499878,-0.13526766,
